<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LDDR.US,D,20250114,000000,90.2,90.2,90.09,90.09,33273.09091,0
LDDR.US,D,20250116,000000,90.86,90.86,90.8061,90.8061,64.2727272663,0
LDDR.US,D,20250123,000000,90.64,90.695,90.64,90.695,12.727272726,0
LDDR.US,D,20250128,000000,91.08,91.19,91.08,91.19,20.9999999979,0
LDDR.US,D,20250131,000000,91.3,91.3,91.1471,91.1471,1411.818181677,0
LDDR.US,D,20250212,000000,86.91,88.65,86.7766,86.793,4777,0
LDDR.US,D,20250218,000000,87.33,87.33,87.1923,87.1923,633,0
LDDR.US,D,20250219,000000,87.34,87.361,87.34,87.361,691,0
LDDR.US,D,20250220,000000,87.495,87.5486,87.4415,87.4415,1083,0
LDDR.US,D,20250221,000000,87.61,87.96,87.61,87.96,899,0
