<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LDRT.US,D,20241120,000000,24.99,24.99,24.98,24.98,203,0
LDRT.US,D,20241121,000000,25,25.15,24.97,24.97,4361,0
LDRT.US,D,20241125,000000,25.04,25.06,25.0382,25.058,1304,0
LDRT.US,D,20241126,000000,25.05,25.06,25.04,25.04,1759,0
LDRT.US,D,20241127,000000,25.07,25.1285,25.065,25.065,7764,0
LDRT.US,D,20241129,000000,25.1199,25.1199,25.1,25.1,2096,0
LDRT.US,D,20241202,000000,25.06,25.22,25.06,25.095,2330,0
LDRT.US,D,20241203,000000,25.02,25.17,25.02,25.02,5527,0
LDRT.US,D,20241205,000000,25.06,25.06,25.06,25.06,462,0
LDRT.US,D,20241206,000000,25.1,25.1,25.0884,25.0884,1430,0
LDRT.US,D,20241209,000000,25.07,25.13,25.061,25.08,14875,0
LDRT.US,D,20241211,000000,25.0699,25.0699,25.04,25.04,1005,0
LDRT.US,D,20241212,000000,25.0412,25.05,25,25.02,2752,0
LDRT.US,D,20241213,000000,25.02,25.03,25,25,3802,0
LDRT.US,D,20241216,000000,25.01,25.02,25.01,25.01,1317,0
LDRT.US,D,20241217,000000,25.02,25.02,25,25.02,817,0
LDRT.US,D,20241218,000000,25.02,25.03,24.9389,24.9389,5556,0
LDRT.US,D,20241219,000000,24.9407,24.975,24.9407,24.95,6242,0
LDRT.US,D,20241220,000000,24.8887,24.8958,24.87,24.87,2080,0
LDRT.US,D,20241223,000000,24.8607,24.92,24.86,24.88,19862,0
LDRT.US,D,20241224,000000,24.85,24.92,24.8264,24.885,16034,0
LDRT.US,D,20241226,000000,24.8461,24.88,24.8461,24.8707,2756,0
LDRT.US,D,20241227,000000,24.8983,24.94,24.88,24.88,5974,0
LDRT.US,D,20241230,000000,24.93,25.09,24.9299,24.94,4252,0
LDRT.US,D,20241231,000000,24.94,24.95,24.91,24.93,2596,0
LDRT.US,D,20250102,000000,24.94,24.965,24.94,24.945,5041,0
LDRT.US,D,20250103,000000,24.95,25.005,24.925,24.925,2056,0
LDRT.US,D,20250106,000000,24.92,24.92,24.92,24.92,422,0
LDRT.US,D,20250107,000000,24.92,24.92,24.904,24.91,2664,0
LDRT.US,D,20250108,000000,24.92,24.94,24.92,24.9248,2165,0
LDRT.US,D,20250110,000000,24.8804,24.91,24.875,24.875,3629,0
LDRT.US,D,20250113,000000,24.8799,24.89,24.8659,24.8659,46060,0
LDRT.US,D,20250114,000000,24.88,24.94,24.87,24.885,5052,0
LDRT.US,D,20250115,000000,24.95,24.99,24.93,24.95,17819,0
LDRT.US,D,20250116,000000,24.94,25.03,24.94,24.97,32393,0
LDRT.US,D,20250117,000000,24.98,25.015,24.975,24.9915,6877,0
LDRT.US,D,20250121,000000,25,25.1,24.99,25.045,13481,0
LDRT.US,D,20250122,000000,24.99,25.01,24.99,25.005,6684,0
LDRT.US,D,20250123,000000,24.99,24.9984,24.9618,24.9618,6236,0
LDRT.US,D,20250124,000000,24.97,24.9899,24.97,24.975,216,0
LDRT.US,D,20250127,000000,25.0381,25.04,25,25.03,5252,0
LDRT.US,D,20250128,000000,25.03,25.08,25,25.0576,9678,0
LDRT.US,D,20250129,000000,25.04,25.05,25.02,25.02,610,0
LDRT.US,D,20250130,000000,25.04,25.1594,25.0372,25.04,12608,0
LDRT.US,D,20250131,000000,25.045,25.06,25.0411,25.0411,524,0
LDRT.US,D,20250203,000000,25.06,25.11,25.04,25.05,3466,0
LDRT.US,D,20250204,000000,24.97,24.97,24.94,24.97,992,0
LDRT.US,D,20250205,000000,24.99,25.14,24.99,25.0149,32779,0
LDRT.US,D,20250206,000000,24.99,25.1,24.97,25.01,21328,0
LDRT.US,D,20250207,000000,24.96,24.98,24.94,24.97,135577,0
LDRT.US,D,20250210,000000,24.98,25.1,24.95,25.07,5091,0
LDRT.US,D,20250211,000000,24.94,25,24.94,24.98,8040,0
LDRT.US,D,20250212,000000,24.9095,24.9197,24.89,24.9101,3628,0
LDRT.US,D,20250213,000000,24.96,25.02,24.93,24.95,8966,0
LDRT.US,D,20250214,000000,24.98,25.01,24.98,24.995,1519,0
LDRT.US,D,20250218,000000,24.99,25.01,24.96,24.99,25430,0
LDRT.US,D,20250219,000000,24.98,25.1,24.95,25.01,26403,0
LDRT.US,D,20250220,000000,25.01,25.08,25.01,25.04,27712,0
LDRT.US,D,20250221,000000,25.03,25.06,25.03,25.06,21955,0
