<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LENS.US,D,20250205,000000,25.98,25.98,25.9607,25.9607,657,0
LENS.US,D,20250206,000000,26.02,26.06,25.725,25.725,6805,0
LENS.US,D,20250207,000000,25.94,25.94,25.69,25.69,2692,0
LENS.US,D,20250210,000000,26.02,26.16,26.02,26.16,4437,0
LENS.US,D,20250211,000000,26.08,26.08,26.0182,26.0182,2700,0
LENS.US,D,20250212,000000,25.9692,25.9692,25.81,25.8421,4771,0
LENS.US,D,20250213,000000,25.76,25.95,25.76,25.9269,4011,0
LENS.US,D,20250214,000000,26.0498,26.0498,25.7823,25.7823,3482,0
LENS.US,D,20250218,000000,25.97,26.13,25.97,26.07,6351,0
LENS.US,D,20250219,000000,26.03,26.08,26.018,26.018,4480,0
LENS.US,D,20250220,000000,26.16,26.19,26.1446,26.1446,2221,0
LENS.US,D,20250221,000000,25.85,25.85,25.72,25.72,1941,0
