<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LQPE.US,D,20250128,000000,20.15,20.17,20.1,20.11,447900,0
LQPE.US,D,20250130,000000,19.915,19.9652,19.915,19.9652,454,0
LQPE.US,D,20250131,000000,19.79,19.8028,19.79,19.8028,218,0
LQPE.US,D,20250203,000000,19.66,19.81,19.66,19.6741,252423,0
LQPE.US,D,20250205,000000,19.58,19.58,19.55,19.572,5003,0
LQPE.US,D,20250206,000000,19.58,19.5801,19.55,19.55,8414,0
LQPE.US,D,20250210,000000,19.78,19.86,19.77,19.7956,2200,0
LQPE.US,D,20250212,000000,19.6658,19.7196,19.6658,19.7196,209,0
LQPE.US,D,20250213,000000,19.91,19.9545,19.91,19.9545,4070,0
LQPE.US,D,20250214,000000,19.9699,19.9699,19.734,19.734,1006,0
LQPE.US,D,20250219,000000,19.928,19.9498,19.928,19.9498,1614,0
LQPE.US,D,20250220,000000,19.73,19.8494,19.73,19.8494,2014,0
LQPE.US,D,20250221,000000,19.68,19.68,19.33,19.33,772,0
