<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MARO.US,D,20241212,000000,49.2554,49.71,47.1172,47.1172,8285,0
MARO.US,D,20241213,000000,47.74,48.48,47,47.7034,13071,0
MARO.US,D,20241216,000000,49.25,52.485,49,51.5478,34620,0
MARO.US,D,20241217,000000,52.73,53.06,51.45,51.6663,17254,0
MARO.US,D,20241218,000000,50.69,52.055,46.16,46.474,30195,0
MARO.US,D,20241219,000000,47.835,47.835,43.165,43.9463,13127,0
MARO.US,D,20241220,000000,43.445,44.47,42.95,43.4155,32184,0
MARO.US,D,20241223,000000,43.51,43.59,41.4401,41.96,32205,0
MARO.US,D,20241224,000000,43.06,43.52,42.6,43.3991,3952,0
MARO.US,D,20241226,000000,42.3901,43.06,42.3901,42.4058,8636,0
MARO.US,D,20241227,000000,42.24,42.36,40.78,40.78,7817,0
MARO.US,D,20241230,000000,40.27,40.43,37.78,38.91,40364,0
MARO.US,D,20241231,000000,39.33,39.64,37.81,37.8972,11359,0
MARO.US,D,20250102,000000,39,39.91,38.41,38.785,182211,0
MARO.US,D,20250103,000000,36.38,39.41,36.38,39.41,124357,0
MARO.US,D,20250106,000000,39.55,40.6746,39.1904,40.6746,49414,0
MARO.US,D,20250107,000000,40.07,40.59,38.43,38.5232,55316,0
MARO.US,D,20250108,000000,37.52,38.01,36,37.2607,22727,0
MARO.US,D,20250110,000000,36.44,36.7217,35.7,36.4706,54182,0
MARO.US,D,20250113,000000,34.995,35.4599,34.1,35.36,12682,0
MARO.US,D,20250114,000000,36.7348,36.9065,35.15,35.75,9306,0
MARO.US,D,20250115,000000,37.465,37.89,36.75,37.3915,16133,0
MARO.US,D,20250116,000000,37.1,37.795,36.6653,37.547,4584,0
MARO.US,D,20250117,000000,39.16,41.62,38.88,39.8952,36940,0
MARO.US,D,20250121,000000,40.45,40.55,37.5274,39.25,740015,0
MARO.US,D,20250122,000000,38.18,38.966,37.63,38.9428,32727,0
MARO.US,D,20250123,000000,38,40.656,38,39.32,31029,0
MARO.US,D,20250124,000000,39.54,41.16,39.32,39.56,44618,0
MARO.US,D,20250127,000000,37.4569,38.47,35.425,36.93,156427,0
MARO.US,D,20250128,000000,37.4,37.54,36.345,36.96,88136,0
MARO.US,D,20250129,000000,37.21,37.95,36.2553,37.4,233998,0
MARO.US,D,20250130,000000,35.6273,36.8734,35.57,36.42,101166,0
MARO.US,D,20250131,000000,36.395,36.5697,34.85,35.18,117810,0
MARO.US,D,20250203,000000,32.45,35.3605,32.45,34.52,60574,0
MARO.US,D,20250204,000000,34.6,35.0329,34.115,34.37,29764,0
MARO.US,D,20250205,000000,34.6,34.6,33.36,33.36,33884,0
MARO.US,D,20250206,000000,33.82,33.965,32.67,33.07,23866,0
MARO.US,D,20250207,000000,33.9238,34.462,32.72,33.12,29988,0
MARO.US,D,20250210,000000,33.36,33.6459,33.07,33.22,33071,0
MARO.US,D,20250211,000000,32.74,33.1613,31.8772,31.8772,22551,0
MARO.US,D,20250212,000000,31.5795,32.557,31.3501,32.36,26453,0
MARO.US,D,20250213,000000,31.9461,33.42,31.67,33.42,20952,0
MARO.US,D,20250214,000000,33.46,33.89,33.08,33.31,26444,0
MARO.US,D,20250218,000000,32.985,33.49,32.01,32.3,49037,0
MARO.US,D,20250219,000000,32.675,32.73,31.85,31.85,32768,0
MARO.US,D,20250220,000000,32.35,32.54,31.58,32.3,50503,0
MARO.US,D,20250221,000000,32.72,32.9711,29.7629,29.83,88806,0
