<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MNRS.US,D,20250205,000000,26.6211,26.78,26.0328,26.0328,4926,0
MNRS.US,D,20250206,000000,26.48,26.5,25.7,26.0401,15854,0
MNRS.US,D,20250207,000000,26.83,27.18,26.05,26.25,15317,0
MNRS.US,D,20250210,000000,26.29,26.7682,26.29,26.4167,6175,0
MNRS.US,D,20250211,000000,25.9755,26.4308,25.3794,25.3794,4794,0
MNRS.US,D,20250212,000000,24.98,25.81,24.9704,25.7049,3437,0
MNRS.US,D,20250213,000000,25.7,26.7,25.7,26.6745,7699,0
MNRS.US,D,20250214,000000,27.02,27.02,26.7116,26.8733,13231,0
MNRS.US,D,20250218,000000,26.94,26.9799,26.2941,26.3116,14185,0
MNRS.US,D,20250219,000000,26.51,26.77,26.1301,26.192,5242,0
MNRS.US,D,20250220,000000,25.89,26.44,25.7192,26.0672,5614,0
MNRS.US,D,20250221,000000,26.5661,26.5661,24.16,24.16,6522,0
