<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MNTN-U.US,D,20231124,000000,10.87,10.87,10.82,10.82,2054,0
MNTN-U.US,D,20231127,000000,10.89,10.89,10.85,10.87,6000,0
MNTN-U.US,D,20231128,000000,10.87,10.87,10.87,10.87,3000,0
MNTN-U.US,D,20231129,000000,10.86,10.86,10.86,10.86,1600,0
MNTN-U.US,D,20240201,000000,10.93,10.95,10.93,10.93,700,0
MNTN-U.US,D,20240523,000000,11.5,11.95,10.9,11.46,18673,0
MNTN-U.US,D,20240524,000000,11.5002,12,11.5,11.51,1701,0
MNTN-U.US,D,20240529,000000,11.2999,11.31,11.2999,11.3,1689,0
MNTN-U.US,D,20240603,000000,11.01,11.01,11.01,11.01,743,0
MNTN-U.US,D,20240604,000000,11.5,11.5,11.5,11.5,157,0
MNTN-U.US,D,20240607,000000,11.21,11.3,11.21,11.3,500,0
MNTN-U.US,D,20240613,000000,11.4001,11.4001,11.4001,11.4001,300,0
MNTN-U.US,D,20240627,000000,11.2499,11.6,11.22,11.42,33044,0
MNTN-U.US,D,20240628,000000,11.26,11.4501,11.2599,11.3,7704,0
MNTN-U.US,D,20240701,000000,11.33,11.6,11.33,11.6,3001,0
MNTN-U.US,D,20240703,000000,11.4,11.8,11.23,11.75,7757,0
MNTN-U.US,D,20240705,000000,11.4,11.7,11.21,11.3,10467,0
MNTN-U.US,D,20240708,000000,11.3,11.45,11.3,11.3,502,0
MNTN-U.US,D,20240709,000000,11.3,11.3,11.3,11.3,102,0
MNTN-U.US,D,20240710,000000,11.39,11.39,11.39,11.39,400,0
MNTN-U.US,D,20240711,000000,11.3902,11.3902,11.39,11.39,500,0
MNTN-U.US,D,20240712,000000,11.4,11.7,11.37,11.37,4533,0
MNTN-U.US,D,20240716,000000,11.39,11.4,11.28,11.28,2620,0
MNTN-U.US,D,20240717,000000,11.3,11.7,11.3,11.31,2846,0
MNTN-U.US,D,20240719,000000,11.35,11.37,10.85,11.25,4905,0
MNTN-U.US,D,20240723,000000,11.27,11.27,11.26,11.27,906,0
MNTN-U.US,D,20240724,000000,11.35,11.35,11.35,11.35,401,0
MNTN-U.US,D,20240726,000000,11.45,11.45,11.45,11.45,199,0
MNTN-U.US,D,20240729,000000,11.23,11.23,11.21,11.21,1293,0
MNTN-U.US,D,20240801,000000,11.3,11.3,11.25,11.25,404,0
MNTN-U.US,D,20240802,000000,11.35,11.35,11.35,11.35,100,0
MNTN-U.US,D,20240807,000000,11.35,11.35,10.9,10.9,313,0
MNTN-U.US,D,20240813,000000,11.4,11.4,11.27,11.27,511,0
MNTN-U.US,D,20240828,000000,11.39,11.4001,11.21,11.21,1124,0
MNTN-U.US,D,20241029,000000,11.21,11.31,10.1,11.31,698,0
MNTN-U.US,D,20241030,000000,10.19,10.19,10.19,10.19,1000,0
MNTN-U.US,D,20241101,000000,11.2,11.45,11.2,11.45,900,0
MNTN-U.US,D,20241126,000000,11.03,11.31,11.01,11.03,602,0
