<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MSIF.US,D,20250203,000000,16.5,16.5693,16.21,16.5,168344,0
MSIF.US,D,20250204,000000,16.5,16.91,16.45,16.91,152118,0
MSIF.US,D,20250205,000000,17.01,17.1,16.7,16.81,134515,0
MSIF.US,D,20250206,000000,16.8154,16.94,16.67,16.89,86410,0
MSIF.US,D,20250207,000000,16.8752,17,16.75,16.89,51504,0
MSIF.US,D,20250210,000000,16.874,17.09,16.796,16.98,89075,0
MSIF.US,D,20250211,000000,17,17.05,16.83,16.87,49911,0
MSIF.US,D,20250212,000000,16.89,17.03,16.761,17.02,47436,0
MSIF.US,D,20250213,000000,17.32,17.32,16.8883,17.09,70965,0
MSIF.US,D,20250214,000000,17.09,17.3,17.0499,17.15,127174,0
MSIF.US,D,20250218,000000,17.35,17.64,17.15,17.62,150074,0
MSIF.US,D,20250219,000000,17.6,17.9995,17.592,17.84,150200,0
MSIF.US,D,20250220,000000,17.99,17.99,17.53,17.55,115831,0
MSIF.US,D,20250221,000000,17.6,17.75,17.3,17.37,58285,0
