<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NBGX.US,D,20241227,000000,24.6,24.6168,24.5999,24.6168,327,0
NBGX.US,D,20241230,000000,24.49,24.49,24.3897,24.3897,117,0
NBGX.US,D,20241231,000000,24.28,24.28,24.1712,24.1712,1967,0
NBGX.US,D,20250102,000000,24.34,24.34,24.1903,24.1903,211,0
NBGX.US,D,20250103,000000,24.49,24.4919,24.49,24.4919,800,0
NBGX.US,D,20250107,000000,24.5,24.51,24.3634,24.3634,1199,0
NBGX.US,D,20250108,000000,24.35,24.425,24.35,24.425,3100,0
NBGX.US,D,20250110,000000,24.25,24.25,24.0784,24.0784,3232,0
NBGX.US,D,20250113,000000,23.9,23.952,23.9,23.952,162,0
NBGX.US,D,20250121,000000,24.7,24.8204,24.7,24.8204,1439,0
NBGX.US,D,20250203,000000,24.98,24.99,24.9057,24.9057,10135,0
NBGX.US,D,20250204,000000,24.95,25.0848,24.95,25.0848,429,0
NBGX.US,D,20250210,000000,25.2,25.2767,25.2,25.2767,2118,0
NBGX.US,D,20250212,000000,25.13,25.1555,25.13,25.1555,1985,0
NBGX.US,D,20250218,000000,25.23,25.2836,25.23,25.2836,304,0
NBGX.US,D,20250219,000000,25.09,25.2563,25.09,25.2563,672,0
NBGX.US,D,20250220,000000,25.0398,25.0768,25.0398,25.0768,274,0
NBGX.US,D,20250221,000000,24.5501,24.5501,24.5501,24.5501,317,0
