<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NEE_T.US,D,20241105,000000,47.85,48.1874,47.85,48.13,754240,0
NEE_T.US,D,20241106,000000,47.35,47.35,46.2,46.56,2530912,0
NEE_T.US,D,20241107,000000,46.76,47.04,46.58,46.95,1029391,0
NEE_T.US,D,20241108,000000,47.5,48.01,47.02,47.98,113546,0
NEE_T.US,D,20241111,000000,47.87,47.99,47.36,47.53,425133,0
NEE_T.US,D,20241112,000000,47.28,47.53,46.5,46.81,275102,0
NEE_T.US,D,20241113,000000,47.05,47.19,46.6,46.71,416793,0
NEE_T.US,D,20241114,000000,46.71,47.57,46.49,47.08,567097,0
NEE_T.US,D,20241115,000000,47.47,47.93,47.47,47.61,54624,0
NEE_T.US,D,20241118,000000,48.61,48.61,47.22,47.9,74829,0
NEE_T.US,D,20241119,000000,47.91,48.06,47.4499,48.01,358872,0
NEE_T.US,D,20241120,000000,48.11,49.14,47.72,47.76,804504,0
NEE_T.US,D,20241121,000000,48.04,48.09,47.91,47.91,109259,0
NEE_T.US,D,20241122,000000,48.22,48.39,47.6,47.67,8559,0
NEE_T.US,D,20241125,000000,47.82,48.79,47.7701,47.83,20739,0
NEE_T.US,D,20241126,000000,47.98,48.6,47.98,48.43,182963,0
NEE_T.US,D,20241127,000000,48.96,49.01,48.44,48.44,1011662,0
NEE_T.US,D,20241129,000000,48.64,48.93,48.44,48.88,1565524,0
NEE_T.US,D,20241202,000000,48.65,48.8,47.97,48.12,932080,0
NEE_T.US,D,20241203,000000,48.07,48.405,47.8458,47.93,1515807,0
NEE_T.US,D,20241204,000000,47.77,47.77,47.37,47.59,197215,0
NEE_T.US,D,20241205,000000,47.54,47.86,47.53,47.84,154478,0
NEE_T.US,D,20241206,000000,47.6,47.75,47.2285,47.36,724815,0
NEE_T.US,D,20241209,000000,47.12,47.4,47.05,47.19,211514,0
NEE_T.US,D,20241210,000000,47,47,46.65,46.9286,111708,0
NEE_T.US,D,20241211,000000,46.72,47.03,46.72,46.93,8145,0
NEE_T.US,D,20241212,000000,46.77,46.93,46.52,46.57,61034,0
NEE_T.US,D,20241213,000000,46.5,47.01,46.49,47.01,14166,0
NEE_T.US,D,20241216,000000,46.78,46.78,46.3,46.3,4832,0
NEE_T.US,D,20241217,000000,46.12,46.28,45.95,46.01,317936,0
NEE_T.US,D,20241218,000000,45.97,46.45,45.44,45.46,1448110,0
NEE_T.US,D,20241219,000000,46.2,48.64,45,45.01,817970,0
NEE_T.US,D,20241220,000000,44.77,45.95,44.5,45.88,364363,0
NEE_T.US,D,20241223,000000,45.58,46.16,45.57,46.16,16104,0
NEE_T.US,D,20241224,000000,46.22,46.32,45.88,46.32,37935,0
NEE_T.US,D,20241226,000000,45.97,47.06,45.91,45.93,11805,0
NEE_T.US,D,20241227,000000,46.2,46.21,45.915,46.07,550034,0
NEE_T.US,D,20241230,000000,45.75,46.7,45.51,45.87,700402,0
NEE_T.US,D,20241231,000000,45.97,46.09,45.51,45.6,3411168,0
NEE_T.US,D,20250102,000000,45.91,46.04,45.53,45.68,62393,0
NEE_T.US,D,20250103,000000,45.88,46.09,45.875,45.96,84674,0
NEE_T.US,D,20250106,000000,45.93,45.95,45.3,45.45,353054,0
NEE_T.US,D,20250107,000000,45.65,45.65,45.03,45.04,6867,0
NEE_T.US,D,20250108,000000,44.91,45.14,44.8,45.13,243903,0
NEE_T.US,D,20250110,000000,44.85,44.85,43.72,43.725,68193,0
NEE_T.US,D,20250113,000000,43.53,43.65,43.17,43.37,127164,0
NEE_T.US,D,20250114,000000,43.66,44.1,43.11,43.86,393249,0
NEE_T.US,D,20250115,000000,44.56,44.87,44.22,44.33,258759,0
NEE_T.US,D,20250116,000000,44.73,45.77,44.73,45.42,140579,0
NEE_T.US,D,20250117,000000,45.48,45.8399,45.29,45.38,540800,0
NEE_T.US,D,20250121,000000,45.67,45.67,45.48,45.48,534050,0
NEE_T.US,D,20250122,000000,45.12,45.25,44.2,44.49,27187,0
NEE_T.US,D,20250123,000000,44.3,44.76,44.16,44.6,4913,0
NEE_T.US,D,20250124,000000,45.25,46.62,44.56,46.46,208100,0
NEE_T.US,D,20250127,000000,46.39,46.88,45.51,46.88,12069,0
NEE_T.US,D,20250128,000000,47,47.04,45.105,45.81,43827,0
NEE_T.US,D,20250129,000000,45.42,45.84,45.42,45.5,377771,0
NEE_T.US,D,20250130,000000,46.02,46.13,45.5301,45.76,754289,0
NEE_T.US,D,20250131,000000,44.97,45.31,44.55,44.66,1346337,0
NEE_T.US,D,20250203,000000,44.83,45.1375,44.5,44.88,104021,0
NEE_T.US,D,20250204,000000,44.64,45.02,44.34,44.35,555918,0
NEE_T.US,D,20250205,000000,44.38,45.01,43.88,44.07,54411,0
NEE_T.US,D,20250206,000000,43.79,44.06,43.58,43.97,6382,0
NEE_T.US,D,20250207,000000,44.05,44.05,43.65,43.6855,10724,0
NEE_T.US,D,20250210,000000,43.43,44.177,43.43,44.15,14449,0
NEE_T.US,D,20250211,000000,43.88,44.52,43.88,44.43,193754,0
NEE_T.US,D,20250212,000000,43.75,44.44,43.75,43.82,7342,0
NEE_T.US,D,20250213,000000,43.92,44.17,43.84,43.84,237508,0
NEE_T.US,D,20250214,000000,43.9,43.9,43.545,43.67,247410,0
NEE_T.US,D,20250218,000000,43.67,43.67,43.49,43.52,6067,0
NEE_T.US,D,20250219,000000,43.91,44.06,43.3,44.04,181503,0
NEE_T.US,D,20250220,000000,44.6072,44.69,44.11,44.55,55274,0
NEE_T.US,D,20250221,000000,44.43,45.25,44.43,44.98,86788,0
