<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NFEB.US,D,20250205,000000,24.93,25.07,24.9246,25.0497,111153,0
NFEB.US,D,20250206,000000,25.08,25.155,25.0172,25.155,103053,0
NFEB.US,D,20250207,000000,25.18,25.19,24.88,25.02,115302,0
NFEB.US,D,20250210,000000,25.1,25.1587,25.08,25.0863,77533,0
NFEB.US,D,20250211,000000,25.07,25.16,25.0501,25.06,104683,0
NFEB.US,D,20250212,000000,25.04,25.195,24.9898,25.125,107846,0
NFEB.US,D,20250213,000000,25.189,25.37,25.1593,25.37,64195,0
NFEB.US,D,20250214,000000,25.26,25.35,25.26,25.29,72930,0
NFEB.US,D,20250218,000000,25.37,25.42,25.22,25.31,57466,0
NFEB.US,D,20250219,000000,25.3399,25.39,25.2501,25.37,83585,0
NFEB.US,D,20250220,000000,25.35,25.8601,25.16,25.29,59159,0
NFEB.US,D,20250221,000000,25.27,25.27,25.08,25.08,74318,0
