<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NHYM.US,D,20250127,000000,25.07,25.075,25.07,25.075,50061,0
NHYM.US,D,20250128,000000,25.08,25.08,25.08,25.08,75000,0
NHYM.US,D,20250129,000000,25.08,25.08,25.065,25.065,95013,0
NHYM.US,D,20250130,000000,25.12,25.12,25.1029,25.1029,50002,0
NHYM.US,D,20250131,000000,25.11,25.11,25.0807,25.0807,400014,0
NHYM.US,D,20250205,000000,25.2205,25.2205,25.205,25.205,101,0
NHYM.US,D,20250213,000000,25.1448,25.1448,25.105,25.105,210,0
NHYM.US,D,20250214,000000,25.2205,25.2205,25.145,25.145,100,0
NHYM.US,D,20250218,000000,25.13,25.13,25.11,25.115,500,0
NHYM.US,D,20250219,000000,25.11,25.17,25.11,25.1693,955,0
NHYM.US,D,20250220,000000,25.21,25.21,25.1979,25.21,50518,0
NHYM.US,D,20250221,000000,25.27,25.289,25.27,25.2802,76412,0
