<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NVOX.US,D,20241205,000000,19.861,20.19,19.861,20.0498,5931,0
NVOX.US,D,20241206,000000,20.49,20.85,20.37,20.7332,7057,0
NVOX.US,D,20241209,000000,20.95,21.066,20.589,20.83,13296,0
NVOX.US,D,20241210,000000,20.8496,20.879,20.09,20.1185,4482,0
NVOX.US,D,20241211,000000,20.6,21.0869,20.599,21.0869,3244,0
NVOX.US,D,20241212,000000,20.749,20.749,19.8709,19.8709,10750,0
NVOX.US,D,20241213,000000,19.25,19.25,18.69,19.1762,3218,0
NVOX.US,D,20241216,000000,19.96,20.1355,19.595,19.6144,19885,0
NVOX.US,D,20241217,000000,19.88,19.88,19.6326,19.6326,15895,0
NVOX.US,D,20241218,000000,19.79,19.79,18.75,18.831,2551,0
NVOX.US,D,20241219,000000,18.0425,18.0425,17.85,17.9738,5321,0
NVOX.US,D,20241220,000000,11,12.06,10.34,11.5991,408097,0
NVOX.US,D,20241223,000000,12.56,12.6,11.83,12.59,189809,0
NVOX.US,D,20241224,000000,12.45,12.64,12.0706,12.1426,102490,0
NVOX.US,D,20241226,000000,12.08,12.32,12,12.2244,59180,0
NVOX.US,D,20241227,000000,12.28,12.499,12.03,12.11,34948,0
NVOX.US,D,20241230,000000,11.8308,11.855,11.64,11.6898,33708,0
NVOX.US,D,20241231,000000,11.58,11.72,11.5,11.719,31538,0
NVOX.US,D,20250102,000000,12.25,12.42,12.05,12.1184,15743,0
NVOX.US,D,20250103,000000,12.1308,12.279,12.1029,12.1437,37993,0
NVOX.US,D,20250106,000000,11.63,11.74,11.37,11.399,44563,0
NVOX.US,D,20250107,000000,11.16,11.299,10.7902,10.9197,64680,0
NVOX.US,D,20250108,000000,11.5,11.55,11.34,11.5493,24948,0
NVOX.US,D,20250110,000000,11.87,11.95,11.591,11.74,80047,0
NVOX.US,D,20250113,000000,11.148,11.259,11.0497,11.1946,12471,0
NVOX.US,D,20250114,000000,10.88,10.96,10.07,10.3528,35884,0
NVOX.US,D,20250115,000000,10.85,10.96,10.7401,10.781,49244,0
NVOX.US,D,20250116,000000,10.7316,10.99,10.61,10.8416,21270,0
NVOX.US,D,20250117,000000,9.98,10.2057,9.53,9.67,248588,0
NVOX.US,D,20250121,000000,9.811,10.23,9.811,10.2244,98183,0
NVOX.US,D,20250122,000000,10.38,10.4,10.1,10.1,41206,0
NVOX.US,D,20250123,000000,10.172,10.36,10.08,10.24,18467,0
NVOX.US,D,20250124,000000,12.146,12.46,11.6,11.96,222113,0
NVOX.US,D,20250127,000000,11.4,12.05,11.38,11.81,61856,0
NVOX.US,D,20250128,000000,11.451,11.573,11.07,11.19,46590,0
NVOX.US,D,20250129,000000,11.3059,11.3059,10.88,10.88,20444,0
NVOX.US,D,20250130,000000,10.95,11.3276,10.85,11.19,22639,0
NVOX.US,D,20250131,000000,11.15,11.21,10.94,10.94,27870,0
NVOX.US,D,20250203,000000,10.45,10.62,10.32,10.4955,19547,0
NVOX.US,D,20250204,000000,10.23,10.66,10.22,10.495,56040,0
NVOX.US,D,20250205,000000,11.45,11.6,11.115,11.26,131934,0
NVOX.US,D,20250206,000000,11.56,12.08,11.521,11.63,30366,0
NVOX.US,D,20250207,000000,12,12.05,11.35,11.43,27956,0
NVOX.US,D,20250210,000000,11.24,11.24,10.7,10.75,58577,0
NVOX.US,D,20250211,000000,10.62,10.82,10.5,10.69,12748,0
NVOX.US,D,20250212,000000,9.99,10.3,9.9098,10.17,52404,0
NVOX.US,D,20250213,000000,9.65,9.77,9.4401,9.4401,82555,0
NVOX.US,D,20250214,000000,9.4,9.48,9.21,9.22,52551,0
NVOX.US,D,20250218,000000,10.2432,10.33,10.0553,10.27,94433,0
NVOX.US,D,20250219,000000,10.43,10.5762,10.32,10.5344,30209,0
NVOX.US,D,20250220,000000,10.4,10.6671,10.35,10.59,44104,0
NVOX.US,D,20250221,000000,11.77,11.942,11.21,11.67,137141,0
