<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OBDE.US,D,20240126,000000,15.23,15.23,14.44,14.64,56066,0
OBDE.US,D,20240129,000000,14.75,14.85,14.68,14.8,14437,0
OBDE.US,D,20240130,000000,14.83,14.8999,14.7,14.75,19708,0
OBDE.US,D,20240131,000000,14.8,14.85,14.7,14.73,21417,0
OBDE.US,D,20240201,000000,14.78,14.78,14.65,14.66,11866,0
OBDE.US,D,20240202,000000,14.6571,14.6571,14.48,14.51,25557,0
OBDE.US,D,20240205,000000,14.5999,14.5999,14.51,14.52,12194,0
OBDE.US,D,20240206,000000,14.575,14.6,14.43,14.45,30553,0
OBDE.US,D,20240207,000000,14.5,14.5499,14.26,14.26,27603,0
OBDE.US,D,20240208,000000,14.23,14.5365,14.23,14.46,25658,0
OBDE.US,D,20240209,000000,14.4475,14.6,14.27,14.35,113989,0
OBDE.US,D,20240212,000000,14.58,14.6,14.47,14.51,102259,0
OBDE.US,D,20240213,000000,14.55,14.7,14.5,14.59,31692,0
OBDE.US,D,20240214,000000,14.65,14.65,14.55,14.59,15642,0
OBDE.US,D,20240215,000000,14.6,14.81,14.6,14.64,44392,0
OBDE.US,D,20240216,000000,14.61,15.03,14.58,14.76,81911,0
OBDE.US,D,20240220,000000,14.8,14.8,14.69,14.75,28282,0
OBDE.US,D,20240221,000000,14.75,14.75,14.5,14.6,43765,0
OBDE.US,D,20240222,000000,14.6,14.9,14.6,14.89,77420,0
OBDE.US,D,20240223,000000,14.91,14.91,14.8,14.85,42908,0
OBDE.US,D,20240226,000000,14.9,15,14.8,15,43474,0
OBDE.US,D,20240227,000000,15.25,15.25,14.9,14.95,49966,0
OBDE.US,D,20240228,000000,14.93,14.95,14.9,14.95,21315,0
OBDE.US,D,20240229,000000,15,15,14.895,14.95,42071,0
OBDE.US,D,20240301,000000,14.95,14.96,14.85,14.9,31763,0
OBDE.US,D,20240304,000000,14.93,14.93,14.8,14.87,36417,0
OBDE.US,D,20240305,000000,14.9499,15.02,14.85,15,173809,0
OBDE.US,D,20240306,000000,15,15,14.9,15,6283,0
OBDE.US,D,20240307,000000,14.9,15.06,14.9,15,253742,0
OBDE.US,D,20240308,000000,15,15.01,14.84,14.995,14891,0
OBDE.US,D,20240311,000000,15,15,14.85,14.95,9127,0
OBDE.US,D,20240312,000000,14.9,15.05,14.8,15.05,59026,0
