<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ONEZ.US,D,20250205,000000,24.7516,24.97,24.7516,24.9252,3885,0
ONEZ.US,D,20250206,000000,24.9899,24.9899,24.88,24.96,3697,0
ONEZ.US,D,20250207,000000,24.9103,24.9103,24.85,24.9,3895,0
ONEZ.US,D,20250210,000000,24.93,25,24.88,24.9112,3176,0
ONEZ.US,D,20250211,000000,24.8817,24.99,24.8315,24.9212,4843,0
ONEZ.US,D,20250212,000000,24.78,24.96,24.78,24.8743,8548,0
ONEZ.US,D,20250213,000000,24.9,25.05,24.9,25.0466,5999,0
ONEZ.US,D,20250214,000000,25.01,25.15,25.01,25.1296,3421,0
ONEZ.US,D,20250218,000000,24.9901,25.31,24.9901,25.31,6191,0
ONEZ.US,D,20250219,000000,25.1499,25.22,24.9901,25.1875,7988,0
ONEZ.US,D,20250220,000000,25.19,25.19,24.99,25.14,12901,0
ONEZ.US,D,20250221,000000,25.07,25.07,24.74,24.74,15665,0
