<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PCG_X.US,D,20241212,000000,49.4,49.66,49,49.66,543151,0
PCG_X.US,D,20241213,000000,49.4,49.53,49.33,49.33,220850,0
PCG_X.US,D,20241216,000000,49.38,49.44,49.04,49.04,733800,0
PCG_X.US,D,20241217,000000,49.04,50.025,49.03,50.025,337930,0
PCG_X.US,D,20241218,000000,49.08,49.12,48.33,48.38,120213,0
PCG_X.US,D,20241219,000000,48.82,49.11,48.66,48.77,344433,0
PCG_X.US,D,20241220,000000,48.64,49.37,48.64,49.37,162639,0
PCG_X.US,D,20241223,000000,49.24,49.38,49.24,49.38,102257,0
PCG_X.US,D,20241224,000000,49.58,49.84,49.56,49.84,152885,0
PCG_X.US,D,20241226,000000,49.86,49.86,49.86,49.86,1277,0
PCG_X.US,D,20241227,000000,49.86,50.28,49.8,49.92,18629,0
PCG_X.US,D,20241230,000000,49.84,51,49.67,49.82,577262,0
PCG_X.US,D,20241231,000000,49.87,50.16,49.68,49.79,3696907,0
PCG_X.US,D,20250102,000000,49.94,49.98,49.49,49.49,127002,0
PCG_X.US,D,20250103,000000,49.54,50.2,49.51,50.11,675161,0
PCG_X.US,D,20250106,000000,50.11,50.25,49.29,49.31,186593,0
PCG_X.US,D,20250107,000000,49.4,49.5,49.36,49.45,249706,0
PCG_X.US,D,20250108,000000,49.17,49.17,47.55,48.23,1365366,0
PCG_X.US,D,20250110,000000,46.6,47.64,43.8,44.17,1918945,0
PCG_X.US,D,20250113,000000,44.19,44.25,42.07,42.37,8632463,0
PCG_X.US,D,20250114,000000,42.07,42.62,41.96,41.96,2175539,0
PCG_X.US,D,20250115,000000,42.83,44.44,42.16,43.22,2240744,0
PCG_X.US,D,20250116,000000,43.69,44,43.21,43.26,531004,0
PCG_X.US,D,20250117,000000,43.7,43.94,43.32,43.48,878412,0
PCG_X.US,D,20250121,000000,44.19,44.4899,43.67,44.37,208579,0
PCG_X.US,D,20250122,000000,44.24,44.37,42.65,42.68,468561,0
PCG_X.US,D,20250123,000000,42.91,42.91,41.72,42.4,33363,0
PCG_X.US,D,20250124,000000,42.62,43,42.38,42.99,595648,0
PCG_X.US,D,20250127,000000,42.94,42.95,42.02,42.66,87427,0
PCG_X.US,D,20250128,000000,42.34,42.34,41.79,42.12,36973,0
PCG_X.US,D,20250129,000000,41.86,42,41.69,41.75,771504,0
PCG_X.US,D,20250130,000000,41.89,42.2,41.3,41.69,648483,0
PCG_X.US,D,20250131,000000,41.4881,42.23,41.0474,42.23,2057030,0
PCG_X.US,D,20250203,000000,41.3,41.43,40.6,40.68,66481,0
PCG_X.US,D,20250204,000000,40.56,40.99,40.2701,40.88,33091,0
PCG_X.US,D,20250205,000000,40.98,41.8,40.76,41.78,273086,0
PCG_X.US,D,20250206,000000,41.91,43.72,41.45,41.84,106545,0
PCG_X.US,D,20250207,000000,41.3885,41.5,40.95,41.2,437031,0
PCG_X.US,D,20250210,000000,41.2,41.71,40.9,41.71,321079,0
PCG_X.US,D,20250211,000000,41.26,41.93,41.16,41.78,11587,0
PCG_X.US,D,20250212,000000,41.51,42.31,41.51,42.07,1218422,0
PCG_X.US,D,20250213,000000,42.02,42.25,41.66,41.71,300049,0
PCG_X.US,D,20250214,000000,40.99,41.28,40.13,41.28,1796052,0
PCG_X.US,D,20250218,000000,40.57,41.24,40,40.64,383547,0
PCG_X.US,D,20250219,000000,41.03,41.3899,40.21,40.63,1008923,0
PCG_X.US,D,20250220,000000,40.74,41.05,40.74,41.05,155693,0
PCG_X.US,D,20250221,000000,41.3,41.52,41.05,41.52,17642,0
