<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PEVC.US,D,20250205,000000,25.09,25.3338,25.09,25.3338,386,0
PEVC.US,D,20250206,000000,25.48,25.48,25.2796,25.4279,643,0
PEVC.US,D,20250207,000000,25.74,25.82,25.1701,25.1701,2896,0
PEVC.US,D,20250210,000000,25.475,25.5752,25.475,25.5752,819,0
PEVC.US,D,20250211,000000,25.49,25.56,25.4669,25.4669,22063,0
PEVC.US,D,20250212,000000,25.24,25.4697,25.2397,25.4697,3223,0
PEVC.US,D,20250213,000000,25.6,25.9073,25.6,25.9073,2453,0
PEVC.US,D,20250214,000000,25.96,26.03,25.87,26.02,12819,0
PEVC.US,D,20250218,000000,25.93,26.0042,25.9,26.0042,1762,0
PEVC.US,D,20250219,000000,25.8,25.9295,25.8,25.9295,540,0
PEVC.US,D,20250220,000000,25.55,25.5687,25.55,25.5687,116,0
PEVC.US,D,20250221,000000,25.52,25.52,24.81,24.81,11372,0
