<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PGRU.US,D,20220321,000000,8.46,8.62,7.75,7.89,88061,0
PGRU.US,D,20220322,000000,7.99,8.1,7.7001,7.96,108117,0
PGRU.US,D,20220323,000000,7.76,8.5,7.76,7.88,126128,0
PGRU.US,D,20220324,000000,7.38,7.88,6.27,6.91,240193,0
PGRU.US,D,20220325,000000,6.89,7.1947,6.11,6.41,233681,0
PGRU.US,D,20220328,000000,6.6,7.01,6.56,6.9112,93700,0
PGRU.US,D,20220329,000000,6.81,7.3,6.61,7.12,56051,0
PGRU.US,D,20220330,000000,7.22,7.465,7,7.06,63245,0
PGRU.US,D,20220331,000000,7.06,7.39,6.9,6.9,32573,0
PGRU.US,D,20220401,000000,6.8,7.04,6.23,6.23,79122,0
PGRU.US,D,20220404,000000,6.6,6.99,6.5,6.84,35490,0
PGRU.US,D,20220405,000000,6.95,7,6.77,6.92,30907,0
PGRU.US,D,20220406,000000,7,7.04,6.81,6.96,8789,0
PGRU.US,D,20220407,000000,6.93,7.2699,6.93,7.21,5275,0
PGRU.US,D,20220408,000000,7.05,7.29,7.04,7.29,4558,0
PGRU.US,D,20220411,000000,7.12,7.27,6.84,6.95,25641,0
PGRU.US,D,20220412,000000,6.99,7.15,6.32,6.68,27937,0
PGRU.US,D,20220413,000000,6.4,6.99,6.25,6.31,67846,0
PGRU.US,D,20220414,000000,6.35,6.6,6.21,6.23,55954,0
PGRU.US,D,20220418,000000,6.1,6.35,6,6.03,42750,0
PGRU.US,D,20220419,000000,6.21,6.36,6.0501,6.33,35656,0
PGRU.US,D,20220420,000000,6.42,6.51,6.18,6.47,36656,0
PGRU.US,D,20220421,000000,6.55,6.81,6.31,6.79,46452,0
PGRU.US,D,20220422,000000,6.78,7.47,6.58,7.31,74836,0
PGRU.US,D,20220425,000000,7.3,7.83,7.3,7.83,51006,0
PGRU.US,D,20220426,000000,7.48,7.48,7.25,7.36,19337,0
PGRU.US,D,20220427,000000,7.43,7.85,7.32,7.47,29219,0
PGRU.US,D,20220428,000000,7.39,7.59,7.15,7.51,28879,0
PGRU.US,D,20220429,000000,7.2149,7.71,7.2149,7.71,23501,0
PGRU.US,D,20220502,000000,7.42,7.69,7.33,7.33,4394,0
PGRU.US,D,20220503,000000,7.25,7.6,7.2,7.44,133701,0
PGRU.US,D,20220504,000000,7.37,7.7,7.3012,7.66,18989,0
PGRU.US,D,20220505,000000,7.53,7.75,7.35,7.48,20442,0
PGRU.US,D,20220506,000000,7.37,7.75,7.35,7.49,19824,0
PGRU.US,D,20220509,000000,7.74,7.74,7.25,7.3,13041,0
PGRU.US,D,20220510,000000,7.16,7.69,6.77,6.77,79557,0
PGRU.US,D,20220511,000000,7.29,7.52,6.88,7.17,44454,0
PGRU.US,D,20220512,000000,7.02,7.4,6.9,7,22699,0
PGRU.US,D,20220513,000000,7,7,6.39,6.66,26804,0
PGRU.US,D,20220516,000000,6.72,7,6.4,6.9,18792,0
