<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PIEQ.US,D,20241111,000000,24.87,24.8905,24.87,24.8905,141,0
PIEQ.US,D,20241112,000000,24.87,25,24.43,24.53,2144,0
PIEQ.US,D,20241113,000000,24.8,24.8,24.2121,24.2121,528,0
PIEQ.US,D,20241114,000000,24.38,24.38,24.2005,24.2005,129,0
PIEQ.US,D,20241115,000000,24.23,24.23,24.197,24.197,366,0
PIEQ.US,D,20241118,000000,24.3999,24.3999,24.3734,24.3734,152,0
PIEQ.US,D,20241120,000000,24.25,24.49,24.2,24.3098,1172935,0
PIEQ.US,D,20241121,000000,24.365,24.51,24.33,24.4598,4314,0
PIEQ.US,D,20241122,000000,24.37,24.47,24.37,24.4397,3476,0
PIEQ.US,D,20241125,000000,24.52,24.56,24.39,24.4809,4435,0
PIEQ.US,D,20241126,000000,24.5,24.5,24.35,24.38,7243,0
PIEQ.US,D,20241127,000000,24.51,24.535,24.5099,24.521,3918,0
PIEQ.US,D,20241129,000000,24.64,24.7533,24.64,24.7533,843,0
PIEQ.US,D,20241202,000000,24.79,25.17,24.79,25.02,5355,0
PIEQ.US,D,20241203,000000,24.9397,25.02,24.9397,24.98,5672,0
PIEQ.US,D,20241204,000000,24.9046,24.94,24.9046,24.9054,1888,0
PIEQ.US,D,20241205,000000,25.13,25.16,25.1,25.15,3916,0
PIEQ.US,D,20241206,000000,25.165,25.2,25.0919,25.0919,4216,0
PIEQ.US,D,20241209,000000,25.3301,25.48,25.31,25.34,2717,0
PIEQ.US,D,20241210,000000,25.08,25.14,25.03,25.0525,6329,0
PIEQ.US,D,20241211,000000,25.02,25.11,24.98,25.1066,1119,0
PIEQ.US,D,20241212,000000,25,25,24.9172,24.9172,3963,0
PIEQ.US,D,20241213,000000,24.8511,24.92,24.85,24.8848,1016,0
PIEQ.US,D,20241216,000000,24.78,24.79,24.74,24.78,2193,0
PIEQ.US,D,20241217,000000,24.75,24.85,24.7343,24.82,49619,0
PIEQ.US,D,20241218,000000,24.73,24.769,24.131,24.131,7452,0
PIEQ.US,D,20241219,000000,24.2,24.2047,24.105,24.105,900,0
PIEQ.US,D,20241220,000000,24.15,24.2601,24.09,24.1427,1883,0
PIEQ.US,D,20241223,000000,24.16,24.44,24.13,24.435,7653,0
PIEQ.US,D,20241224,000000,24.42,24.61,24.3334,24.3773,6197,0
PIEQ.US,D,20241226,000000,24.4,24.8,24.31,24.59,32209,0
PIEQ.US,D,20241227,000000,24.28,24.4099,24.28,24.3631,6247,0
PIEQ.US,D,20241230,000000,24.17,24.27,24.17,24.27,3593,0
PIEQ.US,D,20241231,000000,24.18,24.2,24.1101,24.1718,2349,0
PIEQ.US,D,20250102,000000,24.38,24.39,24.2,24.2192,3352,0
PIEQ.US,D,20250103,000000,24.33,24.49,24.29,24.4005,6591,0
PIEQ.US,D,20250106,000000,24.71,24.71,24.5101,24.5666,3866,0
PIEQ.US,D,20250107,000000,24.625,24.7,24.5399,24.5399,2088,0
PIEQ.US,D,20250108,000000,24.405,24.5392,24.398,24.5392,4823,0
PIEQ.US,D,20250110,000000,24.16,24.34,24.16,24.1914,9642,0
PIEQ.US,D,20250113,000000,24.1,24.1581,24.01,24.1087,3212,0
PIEQ.US,D,20250114,000000,24.24,24.27,24.19,24.2257,6748,0
PIEQ.US,D,20250115,000000,24.4121,24.44,24.4,24.4,3544,0
PIEQ.US,D,20250116,000000,24.5169,24.8,24.5169,24.6204,4011,0
PIEQ.US,D,20250117,000000,24.76,24.94,24.6896,24.7534,5420,0
PIEQ.US,D,20250121,000000,25.0701,25.1834,25.0701,25.1834,753,0
PIEQ.US,D,20250122,000000,25.36,25.41,25.2515,25.2515,1787,0
PIEQ.US,D,20250123,000000,25.3201,25.37,25.3201,25.3629,1435,0
PIEQ.US,D,20250124,000000,25.5,25.5442,25.4693,25.4693,1517,0
PIEQ.US,D,20250127,000000,25.28,25.39,25.1901,25.36,3024,0
PIEQ.US,D,20250128,000000,25.24,25.355,25.2205,25.3394,7897,0
PIEQ.US,D,20250129,000000,25.4601,25.4615,25.3301,25.3507,6704,0
PIEQ.US,D,20250130,000000,25.6601,25.8,25.6601,25.7043,994,0
PIEQ.US,D,20250131,000000,25.6,25.68,25.32,25.32,578020,0
PIEQ.US,D,20250203,000000,25.22,25.22,25.03,25.03,2914,0
PIEQ.US,D,20250204,000000,25.4815,25.5,25.4426,25.4426,1712,0
PIEQ.US,D,20250205,000000,25.5941,25.695,25.5941,25.64,4760,0
PIEQ.US,D,20250206,000000,25.83,25.87,25.83,25.836,1964,0
PIEQ.US,D,20250207,000000,25.97,25.97,25.67,25.69,4186,0
PIEQ.US,D,20250210,000000,25.85,25.89,25.84,25.8659,1866,0
PIEQ.US,D,20250211,000000,25.885,25.97,25.83,25.97,4199,0
PIEQ.US,D,20250212,000000,25.82,26.17,25.82,26.08,2676,0
PIEQ.US,D,20250213,000000,26.15,26.35,26.15,26.3188,10969,0
PIEQ.US,D,20250214,000000,26.55,26.55,26.39,26.4222,3075,0
PIEQ.US,D,20250218,000000,26.76,26.9,26.7101,26.87,19522,0
PIEQ.US,D,20250219,000000,26.61,26.65,26.58,26.621,7692,0
PIEQ.US,D,20250220,000000,27.025,27.025,26.6001,26.76,10471,0
PIEQ.US,D,20250221,000000,26.685,26.78,26.64,26.68,5702,0
