<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PRVS.US,D,20241217,000000,24.74,24.74,24.71,24.7199,711,0
PRVS.US,D,20241218,000000,24.7,24.77,24.0294,24.0294,5783,0
PRVS.US,D,20241219,000000,23.97,23.972,23.7185,23.7185,13913,0
PRVS.US,D,20241220,000000,23.69,24.1499,23.64,24.07,18531,0
PRVS.US,D,20241223,000000,24.04,24.1735,23.96,24.1735,825,0
PRVS.US,D,20241224,000000,24.15,24.299,24.15,24.2856,847,0
PRVS.US,D,20241226,000000,24.2861,24.34,24.22,24.32,3417,0
PRVS.US,D,20241227,000000,24.1501,24.19,24.0398,24.1449,8469,0
PRVS.US,D,20241230,000000,23.78,23.96,23.75,23.9298,4224,0
PRVS.US,D,20241231,000000,23.99,23.99,23.85,23.8668,3170,0
PRVS.US,D,20250102,000000,24.05,24.13,23.81,23.889,16055,0
PRVS.US,D,20250103,000000,24,24.22,24,24.187,6984,0
PRVS.US,D,20250106,000000,24.41,24.65,24.38,24.45,16138,0
PRVS.US,D,20250107,000000,24.45,24.45,24.22,24.2558,87572,0
PRVS.US,D,20250108,000000,24.12,24.23,24.08,24.23,25615,0
PRVS.US,D,20250110,000000,24,24,23.847,23.8894,6087,0
PRVS.US,D,20250113,000000,23.8,24.01,23.8,23.9988,8360,0
PRVS.US,D,20250114,000000,24.13,24.13,23.9197,24.0778,1342,0
PRVS.US,D,20250115,000000,24.46,24.46,24.3354,24.3768,1147,0
PRVS.US,D,20250116,000000,24.39,24.59,24.39,24.5268,1983,0
PRVS.US,D,20250117,000000,24.67,24.68,24.63,24.6687,5812,0
PRVS.US,D,20250121,000000,24.87,25.03,24.83,25.03,13594,0
PRVS.US,D,20250122,000000,25.08,25.13,25.0396,25.0396,775,0
PRVS.US,D,20250123,000000,25.129,25.1614,25.115,25.1614,4388,0
PRVS.US,D,20250124,000000,25.23,25.23,25.1569,25.1569,9063,0
PRVS.US,D,20250127,000000,24.98,25.0908,24.95,25.0908,13089,0
PRVS.US,D,20250128,000000,25.11,25.11,25,25.0147,4887,0
PRVS.US,D,20250129,000000,25.06,25.06,24.9414,24.9414,359,0
PRVS.US,D,20250130,000000,25.02,25.2,25.02,25.1031,1537,0
PRVS.US,D,20250131,000000,25.17,25.34,25.05,25.0587,22064,0
PRVS.US,D,20250203,000000,24.66,24.89,24.6,24.7861,9429,0
PRVS.US,D,20250204,000000,24.88,24.89,24.86,24.8605,425,0
PRVS.US,D,20250205,000000,24.94,24.983,24.9399,24.983,1861,0
PRVS.US,D,20250206,000000,25.01,25.06,24.95,24.9942,5224,0
PRVS.US,D,20250207,000000,24.91,24.91,24.71,24.7501,7867,0
PRVS.US,D,20250210,000000,24.95,24.95,24.7699,24.84,2938,0
PRVS.US,D,20250211,000000,24.89,24.89,24.789,24.8287,374,0
PRVS.US,D,20250212,000000,24.55,24.7003,24.54,24.7003,12962,0
PRVS.US,D,20250213,000000,24.68,24.9,24.68,24.8984,4147,0
PRVS.US,D,20250214,000000,24.98,24.98,24.8764,24.8764,9161,0
PRVS.US,D,20250218,000000,24.94,25.0303,24.89,25.0303,759,0
PRVS.US,D,20250219,000000,24.93,25.0892,24.93,25.0892,1176,0
PRVS.US,D,20250220,000000,24.99,24.99,24.8898,24.9673,1525,0
PRVS.US,D,20250221,000000,24.85,24.85,24.64,24.64,5908,0
