<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PSQA.US,D,20240916,000000,20.07,20.07,20.07,20.07,226,0
PSQA.US,D,20240917,000000,20.1,20.1,20.0659,20.0659,255,0
PSQA.US,D,20240918,000000,20.1011,20.1011,20.0632,20.065,2232,0
PSQA.US,D,20240919,000000,20.0976,20.0976,20.0976,20.0976,1,0
PSQA.US,D,20240920,000000,20.12,20.12,20.075,20.075,5101,0
PSQA.US,D,20240923,000000,20.07,20.07,20.07,20.07,56,0
PSQA.US,D,20240924,000000,20.0899,20.0899,20.0899,20.0899,59500,0
PSQA.US,D,20240925,000000,20.075,20.0785,20.075,20.0785,499,0
PSQA.US,D,20240926,000000,20.1,20.1,20.09,20.09,701,0
PSQA.US,D,20240927,000000,20.12,20.125,20.1,20.125,58232,0
PSQA.US,D,20240930,000000,20.1292,20.13,20.1231,20.1231,502,0
PSQA.US,D,20241001,000000,20.09,20.09,20.09,20.09,4,0
PSQA.US,D,20241002,000000,20.14,20.14,20.13,20.13,1243,0
PSQA.US,D,20241003,000000,20.13,20.13,20.13,20.13,381,0
PSQA.US,D,20241004,000000,20.09,20.09,20.09,20.09,17,0
PSQA.US,D,20241007,000000,20.27,20.27,20.14,20.14,201,0
PSQA.US,D,20241008,000000,20.13,20.2,20.13,20.16,8482,0
PSQA.US,D,20241009,000000,20.17,20.18,20.165,20.165,1191,0
PSQA.US,D,20241010,000000,20.6,20.6,20.16,20.185,18830,0
PSQA.US,D,20241011,000000,20.115,20.115,20.115,20.115,4,0
PSQA.US,D,20241014,000000,20.55,20.55,20.13,20.13,2346,0
PSQA.US,D,20241015,000000,20.88,20.88,20.18,20.18,1905,0
PSQA.US,D,20241016,000000,20.18,20.18,20.18,20.18,105,0
PSQA.US,D,20241017,000000,20.14,20.2228,20.14,20.2228,3711,0
PSQA.US,D,20241018,000000,20.1507,20.1507,20.1507,20.1507,70,0
PSQA.US,D,20241021,000000,20.12,20.217,20.12,20.217,3030,0
PSQA.US,D,20241022,000000,20.21,20.23,20.17,20.1838,501500,0
PSQA.US,D,20241023,000000,20.1767,20.1767,20.1767,20.1767,70,0
PSQA.US,D,20241024,000000,20.1863,20.1863,20.1863,20.1863,70,0
PSQA.US,D,20241025,000000,20.24,20.24,20.24,20.24,100,0
PSQA.US,D,20241028,000000,20.37,20.37,20.23,20.2631,2501,0
PSQA.US,D,20241029,000000,20.2215,20.2215,20.2215,20.2215,10,0
PSQA.US,D,20241030,000000,20.97,20.97,20.2,20.275,11614,0
PSQA.US,D,20241031,000000,20.26,20.26,20.26,20.26,300,0
PSQA.US,D,20241101,000000,20.26,20.27,20.26,20.27,2059,0
PSQA.US,D,20241104,000000,20.2411,20.2411,20.2411,20.2411,70,0
PSQA.US,D,20241105,000000,20.67,20.67,20.19,20.27,50751,0
PSQA.US,D,20241106,000000,20.2914,20.2914,20.22,20.2469,2162,0
PSQA.US,D,20241107,000000,20.27,20.27,20.25,20.27,2101,0
PSQA.US,D,20241108,000000,20.28,20.29,20.26,20.2792,6521,0
PSQA.US,D,20241112,000000,20.3,20.3,20.2706,20.2706,12059,0
PSQA.US,D,20241113,000000,20.29,20.3,20.26,20.2683,3501,0
PSQA.US,D,20241114,000000,20.27,20.27,20.2699,20.2699,204,0
PSQA.US,D,20241115,000000,20.272,20.31,20.27,20.2906,5102,0
PSQA.US,D,20241118,000000,20.2701,20.31,20.2701,20.2851,2202,0
PSQA.US,D,20241119,000000,20.31,20.31,20.301,20.301,173,0
PSQA.US,D,20241120,000000,20.32,20.33,20.29,20.3101,75774,0
PSQA.US,D,20241122,000000,20.33,20.73,20.32,20.32,10891,0
PSQA.US,D,20241126,000000,20.3372,20.3372,20.3355,20.3355,1565,0
PSQA.US,D,20241202,000000,20.37,20.37,20.35,20.3508,1390,0
PSQA.US,D,20241203,000000,20.36,20.36,20.36,20.36,1290,0
PSQA.US,D,20241204,000000,20.37,20.37,20.3656,20.3656,201,0
PSQA.US,D,20241205,000000,20.34,20.35,20.33,20.34,19177,0
PSQA.US,D,20241206,000000,20.36,20.365,20.34,20.3441,29411,0
PSQA.US,D,20241209,000000,20.3585,20.78,20.3585,20.36,1975,0
PSQA.US,D,20241210,000000,20.36,20.39,20.35,20.355,9385,0
PSQA.US,D,20241211,000000,20.36,20.3998,20.36,20.36,4721,0
PSQA.US,D,20241212,000000,20.36,20.36,20.35,20.355,17116,0
PSQA.US,D,20241213,000000,20.37,20.37,20.36,20.36,2884,0
PSQA.US,D,20241216,000000,20.37,20.37,20.36,20.365,8168,0
PSQA.US,D,20241218,000000,20.395,20.395,20.35,20.36,27718,0
PSQA.US,D,20241219,000000,20.36,20.3601,20.35,20.355,18998,0
PSQA.US,D,20241220,000000,20.387,20.4,20.38,20.38,1338,0
PSQA.US,D,20241223,000000,20.41,21.13,20.408,20.408,3630,0
PSQA.US,D,20241224,000000,20.1151,20.14,20.1,20.115,2865,0
PSQA.US,D,20241227,000000,20.12,20.15,20.12,20.12,200300,0
PSQA.US,D,20241230,000000,20.15,20.15,20.1,20.13,614,0
PSQA.US,D,20241231,000000,20.1096,20.21,20.1096,20.13,5147,0
PSQA.US,D,20250106,000000,20.16,20.16,20.13,20.13,3075,0
PSQA.US,D,20250107,000000,20.14,20.15,20.14,20.14,2964,0
PSQA.US,D,20250108,000000,20.1612,20.18,20.15,20.15,872,0
PSQA.US,D,20250110,000000,20.17,20.17,20.15,20.155,12697,0
PSQA.US,D,20250113,000000,20.16,20.16,20.15,20.16,21754,0
PSQA.US,D,20250114,000000,20.17,20.17,20.165,20.165,5720,0
PSQA.US,D,20250115,000000,20.18,20.18,20.165,20.165,6487,0
PSQA.US,D,20250116,000000,20.18,20.18,20.1687,20.17,14176,0
PSQA.US,D,20250117,000000,20.22,20.22,20.19,20.19,934,0
PSQA.US,D,20250121,000000,20.21,20.21,20.195,20.195,277,0
PSQA.US,D,20250122,000000,20.2,20.2,20.18,20.19,23778,0
PSQA.US,D,20250123,000000,20.25,20.25,20.2184,20.2184,8146,0
PSQA.US,D,20250124,000000,20.26,20.26,20.1905,20.2,5648,0
PSQA.US,D,20250127,000000,20.22,20.26,20.22,20.222,1536,0
PSQA.US,D,20250129,000000,20.23,20.27,20.225,20.225,30800,0
PSQA.US,D,20250130,000000,20.24,20.26,20.235,20.24,22335,0
PSQA.US,D,20250131,000000,20.26,20.29,20.26,20.26,21530,0
PSQA.US,D,20250203,000000,20.27,20.32,20.26,20.29,11000,0
PSQA.US,D,20250204,000000,20.28,20.31,20.27,20.2715,10717,0
PSQA.US,D,20250205,000000,20.27,20.3,20.24,20.2857,6765,0
PSQA.US,D,20250206,000000,20.3,20.3,20.3,20.3,2032,0
PSQA.US,D,20250207,000000,20.31,20.31,20.307,20.307,9106,0
PSQA.US,D,20250210,000000,20.32,20.32,20.27,20.295,3230,0
PSQA.US,D,20250211,000000,20.3,20.33,20.3,20.33,5760,0
PSQA.US,D,20250212,000000,20.33,20.34,20.3,20.3,2416,0
PSQA.US,D,20250213,000000,20.3299,20.33,20.295,20.33,6480,0
PSQA.US,D,20250214,000000,20.3299,20.33,20.325,20.325,1773,0
PSQA.US,D,20250218,000000,20.33,20.33,20.31,20.33,5814,0
PSQA.US,D,20250219,000000,20.33,20.34,20.3,20.31,2561,0
PSQA.US,D,20250220,000000,20.31,20.34,20.31,20.34,42639,0
PSQA.US,D,20250221,000000,20.35,20.35,20.35,20.35,5999,0
