<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QBF.US,D,20250207,000000,25.8,25.97,25.07,25.09,23185,0
QBF.US,D,20250210,000000,25.37,25.5,25.3,25.41,22104,0
QBF.US,D,20250211,000000,25.25,25.29,24.8372,24.8832,17717,0
QBF.US,D,20250212,000000,24.92,25.412,24.83,25.29,19886,0
QBF.US,D,20250213,000000,24.992,25.15,24.9,25.15,36894,0
QBF.US,D,20250214,000000,25.257,25.3425,25.23,25.3425,1450,0
QBF.US,D,20250218,000000,24.929,25.2,24.58,24.6276,6801,0
QBF.US,D,20250219,000000,25.055,25.14,25.02,25.0449,4356,0
QBF.US,D,20250220,000000,25.3419,25.65,25.3419,25.5441,4919,0
QBF.US,D,20250221,000000,25.68,25.68,24.81,24.81,6678,0
