<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QIDX.US,D,20250106,000000,10.23,10.24,10.129,10.129,47976,0
QIDX.US,D,20250107,000000,10.1693,10.19,10.07,10.075,138371,0
QIDX.US,D,20250108,000000,10.0499,10.12,10.04,10.12,61460,0
QIDX.US,D,20250110,000000,10.0395,10.06,9.9762,9.9901,154892,0
QIDX.US,D,20250113,000000,9.96,10.04,9.96,10.035,59153,0
QIDX.US,D,20250114,000000,10.1,10.12,10.05,10.1091,27448,0
QIDX.US,D,20250115,000000,10.235,10.24,10.1995,10.215,98339,0
QIDX.US,D,20250116,000000,10.28,10.34,10.23,10.32,71233,0
QIDX.US,D,20250117,000000,10.39,10.4,10.34,10.37,47985,0
QIDX.US,D,20250121,000000,10.46,10.5,10.46,10.49,28114,0
QIDX.US,D,20250122,000000,10.56,10.565,10.52,10.53,29341,0
QIDX.US,D,20250123,000000,10.49,10.55,10.49,10.5449,4590,0
QIDX.US,D,20250124,000000,10.58,10.58,10.53,10.58,11808,0
QIDX.US,D,20250127,000000,10.46,10.49,10.43,10.4594,29200,0
QIDX.US,D,20250128,000000,10.4784,10.62,10.45,10.62,40057,0
QIDX.US,D,20250129,000000,10.53,10.55,10.47,10.489,30558,0
QIDX.US,D,20250130,000000,10.58,10.63,10.55,10.5799,23546,0
QIDX.US,D,20250131,000000,10.58,10.62,10.5,10.5147,46343,0
QIDX.US,D,20250203,000000,10.3696,10.51,10.35,10.49,48199,0
QIDX.US,D,20250204,000000,10.5,10.55,10.5,10.5426,44565,0
QIDX.US,D,20250205,000000,10.53,10.6299,10.53,10.625,49569,0
QIDX.US,D,20250206,000000,10.67,10.67,10.59,10.64,58937,0
QIDX.US,D,20250207,000000,10.6199,10.635,10.57,10.58,90497,0
QIDX.US,D,20250210,000000,10.7,10.7,10.575,10.61,53922,0
QIDX.US,D,20250211,000000,10.59,10.61,10.57,10.5909,38152,0
QIDX.US,D,20250212,000000,10.49,10.5299,10.48,10.49,101184,0
QIDX.US,D,20250213,000000,10.5499,10.63,10.5274,10.63,64745,0
QIDX.US,D,20250214,000000,10.6391,10.64,10.5747,10.5747,151654,0
QIDX.US,D,20250218,000000,10.5677,10.6,10.55,10.5977,26376,0
QIDX.US,D,20250219,000000,10.55,10.6,10.53,10.5861,105704,0
QIDX.US,D,20250220,000000,10.49,10.56,10.46,10.524,149104,0
QIDX.US,D,20250221,000000,10.45,10.46,10.32,10.37,121567,0
