<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QMNV.US,D,20241119,000000,19.9,20.02,19.885,19.9897,212301,0
QMNV.US,D,20241120,000000,19.98,20.03,19.89,20,156456,0
QMNV.US,D,20241121,000000,20.09,20.09,19.8999,20.0299,91110,0
QMNV.US,D,20241122,000000,20.02,20.08,20,20.0655,66898,0
QMNV.US,D,20241125,000000,20.1455,20.1455,20.045,20.09,50205,0
QMNV.US,D,20241126,000000,20.15,20.15,20.1,20.15,30413,0
QMNV.US,D,20241127,000000,20.1,20.91,20.01,20.09,90145,0
QMNV.US,D,20241129,000000,20.12,20.19,20.12,20.18,29929,0
QMNV.US,D,20241202,000000,20.22,20.28,20.2,20.27,29421,0
QMNV.US,D,20241203,000000,20.2593,20.29,20.2001,20.2896,31649,0
QMNV.US,D,20241204,000000,20.345,20.38,20.3212,20.3502,35104,0
QMNV.US,D,20241205,000000,20.37,20.39,20.34,20.3599,56250,0
QMNV.US,D,20241206,000000,20.39,20.46,20.36,20.45,55404,0
QMNV.US,D,20241209,000000,20.335,20.42,20.31,20.37,20064,0
QMNV.US,D,20241210,000000,20.3515,20.4,20.25,20.33,127161,0
QMNV.US,D,20241211,000000,20.395,20.48,20.39,20.47,22872,0
QMNV.US,D,20241212,000000,20.43,20.56,20.395,20.43,46169,0
QMNV.US,D,20241213,000000,20.47,20.49,20.4,20.4362,17154,0
QMNV.US,D,20241216,000000,20.51,20.56,20.495,20.55,41549,0
QMNV.US,D,20241217,000000,20.485,20.54,20.46,20.52,7008,0
QMNV.US,D,20241218,000000,20.5017,20.52,20.2139,20.2139,66615,0
QMNV.US,D,20241219,000000,20.2,20.25,20.15,20.16,5961,0
QMNV.US,D,20241220,000000,20.2099,20.3342,20.1982,20.25,15551,0
QMNV.US,D,20241223,000000,20.3,20.37,20.23,20.37,13220,0
QMNV.US,D,20241224,000000,20.4595,20.49,20.459,20.49,2190,0
QMNV.US,D,20241226,000000,20.5,20.51,20.46,20.46,2971,0
QMNV.US,D,20241227,000000,20.29,20.36,20.285,20.3598,16009,0
QMNV.US,D,20241230,000000,20.25,20.35,20.25,20.2953,20418,0
QMNV.US,D,20241231,000000,20.31,20.31,20.2,20.2,10182,0
QMNV.US,D,20250102,000000,20.31,20.31,20.13,20.22,10454,0
QMNV.US,D,20250103,000000,20.275,20.37,20.275,20.37,8615,0
QMNV.US,D,20250106,000000,20.4,20.5,20.4,20.45,8455,0
QMNV.US,D,20250107,000000,20.4,20.4,20.31,20.31,29738,0
QMNV.US,D,20250108,000000,20.24,20.32,20.24,20.32,3061,0
QMNV.US,D,20250110,000000,20.18,20.19,20.13,20.16,665494,0
QMNV.US,D,20250113,000000,20.05,20.16,20.0281,20.16,19807,0
QMNV.US,D,20250114,000000,20.21,20.23,20.08,20.14,107017,0
QMNV.US,D,20250115,000000,20.325,20.38,20.325,20.3554,3733,0
QMNV.US,D,20250116,000000,20.38,20.39,20.31,20.32,5326,0
QMNV.US,D,20250117,000000,20.44,20.5,20.43,20.48,21842,0
QMNV.US,D,20250121,000000,20.4728,20.54,20.4728,20.53,22797,0
QMNV.US,D,20250122,000000,20.64,20.66,20.6,20.63,8205,0
QMNV.US,D,20250123,000000,20.6,20.65,20.6,20.65,3107,0
QMNV.US,D,20250124,000000,20.6399,20.64,20.57,20.62,16621,0
QMNV.US,D,20250127,000000,20.385,20.385,20.27,20.3145,5145,0
QMNV.US,D,20250128,000000,20.42,20.46,20.3,20.46,1402,0
QMNV.US,D,20250129,000000,20.47,20.48,20.4285,20.48,4455,0
QMNV.US,D,20250130,000000,20.47,20.4873,20.47,20.4873,1220,0
QMNV.US,D,20250131,000000,20.5893,20.5893,20.475,20.51,4441,0
QMNV.US,D,20250203,000000,20.3012,20.48,20.3012,20.39,2351,0
QMNV.US,D,20250204,000000,20.4911,20.56,20.4911,20.56,5433,0
QMNV.US,D,20250205,000000,20.562,20.62,20.562,20.62,25275,0
QMNV.US,D,20250206,000000,20.62,20.65,20.605,20.65,7727,0
QMNV.US,D,20250207,000000,20.62,20.63,20.51,20.57,22454,0
QMNV.US,D,20250210,000000,20.62,20.65,20.62,20.65,9407,0
QMNV.US,D,20250211,000000,20.6026,20.6281,20.59,20.62,2998,0
QMNV.US,D,20250212,000000,20.56,20.62,20.56,20.6116,8341,0
QMNV.US,D,20250213,000000,20.7,20.76,20.68,20.76,4704,0
QMNV.US,D,20250214,000000,20.76,20.8,20.7363,20.8,68134,0
QMNV.US,D,20250218,000000,20.78,20.81,20.7644,20.81,8524,0
QMNV.US,D,20250219,000000,20.77,20.84,20.75,20.83,7559,0
QMNV.US,D,20250220,000000,20.735,20.78,20.735,20.771,4534,0
QMNV.US,D,20250221,000000,20.77,20.77,20.57,20.57,17250,0
