<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QTPI.US,D,20241223,000000,25.01,25.02,25.0086,25.0086,898,0
QTPI.US,D,20241224,000000,25,25,24.99,24.995,356,0
QTPI.US,D,20241226,000000,25.03,25.03,25.01,25.01,100001,0
QTPI.US,D,20241227,000000,25.02,25.02,24.985,24.985,212,0
QTPI.US,D,20241231,000000,25.06,25.063,25.06,25.063,101,0
QTPI.US,D,20250102,000000,25.07,25.14,25.06,25.06,17848,0
QTPI.US,D,20250106,000000,25.05,25.1199,25.03,25.0495,6740,0
QTPI.US,D,20250107,000000,24.99,24.99,24.96,24.97,7350,0
QTPI.US,D,20250110,000000,24.88,24.89,24.7849,24.7849,13601,0
QTPI.US,D,20250115,000000,24.99,24.99,24.99,24.99,272,0
QTPI.US,D,20250121,000000,25.085,25.1525,25.085,25.1525,739,0
QTPI.US,D,20250123,000000,25.19,25.21,25.1111,25.1111,4962,0
QTPI.US,D,20250131,000000,25.16,25.16,25.09,25.09,654,0
QTPI.US,D,20250204,000000,25.199,25.199,25.128,25.128,400,0
QTPI.US,D,20250214,000000,25.14,25.2298,25.14,25.2298,244,0
QTPI.US,D,20250218,000000,25.29,25.3199,25.2017,25.2017,8722,0
QTPI.US,D,20250221,000000,25.25,25.25,25.25,25.25,4100,0
