<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RFIX.US,D,20241212,000000,57.16,57.16,56.1533,56.1533,13034,0
RFIX.US,D,20241213,000000,56.305,56.305,55.78,55.883,4671,0
RFIX.US,D,20241216,000000,56.5,56.63,56,56.3882,1813,0
RFIX.US,D,20241217,000000,56.93,57.26,56.8,56.8528,6893,0
RFIX.US,D,20241218,000000,56.36,56.8044,55.27,56.0865,9489,0
RFIX.US,D,20241219,000000,54.3918,54.59,53.47,54.2046,106742,0
RFIX.US,D,20241220,000000,55.59,56.29,55.5283,55.7005,39191,0
RFIX.US,D,20241223,000000,55.2,55.54,54,54.1136,311500,0
RFIX.US,D,20241224,000000,53.455,54,53.41,53.9132,28773,0
RFIX.US,D,20241226,000000,52.9,53.94,52.56,53.8031,77867,0
RFIX.US,D,20241227,000000,53.05,53.35,52.35,52.5,24241,0
RFIX.US,D,20241230,000000,53.25,53.4,53.0229,53.2682,13665,0
RFIX.US,D,20241231,000000,53.62,53.63,52.77,52.877,19559,0
RFIX.US,D,20250102,000000,53.17,53.71,52.52,53.71,64444,0
RFIX.US,D,20250103,000000,53,53.18,52.4948,52.4948,6780,0
RFIX.US,D,20250106,000000,52.25,52.3,51.6,51.6314,18688,0
RFIX.US,D,20250107,000000,51.15,51.15,50.11,50.5305,35672,0
RFIX.US,D,20250108,000000,50.05,51.05,49.85,50.9394,399979,0
RFIX.US,D,20250110,000000,50.03,50.851,50.01,50.45,33199,0
RFIX.US,D,20250113,000000,50.62,50.8,50,50.2853,44415,0
RFIX.US,D,20250114,000000,50.21,50.26,49.8,50.1392,12617,0
RFIX.US,D,20250115,000000,51.5206,51.99,51.19,51.47,96885,0
RFIX.US,D,20250116,000000,50.37,51.51,50.1398,51.2289,12586,0
RFIX.US,D,20250117,000000,51.17,51.3116,50.835,51.1202,77172,0
RFIX.US,D,20250121,000000,51.42,52.17,51.42,52.0801,13477,0
RFIX.US,D,20250122,000000,52.04,52.04,51.45,51.56,27114,0
RFIX.US,D,20250123,000000,50.47,50.807,50.0448,50.8,515876,0
RFIX.US,D,20250124,000000,50.715,51.3299,50.715,51.1604,13080,0
RFIX.US,D,20250127,000000,52.3207,52.64,51.92,52.26,53396,0
RFIX.US,D,20250128,000000,51.69,52.14,51.4392,52.14,8728,0
RFIX.US,D,20250129,000000,52.195,52.195,51.2145,51.43,32206,0
RFIX.US,D,20250130,000000,52.24,52.59,51.84,51.84,4566,0
RFIX.US,D,20250131,000000,51.92,52.14,50.72,50.8864,4483,0
RFIX.US,D,20250203,000000,53.205,53.3897,52.39,52.39,27666,0
RFIX.US,D,20250204,000000,51.97,53.09,51.8412,53.09,12570,0
RFIX.US,D,20250205,000000,54.49,55.15,54.038,54.49,36298,0
RFIX.US,D,20250206,000000,54.06,54.2036,53.33,53.33,46271,0
RFIX.US,D,20250207,000000,52.62,52.93,52.28,52.55,23233,0
RFIX.US,D,20250210,000000,52.68,53.14,52.25,52.68,15389,0
RFIX.US,D,20250211,000000,51.5,51.61,51.2,51.2552,16468,0
RFIX.US,D,20250212,000000,49.87,49.88,49.1,49.32,138917,0
RFIX.US,D,20250213,000000,51.08,51.1584,50.51,50.568,13673,0
RFIX.US,D,20250214,000000,51.19,51.59,50,51.41,11997,0
RFIX.US,D,20250218,000000,50.17,50.67,49.51,49.51,44367,0
RFIX.US,D,20250219,000000,49.71,49.98,49.41,49.84,50056,0
RFIX.US,D,20250220,000000,50.095,50.65,49.92,50.38,46797,0
RFIX.US,D,20250221,000000,51,52.134,50.6,52.1,147644,0
