<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RMNY.US,D,20240814,000000,25.04,25.07,25.04,25.07,2041,0
RMNY.US,D,20240815,000000,25.0324,25.04,25.0324,25.04,3904,0
RMNY.US,D,20240816,000000,25.06,25.1,25.06,25.075,401,0
RMNY.US,D,20240819,000000,25.1,25.1,25.1,25.1,511,0
RMNY.US,D,20240820,000000,25.1,25.12,25.1,25.11,2144,0
RMNY.US,D,20240821,000000,25.11,25.13,25.11,25.11,4101,0
RMNY.US,D,20240822,000000,25.09,25.09,25.09,25.09,11,0
RMNY.US,D,20240823,000000,25.12,25.12,25.12,25.12,11,0
RMNY.US,D,20240826,000000,25.11,25.12,25.0988,25.0988,5781,0
RMNY.US,D,20240827,000000,25.1,25.1045,25.1,25.1045,4040,0
RMNY.US,D,20240828,000000,25.1161,25.1161,25.1161,25.1161,1,0
RMNY.US,D,20240829,000000,25.17,25.17,25.17,25.17,1,0
RMNY.US,D,20240830,000000,25.1515,25.1515,25.1515,25.1515,40,0
RMNY.US,D,20240903,000000,25.2144,25.22,25.2144,25.22,220,0
RMNY.US,D,20240904,000000,25.28,25.28,25.272,25.272,101,0
RMNY.US,D,20240905,000000,25.26,25.28,25.26,25.26,4159,0
RMNY.US,D,20240906,000000,25.28,25.28,25.28,25.28,1,0
RMNY.US,D,20240909,000000,25.2758,25.2758,25.2758,25.2758,1,0
RMNY.US,D,20240910,000000,25.25,25.29,25.25,25.29,771,0
RMNY.US,D,20240911,000000,25.2955,25.2955,25.2955,25.2955,25,0
RMNY.US,D,20240912,000000,25.3033,25.3033,25.3033,25.3033,1,0
RMNY.US,D,20240913,000000,25.315,25.34,25.315,25.34,322,0
RMNY.US,D,20240916,000000,25.37,25.37,25.3632,25.37,2540,0
RMNY.US,D,20240917,000000,25.33,25.36,25.33,25.36,5995,0
RMNY.US,D,20240918,000000,25.34,25.34,25.32,25.32,580,0
RMNY.US,D,20240919,000000,25.3205,25.3205,25.3205,25.3205,135,0
RMNY.US,D,20240920,000000,25.3433,25.3433,25.3433,25.3433,2,0
RMNY.US,D,20240923,000000,25.33,25.3359,25.33,25.3359,120,0
RMNY.US,D,20240924,000000,25.34,25.355,25.34,25.355,100,0
RMNY.US,D,20240925,000000,25.33,25.33,25.3256,25.3256,2700,0
RMNY.US,D,20240926,000000,25.34,25.34,25.3255,25.3255,2000,0
RMNY.US,D,20240927,000000,25.3008,25.3008,25.3008,25.3008,2,0
RMNY.US,D,20241001,000000,25.3333,25.3333,25.3333,25.3333,2,0
RMNY.US,D,20241002,000000,25.3,25.33,25.3,25.3264,2000,0
RMNY.US,D,20241003,000000,25.31,25.31,25.31,25.31,2,0
RMNY.US,D,20241004,000000,25.255,25.255,25.215,25.215,200,0
RMNY.US,D,20241007,000000,25.19,25.19,25.19,25.19,1,0
RMNY.US,D,20241008,000000,25.1839,25.1839,25.1839,25.1839,1,0
RMNY.US,D,20241009,000000,25.155,25.155,25.155,25.155,1,0
RMNY.US,D,20241010,000000,25.1727,25.2,25.14,25.17,13124,0
RMNY.US,D,20241011,000000,25.17,25.1847,25.17,25.1847,101,0
RMNY.US,D,20241014,000000,25.1246,25.1246,25.1246,25.1246,1,0
RMNY.US,D,20241015,000000,25.25,25.25,25.2485,25.2485,900,0
RMNY.US,D,20241016,000000,25.25,25.25,25.2454,25.2454,1261,0
RMNY.US,D,20241017,000000,25.2,25.215,25.2,25.215,1468,0
RMNY.US,D,20241018,000000,25.2151,25.2151,25.2151,25.2151,1,0
RMNY.US,D,20241021,000000,25.22,25.22,25.14,25.1403,594,0
RMNY.US,D,20241022,000000,25.07,25.075,25.07,25.075,162,0
RMNY.US,D,20241023,000000,24.94,24.9401,24.94,24.9401,236,0
RMNY.US,D,20241024,000000,25.0398,25.0398,25.0398,25.0398,1,0
RMNY.US,D,20241025,000000,25.1248,25.1248,25.1248,25.1248,1,0
RMNY.US,D,20241028,000000,25.1727,25.1727,25.1727,25.1727,1,0
RMNY.US,D,20241029,000000,25.08,25.1509,25.08,25.1509,100,0
RMNY.US,D,20241030,000000,25.065,25.065,25.065,25.065,1,0
RMNY.US,D,20241031,000000,25.0553,25.0553,25.0553,25.0553,97,0
RMNY.US,D,20241104,000000,25.09,25.125,25.09,25.125,140,0
RMNY.US,D,20241105,000000,25.185,25.185,25.185,25.185,26,0
RMNY.US,D,20241106,000000,24.78,24.81,24.78,24.795,2000,0
RMNY.US,D,20241107,000000,24.9644,24.9644,24.9644,24.9644,2,0
RMNY.US,D,20241108,000000,25.1886,25.1886,25.1886,25.1886,26,0
RMNY.US,D,20241113,000000,25.16,25.19,25.075,25.075,10970,0
RMNY.US,D,20241121,000000,25.25,25.26,25.25,25.26,1882,0
RMNY.US,D,20241122,000000,25.25,25.255,25.2,25.255,200,0
RMNY.US,D,20241125,000000,25.3,25.3,25.2867,25.2867,727,0
RMNY.US,D,20241210,000000,25.28,25.3007,25.28,25.3007,3492,0
RMNY.US,D,20241216,000000,25.12,25.1271,25.1188,25.1271,40287,0
RMNY.US,D,20241218,000000,25.05,25.05,24.8704,24.8704,102,0
RMNY.US,D,20241219,000000,24.64,24.7462,24.64,24.7462,589,0
RMNY.US,D,20241231,000000,24.925,24.925,24.87,24.925,1567,0
RMNY.US,D,20250113,000000,24.65,24.65,24.59,24.5917,1105,0
RMNY.US,D,20250116,000000,24.78,24.78,24.7791,24.7791,290,0
RMNY.US,D,20250121,000000,24.98,24.98,24.9797,24.9797,102,0
