<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ROBN.US,D,20250205,000000,24.37,26.14,24.15,26.0683,88837,0
ROBN.US,D,20250206,000000,26.1,26.58,24.04,25.06,81397,0
ROBN.US,D,20250207,000000,26.04,28.64,25.3795,27.6,123321,0
ROBN.US,D,20250210,000000,28.64,28.89,27.25,28.02,229348,0
ROBN.US,D,20250211,000000,27.5,27.6408,25,25,141616,0
ROBN.US,D,20250212,000000,24.6097,28.12,24.6097,27.39,471250,0
ROBN.US,D,20250213,000000,33.4,37.02,32.5659,35.12,733798,0
ROBN.US,D,20250214,000000,34.34,37.53,32.78,36.695,364342,0
ROBN.US,D,20250218,000000,36.66,36.8,30.62,31.17,514254,0
ROBN.US,D,20250219,000000,31.7,32.69,29.3465,29.97,375263,0
ROBN.US,D,20250220,000000,29.69,29.82,24.97,26.7545,604632,0
ROBN.US,D,20250221,000000,28.42,28.42,22.379,22.46,536099,0
