<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RSBA.US,D,20241219,000000,20.01,20.02,19.995,19.995,4442,0
RSBA.US,D,20241220,000000,20.07,20.11,20.07,20.0752,10813,0
RSBA.US,D,20241223,000000,20.03,20.07,19.97,19.97,234031,0
RSBA.US,D,20241224,000000,19.9392,19.979,19.9392,19.9702,2809,0
RSBA.US,D,20241226,000000,19.9188,19.9823,19.91,19.9823,8012,0
RSBA.US,D,20241227,000000,19.97,19.97,19.945,19.945,869,0
RSBA.US,D,20241230,000000,20.03,20.034,20.0199,20.0298,2346,0
RSBA.US,D,20241231,000000,20.03,20.03,20.01,20.015,1260,0
RSBA.US,D,20250102,000000,20.02,20.0699,20.0099,20.0181,2811,0
RSBA.US,D,20250103,000000,20.035,20.04,20.03,20.03,5618,0
RSBA.US,D,20250106,000000,19.979,19.979,19.95,19.9549,1073,0
RSBA.US,D,20250107,000000,19.91,19.91,19.86,19.8802,10628,0
RSBA.US,D,20250108,000000,19.8601,19.93,19.8601,19.9208,5693,0
RSBA.US,D,20250110,000000,19.8428,19.8428,19.815,19.815,624,0
RSBA.US,D,20250113,000000,19.8,19.8,19.79,19.7984,457,0
RSBA.US,D,20250114,000000,19.8099,19.82,19.785,19.815,14749,0
RSBA.US,D,20250115,000000,19.96,19.97,19.95,19.9601,1420,0
RSBA.US,D,20250116,000000,19.96,20.0253,19.96,20.0253,1497,0
RSBA.US,D,20250117,000000,20,20,19.995,19.995,995,0
RSBA.US,D,20250121,000000,20.0361,20.0361,20.01,20.0266,1015,0
RSBA.US,D,20250122,000000,20.01,20.01,19.99,19.9951,5709,0
RSBA.US,D,20250123,000000,19.942,19.97,19.9399,19.9511,2015,0
RSBA.US,D,20250124,000000,20.0073,20.04,20.0073,20.0184,2702,0
RSBA.US,D,20250127,000000,20.12,20.14,20.11,20.1211,3092,0
RSBA.US,D,20250128,000000,20.102,20.12,20.102,20.1147,3708,0
RSBA.US,D,20250129,000000,20.11,20.11,20.1029,20.1029,1246,0
RSBA.US,D,20250130,000000,20.11,20.13,20.1011,20.125,1791,0
RSBA.US,D,20250131,000000,20.16,20.16,20.08,20.0829,81740,0
RSBA.US,D,20250203,000000,20.21,20.21,20.08,20.0951,74810,0
RSBA.US,D,20250204,000000,20.11,20.15,20.107,20.145,8078,0
RSBA.US,D,20250205,000000,20.2092,20.24,20.2092,20.215,35716,0
RSBA.US,D,20250206,000000,20.1564,20.19,20.1564,20.1702,4482,0
RSBA.US,D,20250207,000000,20.1,20.12,20.1,20.11,11776,0
RSBA.US,D,20250210,000000,20.13,20.13,20.11,20.1145,1272,0
RSBA.US,D,20250211,000000,20.1,20.1,20.0899,20.0899,15208,0
RSBA.US,D,20250212,000000,19.989,19.989,19.95,19.985,7222,0
RSBA.US,D,20250213,000000,20.08,20.13,20.0799,20.1116,15444,0
RSBA.US,D,20250214,000000,20.23,20.23,20.1776,20.1776,1232,0
RSBA.US,D,20250218,000000,20.14,20.14,20.12,20.13,3214,0
RSBA.US,D,20250219,000000,20.13,20.16,20.1299,20.14,3018,0
RSBA.US,D,20250220,000000,20.155,20.16,20.155,20.16,2010,0
RSBA.US,D,20250221,000000,20.17,20.25,20.1699,20.24,967,0
