<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RSDE.US,D,20241226,000000,20.16,20.23,20.16,20.205,24790,0
RSDE.US,D,20241227,000000,20.1,20.14,19.99,20.1114,17753,0
RSDE.US,D,20241230,000000,19.955,20.09,19.955,19.99,114170,0
RSDE.US,D,20241231,000000,20.13,20.13,20.02,20.025,25120,0
RSDE.US,D,20250102,000000,20.1,20.12,19.99,20.0367,4625,0
RSDE.US,D,20250103,000000,20.179,20.18,20.1308,20.1308,22261,0
RSDE.US,D,20250106,000000,20.25,20.3,20.1302,20.1302,130609,0
RSDE.US,D,20250107,000000,20.14,20.14,20.071,20.071,2896,0
RSDE.US,D,20250108,000000,20.06,20.1057,20.0173,20.1057,10430,0
RSDE.US,D,20250110,000000,19.99,20.1,19.8966,19.9248,45686,0
RSDE.US,D,20250113,000000,19.84,19.9682,19.84,19.9682,8435,0
RSDE.US,D,20250114,000000,20.08,20.08,20,20.08,9330,0
RSDE.US,D,20250115,000000,20.2985,20.3,20.2103,20.24,7925,0
RSDE.US,D,20250116,000000,20.19,20.35,20.1504,20.3348,21916,0
RSDE.US,D,20250117,000000,20.46,20.49,20.441,20.441,3660,0
RSDE.US,D,20250121,000000,20.58,20.58,20.52,20.545,1363,0
RSDE.US,D,20250122,000000,20.5441,20.57,20.51,20.536,10680,0
RSDE.US,D,20250123,000000,20.51,20.59,20.5,20.5516,15502,0
RSDE.US,D,20250124,000000,20.58,20.63,20.58,20.595,21031,0
RSDE.US,D,20250127,000000,20.55,20.59,20.55,20.58,10796,0
RSDE.US,D,20250128,000000,20.58,20.65,20.545,20.545,13669,0
RSDE.US,D,20250129,000000,20.51,20.51,20.49,20.4916,201,0
RSDE.US,D,20250130,000000,20.59,20.66,20.575,20.575,6227,0
RSDE.US,D,20250131,000000,20.56,20.62,20.5,20.5235,3352,0
RSDE.US,D,20250203,000000,20.32,20.49,20.32,20.48,9258,0
RSDE.US,D,20250204,000000,20.5,20.51,20.44,20.4556,94111,0
RSDE.US,D,20250205,000000,20.42,20.53,20.42,20.5234,1791,0
RSDE.US,D,20250206,000000,20.54,20.54,20.46,20.5066,9000,0
RSDE.US,D,20250207,000000,20.4859,20.4859,20.4185,20.4185,7792,0
RSDE.US,D,20250210,000000,20.49,20.51,20.49,20.51,3402,0
RSDE.US,D,20250211,000000,20.4245,20.51,20.4245,20.4635,8951,0
RSDE.US,D,20250212,000000,20.34,20.45,20.29,20.4143,41439,0
RSDE.US,D,20250213,000000,20.51,20.56,20.43,20.53,10866,0
RSDE.US,D,20250214,000000,20.59,20.59,20.54,20.54,1963,0
RSDE.US,D,20250218,000000,20.57,21.48,20.48,20.5831,19218,0
RSDE.US,D,20250219,000000,20.53,20.64,20.53,20.6052,10764,0
RSDE.US,D,20250220,000000,20.58,20.58,20.53,20.575,1093,0
RSDE.US,D,20250221,000000,20.47,20.47,20.47,20.47,3719,0
