<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RSMV.US,D,20250122,000000,26.11,26.12,26.0665,26.0665,67420,0
RSMV.US,D,20250123,000000,26.0761,26.1634,26.0761,26.1634,35566,0
RSMV.US,D,20250124,000000,26.2774,26.2774,26.15,26.185,174825,0
RSMV.US,D,20250127,000000,25.56,25.56,25.4248,25.5317,5396,0
RSMV.US,D,20250128,000000,25.7,25.96,25.7,25.9474,118035,0
RSMV.US,D,20250129,000000,25.6843,25.8547,25.66,25.8047,7379,0
RSMV.US,D,20250130,000000,26.06,26.1895,26.01,26.1317,11957,0
RSMV.US,D,20250131,000000,26.3189,26.39,26.0452,26.0452,1881,0
RSMV.US,D,20250203,000000,25.59,26,25.59,25.94,57305,0
RSMV.US,D,20250204,000000,26.07,26.1536,26.07,26.1536,830,0
RSMV.US,D,20250205,000000,26.26,26.2811,26.24,26.2811,96160,0
RSMV.US,D,20250206,000000,26.3336,26.42,26.25,26.4175,321282,0
RSMV.US,D,20250207,000000,26.25,26.255,26.1612,26.184,9090,0
RSMV.US,D,20250210,000000,26.2557,26.37,26.2557,26.37,33381,0
RSMV.US,D,20250211,000000,26.29,26.36,26.2801,26.2946,22086,0
RSMV.US,D,20250212,000000,26.17,26.25,26.16,26.1988,13197,0
RSMV.US,D,20250213,000000,26.365,26.4427,26.34,26.4427,15052,0
RSMV.US,D,20250214,000000,26.44,26.52,26.44,26.445,10287,0
RSMV.US,D,20250218,000000,26.4,26.48,26.25,26.3306,66207,0
RSMV.US,D,20250219,000000,26.38,26.425,26.37,26.425,931,0
RSMV.US,D,20250220,000000,26.12,26.3,26.12,26.1604,34436,0
RSMV.US,D,20250221,000000,25.91,25.91,25.735,25.76,124759,0
