<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RWTP.US,D,20250205,000000,24.7,24.8399,24.68,24.8,57679,0
RWTP.US,D,20250206,000000,24.8162,24.84,24.73,24.76,71428,0
RWTP.US,D,20250207,000000,24.78,24.84,24.7657,24.83,56905,0
RWTP.US,D,20250210,000000,24.89,24.89,24.74,24.79,13434,0
RWTP.US,D,20250211,000000,24.835,24.835,24.73,24.75,34874,0
RWTP.US,D,20250212,000000,24.74,24.8,24.67,24.75,31101,0
RWTP.US,D,20250213,000000,24.77,24.88,24.74,24.74,29550,0
RWTP.US,D,20250214,000000,24.7612,24.84,24.76,24.786,26038,0
RWTP.US,D,20250218,000000,24.79,24.87,24.77,24.79,23516,0
RWTP.US,D,20250219,000000,24.88,24.92,24.77,24.772,24030,0
RWTP.US,D,20250220,000000,24.82,24.84,24.78,24.8,62913,0
RWTP.US,D,20250221,000000,24.77,24.77,24.77,24.77,26313,0
