<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SBXC-U.US,D,20240126,000000,10.5,10.6,10.5,10.51,2949,0
SBXC-U.US,D,20240130,000000,10.41,10.41,10.37,10.37,707,0
SBXC-U.US,D,20240201,000000,10.37,10.37,10.37,10.37,505,0
SBXC-U.US,D,20240314,000000,10.54,11.04,10.49,10.55,3973,0
SBXC-U.US,D,20240315,000000,10.69,12.73,10.69,11.25,2322,0
SBXC-U.US,D,20240318,000000,10.9,12.63,10.8,11.25,5299,0
SBXC-U.US,D,20240319,000000,11.8,12.45,11.2,12.01,4392,0
SBXC-U.US,D,20240321,000000,12.22,12.22,11.1,11.1,1074,0
SBXC-U.US,D,20240322,000000,11.89,13.78,11.89,13.67,1117,0
SBXC-U.US,D,20240325,000000,13.44,14.6,13.44,14.6,506,0
SBXC-U.US,D,20240326,000000,14.6,14.6,14.6,14.6,323,0
SBXC-U.US,D,20240327,000000,12.61,12.61,10.75,11,3821,0
SBXC-U.US,D,20240328,000000,10.88,11.6,10.6,10.95,4235,0
SBXC-U.US,D,20240401,000000,10.8,10.8,10.6,10.7,808,0
SBXC-U.US,D,20240402,000000,11.11,11.35,10.64,10.64,1083,0
SBXC-U.US,D,20240403,000000,10.76,10.76,10.53,10.53,677,0
SBXC-U.US,D,20240404,000000,11.4,11.74,11.22,11.65,559,0
SBXC-U.US,D,20240409,000000,11.28,11.95,11.13,11.95,1328,0
SBXC-U.US,D,20240410,000000,12.99,12.99,11.11,11.11,2559,0
SBXC-U.US,D,20240416,000000,11.73,12.3,11.45,12.2,6537,0
SBXC-U.US,D,20240417,000000,11.6,14.6,11.6,12,21815,0
SBXC-U.US,D,20240418,000000,12,12.45,11.2,11.5,12570,0
SBXC-U.US,D,20240419,000000,12,13.2,10.715,11,19223,0
SBXC-U.US,D,20240422,000000,12,13.08,10.56,10.56,13938,0
SBXC-U.US,D,20240423,000000,10.62,10.65,10.54,10.57,4992,0
SBXC-U.US,D,20240425,000000,10.57,10.57,10.57,10.57,371,0
SBXC-U.US,D,20240426,000000,10.59,10.59,10.57,10.57,1524,0
SBXC-U.US,D,20240501,000000,10.57,10.57,10.57,10.57,1783,0
SBXC-U.US,D,20240502,000000,10.5,10.78,10.5,10.78,1003,0
SBXC-U.US,D,20240506,000000,10.58,10.58,10.57,10.57,200,0
SBXC-U.US,D,20240507,000000,10.8,11.1,10.74,11.1,712,0
SBXC-U.US,D,20240508,000000,12.05,14.14,11.55,11.55,1302,0
SBXC-U.US,D,20240509,000000,12.09,13.62,12.09,12.21,3845,0
SBXC-U.US,D,20240510,000000,11.1,11.1,11,11,405,0
SBXC-U.US,D,20240513,000000,10.685,10.98,10.685,10.98,1112,0
SBXC-U.US,D,20240514,000000,10.6,11.04,10.2782,11.04,3016,0
SBXC-U.US,D,20240515,000000,11.27,11.27,11.09,11.09,402,0
SBXC-U.US,D,20240516,000000,11.3,12.1,11.3,11.3,2340,0
SBXC-U.US,D,20240517,000000,11.85,15.18,11.85,13.71,5828,0
SBXC-U.US,D,20240520,000000,11.95,12.1,10.81,11.7,2220,0
SBXC-U.US,D,20240522,000000,11.99,11.99,11.48,11.5,782,0
SBXC-U.US,D,20240523,000000,11.31,12.19,11.31,11.5,3041,0
SBXC-U.US,D,20240524,000000,11.1,11.6,11.1,11.6,565,0
SBXC-U.US,D,20240528,000000,12.19,16.75,11.67,11.99,16279,0
SBXC-U.US,D,20240529,000000,11.11,11.41,10.59,11.04,2565,0
SBXC-U.US,D,20240530,000000,11.1,11.4,10.7,11.4,5189,0
