<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SCCR.US,D,20250207,000000,25.185,25.23,25.0999,25.0999,48231,0
SCCR.US,D,20250210,000000,25.13,25.26,25.12,25.1302,37778,0
SCCR.US,D,20250211,000000,25.0389,25.2,25.0389,25.09,1612650,0
SCCR.US,D,20250212,000000,25,25,24.89,24.9325,29420,0
SCCR.US,D,20250213,000000,25.0538,25.23,25.04,25.115,46397,0
SCCR.US,D,20250214,000000,25.1786,25.27,25.1603,25.19,41199,0
SCCR.US,D,20250218,000000,25.2,26.03,25.095,25.095,62650,0
SCCR.US,D,20250219,000000,25.1,25.15,25.0634,25.116,45700,0
SCCR.US,D,20250220,000000,25.14,25.21,25.1398,25.165,17622,0
SCCR.US,D,20250221,000000,25.22,25.34,25.2199,25.27,31681,0
