<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SEDA.US,D,20211229,000000,9.68,9.69,9.68,9.68,3192,0
SEDA.US,D,20211230,000000,9.575,9.77,9.575,9.7122,5199,0
SEDA.US,D,20211231,000000,9.69,9.74,9.69,9.74,3310,0
SEDA.US,D,20220103,000000,9.7113,9.8,9.66,9.6712,21060,0
SEDA.US,D,20220104,000000,9.67,9.7,9.66,9.7,1800,0
SEDA.US,D,20220105,000000,9.69,9.74,9.68,9.7,18056,0
SEDA.US,D,20220106,000000,9.69,9.7,9.69,9.7,24221,0
SEDA.US,D,20220110,000000,9.6631,9.7,9.6631,9.7,7175,0
SEDA.US,D,20220111,000000,9.7,9.71,9.69,9.69,27516,0
SEDA.US,D,20220112,000000,9.63,9.68,9.63,9.68,844,0
SEDA.US,D,20220119,000000,9.6629,9.71,9.6629,9.71,1978,0
SEDA.US,D,20220120,000000,9.68,9.7,9.67,9.7,11753,0
SEDA.US,D,20220125,000000,9.26,9.69,8.82,9.62,1587,0
SEDA.US,D,20220126,000000,9.64,9.64,9.61,9.6106,2260,0
SEDA.US,D,20220127,000000,9.18,9.69,9.18,9.69,301,0
SEDA.US,D,20220128,000000,9.48,9.68,8.74,9.68,1203,0
SEDA.US,D,20220131,000000,9.7,9.7,9.7,9.7,326,0
SEDA.US,D,20220201,000000,9.71,9.71,9.63,9.66,5834,0
SEDA.US,D,20220203,000000,9.65,9.65,9.65,9.65,193,0
SEDA.US,D,20220204,000000,9.6,9.65,9.6,9.65,2293,0
SEDA.US,D,20220207,000000,9.71,9.71,9.71,9.71,176,0
SEDA.US,D,20220208,000000,9.71,9.73,9.71,9.73,2051,0
SEDA.US,D,20220214,000000,9.685,9.69,9.67,9.69,1040,0
SEDA.US,D,20220223,000000,9.65,9.65,9.6484,9.65,301175,0
SEDA.US,D,20220224,000000,9.655,9.655,9.65,9.65,3539,0
SEDA.US,D,20220225,000000,9.65,9.665,9.65,9.665,10159,0
SEDA.US,D,20220228,000000,9.665,9.665,9.65,9.66,65097,0
SEDA.US,D,20220301,000000,9.68,9.72,9.66,9.71,111023,0
SEDA.US,D,20220302,000000,9.75,9.76,9.75,9.76,478,0
SEDA.US,D,20220309,000000,9.72,9.72,9.72,9.72,151208,0
SEDA.US,D,20220310,000000,9.7,9.7,9.7,9.7,1408,0
SEDA.US,D,20220324,000000,9.73,9.8,9.73,9.775,132371,0
SEDA.US,D,20220405,000000,9.775,9.775,9.775,9.775,411,0
SEDA.US,D,20220406,000000,9.75,9.75,9.75,9.75,300,0
SEDA.US,D,20220407,000000,9.76,9.76,9.75,9.76,8202,0
SEDA.US,D,20220408,000000,9.76,9.8204,9.76,9.78,28492,0
SEDA.US,D,20220411,000000,9.75,9.75,9.75,9.75,100,0
SEDA.US,D,20220413,000000,9.765,9.79,9.765,9.79,2210,0
SEDA.US,D,20220429,000000,9.81,9.81,9.81,9.81,478,0
SEDA.US,D,20220502,000000,9.81,9.81,9.81,9.81,3600,0
SEDA.US,D,20220517,000000,9.76,9.76,9.76,9.76,88810,0
SEDA.US,D,20220519,000000,9.73,9.73,9.73,9.73,600,0
SEDA.US,D,20220607,000000,9.72,9.72,9.72,9.72,200,0
SEDA.US,D,20220608,000000,9.76,9.76,9.75,9.75,204,0
SEDA.US,D,20220621,000000,9.76,9.76,9.72,9.75,42955,0
SEDA.US,D,20220623,000000,9.75,9.75,9.74,9.74,1202,0
SEDA.US,D,20220628,000000,9.75,9.75,9.75,9.75,5300,0
SEDA.US,D,20220629,000000,9.75,9.75,9.75,9.75,2707,0
SEDA.US,D,20220630,000000,9.75,9.75,9.7499,9.7499,305,0
SEDA.US,D,20220708,000000,9.75,9.75,9.74,9.74,300,0
SEDA.US,D,20220711,000000,9.75,9.75,9.75,9.75,400,0
SEDA.US,D,20220712,000000,9.75,9.75,9.75,9.75,17243,0
SEDA.US,D,20220713,000000,9.765,9.765,9.765,9.765,95949,0
SEDA.US,D,20220714,000000,9.76,9.77,9.76,9.77,9000,0
SEDA.US,D,20220715,000000,9.77,9.8,9.77,9.8,7868,0
