<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SMBS.US,D,20241121,000000,25.0997,25.14,25.08,25.108,11707,0
SMBS.US,D,20241122,000000,25.15,25.23,25.0971,25.1387,25183,0
SMBS.US,D,20241125,000000,25.33,25.43,25.2856,25.3687,20928,0
SMBS.US,D,20241126,000000,25.265,25.4,25.2187,25.2729,12342,0
SMBS.US,D,20241127,000000,25.34,25.45,25.3081,25.355,6388,0
SMBS.US,D,20241129,000000,25.42,25.48,25.4,25.4297,7387,0
SMBS.US,D,20241202,000000,25.4,25.47,25.3199,25.3984,6914,0
SMBS.US,D,20241203,000000,25.4416,25.5,25.37,25.37,2248,0
SMBS.US,D,20241204,000000,25.3099,25.45,25.3,25.448,6198,0
SMBS.US,D,20241205,000000,25.41,25.52,25.41,25.47,2634,0
SMBS.US,D,20241206,000000,25.545,25.57,25.5053,25.535,1587,0
SMBS.US,D,20241209,000000,25.5,25.55,25.47,25.4726,4567,0
SMBS.US,D,20241210,000000,25.44,25.49,25.42,25.47,13114,0
SMBS.US,D,20241211,000000,25.48,25.4801,25.3954,25.3954,2158,0
SMBS.US,D,20241212,000000,25.35,25.38,25.29,25.29,5818,0
SMBS.US,D,20241213,000000,25.2214,25.27,25.171,25.21,6696,0
SMBS.US,D,20241216,000000,25.19,25.39,25.19,25.215,5605,0
SMBS.US,D,20241217,000000,25.2058,25.24,25.1975,25.2,6698,0
SMBS.US,D,20241218,000000,25.22,25.2799,25,25.0093,12556,0
SMBS.US,D,20241219,000000,24.94,24.97,24.89,24.965,7175,0
SMBS.US,D,20241220,000000,24.96,24.99,24.9256,24.95,16639,0
SMBS.US,D,20241223,000000,24.905,24.97,24.82,24.85,7809,0
SMBS.US,D,20241224,000000,24.78,24.825,24.7799,24.825,3616,0
SMBS.US,D,20241226,000000,24.751,24.865,24.751,24.865,2338,0
SMBS.US,D,20241227,000000,24.88,24.895,24.835,24.835,2614,0
SMBS.US,D,20241230,000000,24.97,24.97,24.9404,24.9404,2392,0
SMBS.US,D,20241231,000000,24.99,24.99,24.92,24.925,3489,0
SMBS.US,D,20250102,000000,24.948,24.96,24.8799,24.9063,15364,0
SMBS.US,D,20250103,000000,24.9314,25.06,24.88,24.8888,14742,0
SMBS.US,D,20250106,000000,24.885,24.92,24.83,24.85,5205,0
SMBS.US,D,20250107,000000,24.8319,25,24.69,24.78,21009,0
SMBS.US,D,20250108,000000,24.7231,24.8,24.7231,24.7977,4835,0
SMBS.US,D,20250110,000000,24.65,24.69,24.6172,24.65,4462,0
SMBS.US,D,20250113,000000,24.61,24.8,24.595,24.595,3623,0
SMBS.US,D,20250114,000000,24.57,24.64,24.57,24.605,2778,0
SMBS.US,D,20250115,000000,24.87,24.89,24.84,24.8851,494377,0
SMBS.US,D,20250116,000000,24.89,25,24.8499,24.975,22691,0
SMBS.US,D,20250117,000000,24.95,24.9681,24.93,24.95,25265,0
SMBS.US,D,20250121,000000,24.996,25.12,24.965,24.9951,7929,0
SMBS.US,D,20250122,000000,24.985,24.99,24.91,24.9605,25115,0
SMBS.US,D,20250123,000000,24.88,24.96,24.88,24.93,28294,0
SMBS.US,D,20250124,000000,24.94,25.05,24.9,24.9193,13204,0
SMBS.US,D,20250127,000000,25.03,25.062,25.0099,25.06,3693,0
SMBS.US,D,20250128,000000,25.03,25.13,25,25.01,38059,0
SMBS.US,D,20250129,000000,25.05,25.07,25,25.055,6659,0
SMBS.US,D,20250130,000000,25.0971,25.12,25.05,25.0876,18229,0
SMBS.US,D,20250131,000000,25.1,25.14,25.0263,25.0263,4742,0
SMBS.US,D,20250203,000000,24.9392,25.07,24.92,24.93,60301,0
SMBS.US,D,20250204,000000,24.92,25.1,24.89,24.975,120533,0
SMBS.US,D,20250205,000000,25.05,25.14,25.05,25.09,16720,0
SMBS.US,D,20250206,000000,25.05,25.16,25.02,25.055,32788,0
SMBS.US,D,20250207,000000,25.01,25.02,24.98,25.005,7929,0
SMBS.US,D,20250210,000000,25.052,25.0601,25.03,25.04,12788,0
SMBS.US,D,20250211,000000,25,25,24.9535,24.96,43578,0
SMBS.US,D,20250212,000000,24.88,24.98,24.7932,24.8521,16273,0
SMBS.US,D,20250213,000000,24.94,25.005,24.93,24.97,7296,0
SMBS.US,D,20250214,000000,25.12,25.165,25.09,25.11,23063,0
SMBS.US,D,20250218,000000,25.04,25.2,24.99,24.9901,6120,0
SMBS.US,D,20250219,000000,24.989,25.065,24.9802,25.035,23272,0
SMBS.US,D,20250220,000000,25.0653,25.1,25.05,25.093,11145,0
SMBS.US,D,20250221,000000,25.155,25.22,25.15,25.21,8216,0
