<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SOC-WS.US,D,20240216,000000,2.72,2.99,2.72,2.9,11968,0
SOC-WS.US,D,20240220,000000,3,3.1,2.85,2.9,20247,0
SOC-WS.US,D,20240221,000000,2.82,2.99,2.71,2.76,50872,0
SOC-WS.US,D,20240222,000000,2.76,2.9,2.63,2.73,35268,0
SOC-WS.US,D,20240223,000000,2.6,2.75,2.5,2.6,10853,0
SOC-WS.US,D,20240226,000000,2.68,2.68,2.55,2.6,138738,0
SOC-WS.US,D,20240227,000000,2.8999,2.8999,2.725,2.78,27142,0
SOC-WS.US,D,20240228,000000,2.75,2.75,2.75,2.75,600,0
SOC-WS.US,D,20240229,000000,2.8,2.9499,2.75,2.775,19776,0
SOC-WS.US,D,20240301,000000,2.8,2.92,2.775,2.8,235236,0
SOC-WS.US,D,20240304,000000,2.8,2.8673,2.75,2.8,11685,0
SOC-WS.US,D,20240305,000000,2.8,2.87,2.6601,2.87,16096,0
SOC-WS.US,D,20240306,000000,2.85,2.85,2.75,2.78,21084,0
SOC-WS.US,D,20240307,000000,2.8,2.8,2.75,2.8,20909,0
SOC-WS.US,D,20240308,000000,2.8,2.8,2.6,2.7,26673,0
SOC-WS.US,D,20240311,000000,2.65,2.7,2.57,2.57,31308,0
SOC-WS.US,D,20240312,000000,2.55,2.55,2.4,2.5,160419,0
SOC-WS.US,D,20240313,000000,2.5,2.5,2.45,2.45,1662,0
SOC-WS.US,D,20240314,000000,2.4,2.45,2.35,2.35,12445,0
SOC-WS.US,D,20240315,000000,2.36,2.36,2.31,2.36,14560,0
SOC-WS.US,D,20240318,000000,2.4,2.5,2.3,2.3,7485,0
SOC-WS.US,D,20240319,000000,2.3,2.3,1.95,2.02,63627,0
SOC-WS.US,D,20240320,000000,2,2.18,1.86,2,1598770,0
SOC-WS.US,D,20240321,000000,2.99,2.99,2.22,2.3,1629,0
SOC-WS.US,D,20240322,000000,2.38,2.53,2.38,2.48,5694,0
SOC-WS.US,D,20240325,000000,2.75,2.75,2.5,2.54,3928,0
SOC-WS.US,D,20240326,000000,2.5,2.54,2.34,2.54,3240,0
SOC-WS.US,D,20240327,000000,2.4501,2.53,2.45,2.53,1021,0
SOC-WS.US,D,20240328,000000,2.36,2.58,2.35,2.58,264837,0
SOC-WS.US,D,20240401,000000,2.5,2.57,2.5,2.5699,3831,0
SOC-WS.US,D,20240402,000000,2.5001,2.57,2.5,2.57,2402,0
SOC-WS.US,D,20240403,000000,2.57,2.68,2.5,2.68,2478,0
SOC-WS.US,D,20240404,000000,2.74,2.74,2.525,2.5501,3121,0
SOC-WS.US,D,20240405,000000,2.55,2.55,2.55,2.55,178,0
SOC-WS.US,D,20240408,000000,2.54,2.5834,2.5,2.5425,2321,0
SOC-WS.US,D,20240409,000000,2.5,2.66,2.5,2.66,246,0
SOC-WS.US,D,20240410,000000,2.5201,2.66,2.5201,2.6499,9460,0
SOC-WS.US,D,20240411,000000,2.6299,2.6599,2.6299,2.6599,2016,0
SOC-WS.US,D,20240412,000000,2.6206,2.6206,2.55,2.6,2570,0
SOC-WS.US,D,20240415,000000,2.56,2.68,2.5,2.66,14941,0
SOC-WS.US,D,20240416,000000,2.63,2.87,2.63,2.75,490360,0
SOC-WS.US,D,20240417,000000,2.8,2.8105,2.65,2.65,109411,0
SOC-WS.US,D,20240418,000000,2.65,2.65,2.52,2.575,11522,0
SOC-WS.US,D,20240419,000000,2.65,2.65,2.53,2.53,3692,0
SOC-WS.US,D,20240423,000000,2.75,2.75,2.5,2.63,220054,0
SOC-WS.US,D,20240424,000000,2.65,2.65,2.65,2.65,957,0
SOC-WS.US,D,20240425,000000,2.65,2.65,2.64,2.64,3848,0
