<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPBX.US,D,20250115,000000,25.08,25.14,25.05,25.1101,6983,0
SPBX.US,D,20250116,000000,25.14,25.14,25.08,25.1034,5596,0
SPBX.US,D,20250117,000000,25.22,25.26,25.2052,25.2052,398,0
SPBX.US,D,20250121,000000,25.2379,25.3004,25.2379,25.3004,1769,0
SPBX.US,D,20250122,000000,25.3998,25.3998,25.35,25.3698,3850,0
SPBX.US,D,20250123,000000,25.365,25.42,25.365,25.4076,5906,0
SPBX.US,D,20250124,000000,25.46,25.46,25.4108,25.4116,67702,0
SPBX.US,D,20250127,000000,25.2447,25.2447,25.2067,25.2418,1990,0
SPBX.US,D,20250128,000000,25.36,25.39,25.345,25.3818,9214,0
SPBX.US,D,20250129,000000,25.33,25.37,25.2945,25.3084,21804,0
SPBX.US,D,20250130,000000,25.35,25.43,25.3272,25.3692,3807,0
SPBX.US,D,20250131,000000,25.4347,25.4347,25.3263,25.3263,4372,0
SPBX.US,D,20250203,000000,25.2485,25.2998,25.22,25.29,8243,0
SPBX.US,D,20250204,000000,25.34,25.34,25.3101,25.3377,6915,0
SPBX.US,D,20250205,000000,25.3799,25.39,25.33,25.3835,2389,0
SPBX.US,D,20250206,000000,25.42,25.45,25.39,25.434,7561,0
SPBX.US,D,20250207,000000,25.5,25.5,25.3353,25.3353,13325,0
SPBX.US,D,20250210,000000,25.45,25.46,25.45,25.46,1200,0
SPBX.US,D,20250211,000000,25.3668,25.4248,25.3668,25.4248,3919,0
SPBX.US,D,20250212,000000,25.42,25.44,25.3965,25.3965,4253,0
SPBX.US,D,20250213,000000,25.46,25.5263,25.4309,25.5263,3967,0
SPBX.US,D,20250214,000000,25.5356,25.5388,25.5356,25.5388,1199,0
SPBX.US,D,20250218,000000,25.5225,25.5562,25.5225,25.5562,6758,0
SPBX.US,D,20250219,000000,25.5397,25.62,25.5305,25.6017,55649,0
SPBX.US,D,20250220,000000,25.61,25.62,25.5137,25.5701,44100,0
SPBX.US,D,20250221,000000,25.57,25.57,25.38,25.38,12520,0
