<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SQMX.US,D,20250114,000000,30.7061,30.72,30.7061,30.7158,4067,0
SQMX.US,D,20250116,000000,30.91,30.96,30.8946,30.8946,7112,0
SQMX.US,D,20250121,000000,31.0169,31.0798,31.0169,31.0798,2710,0
SQMX.US,D,20250122,000000,31.08,31.095,31.08,31.095,160,0
SQMX.US,D,20250124,000000,31.16,31.1683,31.127,31.127,1200,0
SQMX.US,D,20250127,000000,31.03,31.03,31.0072,31.0072,126,0
SQMX.US,D,20250130,000000,31.15,31.16,31.15,31.155,11426,0
SQMX.US,D,20250131,000000,31.12,31.12,31.089,31.089,1000,0
SQMX.US,D,20250204,000000,31.09,31.09,31.0857,31.0857,7525,0
SQMX.US,D,20250205,000000,31.1163,31.12,31.1163,31.12,250,0
SQMX.US,D,20250210,000000,31.18,31.2,31.1526,31.1526,8926,0
SQMX.US,D,20250211,000000,31.19,31.19,31.1602,31.1602,3213,0
