<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SQSP.US,D,20210519,000000,48,50.02,42.8201,43.65,5471014,0
SQSP.US,D,20210520,000000,44.01,51.16,43.75,49.87,2939035,0
SQSP.US,D,20210521,000000,50,53,49,49.56,2003334,0
SQSP.US,D,20210524,000000,51.49,54.42,50.5,54.3,1944132,0
SQSP.US,D,20210525,000000,53.94,55.88,53.1,54.51,2244272,0
SQSP.US,D,20210526,000000,54.3,54.98,53.58,54.93,249945,0
SQSP.US,D,20210527,000000,54.77,54.96,54,54.82,196569,0
SQSP.US,D,20210528,000000,54.22,54.61,51.835,52.63,163022,0
SQSP.US,D,20210601,000000,53.45,53.45,49.6,53,228151,0
SQSP.US,D,20210602,000000,53,53.0786,51.5001,51.92,86576,0
SQSP.US,D,20210603,000000,50.54,51.34,50.42,50.72,74932,0
SQSP.US,D,20210604,000000,51.14,51.93,50.5,51.56,292400,0
SQSP.US,D,20210607,000000,52,54.95,51.45,54.74,328628,0
SQSP.US,D,20210608,000000,54.8,56.15,54.3,56.13,573954,0
SQSP.US,D,20210609,000000,56.22,57.5,55.9801,57.03,300448,0
SQSP.US,D,20210610,000000,57.17,58.48,57.03,58.13,206789,0
SQSP.US,D,20210611,000000,58.23,59.98,58.23,59.9,467153,0
SQSP.US,D,20210614,000000,59.9,60.02,59.3515,60,571852,0
SQSP.US,D,20210615,000000,58.73,59.5,56.7001,57.82,425484,0
SQSP.US,D,20210616,000000,57.8,60.62,57.8,59.73,269394,0
SQSP.US,D,20210617,000000,59.77,62.45,59.471,61.85,408880,0
SQSP.US,D,20210618,000000,61.49,63.9786,61.095,63.55,457283,0
SQSP.US,D,20210621,000000,64.06,64.71,61.33,63.52,425480,0
SQSP.US,D,20210622,000000,63,64.66,62.61,64.05,312173,0
SQSP.US,D,20210623,000000,64.17,64.23,62.91,63.08,94806,0
SQSP.US,D,20210624,000000,63.5,63.5,61.66,63,419497,0
SQSP.US,D,20210625,000000,62.98,64.38,62.98,64.1,348576,0
SQSP.US,D,20210628,000000,64.12,64.69,62.89,62.99,292737,0
SQSP.US,D,20210629,000000,61.25,61.55,58.05,58.46,334736,0
SQSP.US,D,20210630,000000,58.99,59.825,55.89,59.41,339405,0
SQSP.US,D,20210701,000000,58.92,59.57,56.49,57.28,288359,0
SQSP.US,D,20210702,000000,56.98,58.48,56.64,57.01,334031,0
SQSP.US,D,20210706,000000,58.22,58.22,55.27,56.6,381370,0
SQSP.US,D,20210707,000000,56.71,57.7,55.1,55.98,408330,0
SQSP.US,D,20210708,000000,55,55.338,53.5027,54.05,248663,0
SQSP.US,D,20210709,000000,54,56.57,53.33,56,193308,0
SQSP.US,D,20210712,000000,56.45,56.74,54.14,55.21,121477,0
SQSP.US,D,20210713,000000,55.87,56.54,54.14,55.12,104267,0
SQSP.US,D,20210714,000000,55.14,56.69,54.5,56.21,188576,0
SQSP.US,D,20210715,000000,56.05,56.54,52.84,54.02,304043,0
SQSP.US,D,20210716,000000,54.14,54.67,52.22,52.27,134947,0
SQSP.US,D,20210719,000000,52.49,55.42,50.5,53.55,309834,0
SQSP.US,D,20210720,000000,54,54.18,52.33,53.52,149026,0
SQSP.US,D,20210721,000000,53.12,54.51,53.01,53.66,86133,0
SQSP.US,D,20210722,000000,54.11,56.95,53.65,56.62,170393,0
SQSP.US,D,20210723,000000,56.84,59.3699,56.15,58.52,134328,0
SQSP.US,D,20210726,000000,58.63,58.9871,56.6,57.58,122798,0
SQSP.US,D,20210727,000000,57,57.345,53.71,55.05,159282,0
SQSP.US,D,20210728,000000,55.5,56.7923,53.25,53.3,137640,0
SQSP.US,D,20210729,000000,53.49,54.04,52.65,52.86,350117,0
SQSP.US,D,20210730,000000,51.6,53,50.5,50.63,374349,0
