<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SRV-R.US,D,20241028,000000,0.895,0.93,0.56,0.65,20571,0
SRV-R.US,D,20241029,000000,0.45,0.4535,0.21,0.35,273649,0
SRV-R.US,D,20241030,000000,0.3001,0.330099,0.24011,0.27,132752,0
SRV-R.US,D,20241031,000000,0.25,0.2699,0.1101,0.19,218996,0
SRV-R.US,D,20241101,000000,0.175,0.2499,0.136,0.2499,139185,0
SRV-R.US,D,20241104,000000,0.2499,0.2499,0.15,0.209,172165,0
SRV-R.US,D,20241105,000000,0.159,0.22,0.1502,0.22,136517,0
SRV-R.US,D,20241106,000000,0.1601,0.25,0.1601,0.2098,121917,0
SRV-R.US,D,20241107,000000,0.1598,0.200001,0.1501,0.19,141217,0
SRV-R.US,D,20241108,000000,0.165,0.23,0.165,0.2099,160971,0
SRV-R.US,D,20241111,000000,0.209899,0.27,0.15,0.25,230305,0
SRV-R.US,D,20241112,000000,0.2,0.8501,0.2,0.8501,195978,0
SRV-R.US,D,20241113,000000,0.639498,0.7,0.1,0.1305,185308,0
