<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TCSGQ.US,D,20131101,000000,525,555,481.5,543,977975.13382232,0
TCSGQ.US,D,20131104,000000,552,552,520.35,530.25,105770.53338622,0
TCSGQ.US,D,20131105,000000,526.65,532.5,522.3,530.25,22516.000011258,0
TCSGQ.US,D,20131106,000000,534.15,547.35,534.15,538.5,36638.133351652,0
TCSGQ.US,D,20131107,000000,552,552,511.8,529.65,58915.933362791,0
TCSGQ.US,D,20131108,000000,529.5,531.9,520.95,524.25,32551.933349609,0
TCSGQ.US,D,20131111,000000,530.25,530.25,508.8,513.6,28698.866681016,0
TCSGQ.US,D,20131112,000000,518.1,518.1,506.25,509.85,22105.066677719,0
TCSGQ.US,D,20131113,000000,502.5,517.5,495.75,512.25,27965.266680649,0
TCSGQ.US,D,20131114,000000,512.25,513.75,503.1,504.75,39089.933352878,0
TCSGQ.US,D,20131115,000000,506.25,507.75,499.95,503.25,61736.400030868,0
TCSGQ.US,D,20131118,000000,521.25,574.8,514.2,564.6,44663.600022332,0
TCSGQ.US,D,20131119,000000,566.7,571.95,524.25,527.4,54350.666693842,0
TCSGQ.US,D,20131120,000000,539.7,539.7,506.25,512.1,27840.733347254,0
TCSGQ.US,D,20131121,000000,524.25,529.5,514.2,527.85,26292.400013146,0
TCSGQ.US,D,20131122,000000,534,564,529.05,560.4,28985.733347826,0
TCSGQ.US,D,20131125,000000,569.85,585,566.4,573,24723.333345695,0
TCSGQ.US,D,20131126,000000,586.5,604.5,580.65,600.9,52660.066692997,0
TCSGQ.US,D,20131127,000000,617.1,622.5,605.25,607.2,27577.933347122,0
TCSGQ.US,D,20131129,000000,620.1,625.5,607.5,610.35,11326.400005663,0
TCSGQ.US,D,20131202,000000,624,652.8,619.2,646.35,30564.533348616,0
TCSGQ.US,D,20131203,000000,652.5,655.35,633.3,646.95,23692.93334518,0
TCSGQ.US,D,20131204,000000,657.45,667.65,622.2,627.3,35342.066684338,0
TCSGQ.US,D,20131205,000000,633.6,651.9,626.25,648,21704.600010852,0
TCSGQ.US,D,20131206,000000,667.35,670.5,634.65,637.5,22962.466678148,0
TCSGQ.US,D,20131209,000000,643.35,648.15,619.5,624.75,18123.133342395,0
TCSGQ.US,D,20131210,000000,624.6,630,592.2,594.75,38225.333352446,0
TCSGQ.US,D,20131211,000000,591.75,591.75,564.3,574.2,36755.000018378,0
TCSGQ.US,D,20131212,000000,570,583.2,567.75,581.1,25299.933345983,0
TCSGQ.US,D,20131213,000000,581.25,593.55,581.25,590.4,27924.400013962,0
TCSGQ.US,D,20131216,000000,600.15,620.4,592.95,617.4,39154.666686244,0
TCSGQ.US,D,20131217,000000,621.15,636.45,612.3,636,40827.46668708,0
TCSGQ.US,D,20131218,000000,642,659.4,637.8,657.15,42513.066687923,0
TCSGQ.US,D,20131219,000000,652.65,654,603.3,603.75,106035.66671968,0
TCSGQ.US,D,20131220,000000,614.55,636.15,579,619.2,203510.13343509,0
TCSGQ.US,D,20131223,000000,636.6,650.25,627.6,643.2,48616.800024308,0
TCSGQ.US,D,20131224,000000,648,652.35,644.4,649.95,12353.200006177,0
TCSGQ.US,D,20131226,000000,654.75,654.75,634.65,641.1,24331.200012166,0
TCSGQ.US,D,20131227,000000,655.65,657,645.75,652.8,21476.000010738,0
TCSGQ.US,D,20131230,000000,654,694.2,654,689.7,37977.600018989,0
TCSGQ.US,D,20131231,000000,694.35,706.05,684,699.15,30719.666682027,0
TCSGQ.US,D,20140102,000000,703.05,703.05,656.7,656.7,53256.600026628,0
TCSGQ.US,D,20140103,000000,671.85,677.7,626.7,639.9,83157.266708245,0
TCSGQ.US,D,20140106,000000,670.05,675,641.4,644.7,73421.200036711,0
TCSGQ.US,D,20140107,000000,657.6,686.85,646.8,686.85,112187.20005609,0
TCSGQ.US,D,20140108,000000,618.45,622.5,580.35,585.15,329466.40016473,0
TCSGQ.US,D,20140109,000000,605.25,607.5,547.5,571.5,144805.86673907,0
TCSGQ.US,D,20140110,000000,577.05,596.1,571.5,591.75,74280.933370474,0
TCSGQ.US,D,20140113,000000,607.2,609,585,586.35,81600.866707467,0
TCSGQ.US,D,20140114,000000,594,595.05,564,572.7,46188.266689761,0
TCSGQ.US,D,20140115,000000,581.4,597.3,578.1,591,38059.066685696,0
TCSGQ.US,D,20140116,000000,598.5,599.55,570.45,583.65,39269.800019635,0
TCSGQ.US,D,20140117,000000,588,591,566.25,575.7,27236.466680285,0
TCSGQ.US,D,20140121,000000,584.85,584.85,571.5,576.45,22892.600011446,0
TCSGQ.US,D,20140122,000000,577.5,580.05,573.75,576.45,16741.800008371,0
TCSGQ.US,D,20140123,000000,581.1,581.25,566.25,570,20757.200010379,0
TCSGQ.US,D,20140124,000000,570,576,555,569.25,38032.000019016,0
TCSGQ.US,D,20140127,000000,570.9,579.45,562.5,566.1,15642.333341155,0
TCSGQ.US,D,20140128,000000,567.45,572.85,541.65,547.35,32644.666682989,0
TCSGQ.US,D,20140129,000000,542.1,543,513.45,531.75,46894.533356781,0
TCSGQ.US,D,20140130,000000,536.85,555,532.95,552.3,28699.466681016,0
TCSGQ.US,D,20140131,000000,541.65,551.4,532.65,551.25,24215.266678774,0
TCSGQ.US,D,20140203,000000,552,561,517.5,542.1,52374.266692854,0
TCSGQ.US,D,20140204,000000,542.25,562.2,541.05,551.25,31036.266682185,0
