<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TDEC.US,D,20241227,000000,20.04,20.05,20.0149,20.0149,834,0
TDEC.US,D,20241231,000000,19.8558,19.8708,19.8558,19.8708,4000,0
TDEC.US,D,20250103,000000,19.969,19.97,19.9566,19.9566,25216,0
TDEC.US,D,20250106,000000,20.1,20.1,19.9599,19.9599,100,0
TDEC.US,D,20250107,000000,19.98,19.98,19.8751,19.8751,5950,0
TDEC.US,D,20250108,000000,19.81,19.81,19.7951,19.7951,919,0
TDEC.US,D,20250110,000000,19.71,19.77,19.57,19.61,46183,0
TDEC.US,D,20250113,000000,19.479,19.51,19.4537,19.475,6995,0
TDEC.US,D,20250114,000000,19.6299,19.63,19.6052,19.6052,7140,0
TDEC.US,D,20250115,000000,19.779,19.8,19.7515,19.775,5380,0
TDEC.US,D,20250116,000000,19.761,19.7928,19.761,19.7928,197,0
TDEC.US,D,20250117,000000,19.92,19.95,19.9048,19.9048,3602,0
TDEC.US,D,20250121,000000,20.01,20.08,20.0005,20.07,9847,0
TDEC.US,D,20250122,000000,20.06,20.0899,20.02,20.0504,3000,0
TDEC.US,D,20250127,000000,20.01,20.01,19.9113,19.9113,7316,0
TDEC.US,D,20250129,000000,20.0742,20.0742,20.0158,20.0158,348,0
TDEC.US,D,20250130,000000,20.169,20.2229,20.169,20.2229,249,0
TDEC.US,D,20250131,000000,20.2698,20.2698,20.0647,20.0647,145,0
TDEC.US,D,20250203,000000,20,20,20,20,400,0
TDEC.US,D,20250205,000000,20.23,20.23,20.1975,20.1975,145,0
TDEC.US,D,20250219,000000,20.6882,20.6882,20.6799,20.6799,3902,0
