<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TR.US,D,20100823,000000,16.9172,17,16.6465,16.6724,116423.93436574,0
TR.US,D,20100824,000000,16.4981,16.6724,16.3689,16.4228,244608.47011882,0
TR.US,D,20100825,000000,16.3535,16.5905,16.3322,16.5558,93677.984788774,0
TR.US,D,20100826,000000,16.6059,16.7158,16.3978,16.4104,109932.356385,0
TR.US,D,20100827,000000,16.5106,16.6724,16.3891,16.6465,101538.45027657,0
TR.US,D,20100830,000000,16.5558,16.6378,16.3891,16.3891,146131.59538874,0
TR.US,D,20100831,000000,16.3997,16.5019,16.3574,16.394,161571.27654293,0
TR.US,D,20100901,000000,16.5905,16.7224,16.4459,16.6802,123502.91972252,0
TR.US,D,20100902,000000,16.7389,16.7658,16.5039,16.7081,178887.34026934,0
TR.US,D,20100903,000000,16.8362,16.8642,16.5172,16.6378,108485.63221151,0
TR.US,D,20100907,000000,16.6242,16.6588,16.4739,16.5172,118750.73178106,0
TR.US,D,20100908,000000,16.525,16.6165,16.4171,16.4508,85064.060369882,0
TR.US,D,20100909,000000,16.6242,16.6242,16.4316,16.5519,99347.607571955,0
TR.US,D,20100910,000000,16.5172,16.6378,16.5106,16.5789,112809.19957646,0
TR.US,D,20100913,000000,16.6936,16.7389,16.5713,16.7081,128954.59983968,0
TR.US,D,20100914,000000,16.7081,16.7717,16.5973,16.6521,111480.78713596,0
TR.US,D,20100915,000000,16.6647,16.8575,16.5905,16.7524,96305.750647647,0
TR.US,D,20100916,000000,16.7717,16.8969,16.5713,16.7389,83200.1316643,0
TR.US,D,20100917,000000,16.76,17.264,16.5308,17.0125,423822.72438718,0
TR.US,D,20100920,000000,17.0125,17.3883,16.9269,17.3767,153323.7033674,0
TR.US,D,20100921,000000,17.3546,17.4308,17.1976,17.2438,114681.43085981,0
TR.US,D,20100922,000000,17.1551,17.4048,17.0203,17.0415,110382.77122811,0
TR.US,D,20100923,000000,16.9114,17.1976,16.6647,16.7081,190507.83565708,0
TR.US,D,20100924,000000,16.8786,17.2052,16.8362,17.2052,137708.63025816,0
TR.US,D,20100927,000000,17.1831,17.2052,17.0203,17.081,91149.84986294,0
TR.US,D,20100928,000000,17.081,17.264,16.8786,17.2226,109095.87167638,0
TR.US,D,20100929,000000,17.2178,17.3825,17.0993,17.264,112351.51997783,0
TR.US,D,20100930,000000,17.3412,17.4395,17.2168,17.2775,133333.17178225,0
TR.US,D,20101001,000000,17.424,17.4518,17.2784,17.3682,83356.842819392,0
TR.US,D,20101004,000000,17.3131,17.4162,17.0993,17.1138,84033.502906273,0
TR.US,D,20101005,000000,17.3131,17.5993,17.1976,17.5261,114470.75294931,0
TR.US,D,20101006,000000,17.4751,17.7497,17.3981,17.585,88338.38947128,0
TR.US,D,20101007,000000,17.7024,17.7419,17.4798,17.4885,82301.377622523,0
TR.US,D,20101008,000000,17.4048,17.8094,17.3614,17.7284,72134.871163793,0
TR.US,D,20101011,000000,17.717,17.7642,17.5637,17.6523,52055.086867803,0
TR.US,D,20101012,000000,17.5916,17.7419,17.4885,17.6523,71475.854054636,0
TR.US,D,20101013,000000,17.6889,17.926,17.5993,17.8595,107477.90683672,0
TR.US,D,20101014,000000,17.8971,18.1495,17.8518,18.0252,124639.33505248,0
TR.US,D,20101015,000000,18.1264,18.2575,18.0204,18.0792,72139.022452669,0
TR.US,D,20101018,000000,18.135,18.2575,18.135,18.2316,93006.513812987,0
TR.US,D,20101019,000000,18.0252,18.3123,17.9376,18.0252,120331.33502083,0
TR.US,D,20101020,000000,18.1129,18.4338,18.0841,18.2497,107518.38190328,0
TR.US,D,20101021,000000,18.2835,18.5177,17.9771,18.1418,124259.49212029,0
TR.US,D,20101022,000000,18.1911,18.2989,17.9973,18.163,64658.399897082,0
TR.US,D,20101025,000000,18.2053,18.404,18.1264,18.163,70535.587124093,0
TR.US,D,20101026,000000,18.1264,18.1495,17.9645,17.9857,82882.558065244,0
TR.US,D,20101027,000000,17.8865,17.9771,17.717,17.9317,78963.741365757,0
TR.US,D,20101028,000000,17.9645,18.2757,17.9317,18.2449,101738.74996486,0
TR.US,D,20101029,000000,18.2353,18.5223,18.1939,18.2353,97568.780288343,0
TR.US,D,20101101,000000,18.3606,18.5899,17.9771,18.1977,163261.88893792,0
TR.US,D,20101102,000000,18.3413,18.5523,18.2864,18.4916,116917.93774206,0
TR.US,D,20101103,000000,18.4416,18.6102,18.3403,18.5629,89753.978978193,0
TR.US,D,20101104,000000,18.7306,18.9108,18.6747,18.8202,137491.72541436,0
TR.US,D,20101105,000000,18.8067,18.985,18.7817,18.8606,75092.664488352,0
TR.US,D,20101108,000000,18.7604,18.9946,18.7017,18.8356,61724.476483564,0
TR.US,D,20101109,000000,18.904,18.904,18.5562,18.6246,94687.785808,0
TR.US,D,20101110,000000,18.5427,18.8009,18.4203,18.8009,104374.81840149,0
TR.US,D,20101111,000000,18.5976,18.7113,18.5764,18.6313,67883.951354181,0
TR.US,D,20101112,000000,18.4964,18.6102,18.4608,18.4608,83566.482907658,0
TR.US,D,20101115,000000,18.535,18.6603,18.4473,18.454,73291.005115918,0
TR.US,D,20101116,000000,18.2835,18.3403,18.0908,18.1911,113754.65561811,0
TR.US,D,20101117,000000,18.218,18.218,17.8701,18.0504,132355.54325181,0
TR.US,D,20101118,000000,18.2053,18.3817,18.1051,18.3201,85094.157214238,0
TR.US,D,20101119,000000,18.2989,18.3606,18.1129,18.3403,62490.389281292,0
TR.US,D,20101122,000000,18.2575,18.5484,18.1843,18.5177,116563.00254311,0
TR.US,D,20101123,000000,18.3674,18.454,18.2316,18.4473,125653.28736059,0
TR.US,D,20101124,000000,18.6044,18.8009,18.5032,18.7883,77332.284837263,0
TR.US,D,20101126,000000,18.7306,18.9184,18.7238,18.8606,36613.330069165,0
TR.US,D,20101129,000000,18.7238,18.8529,18.4695,18.8356,58372.310715731,0
TR.US,D,20101130,000000,18.772,18.772,18.2652,18.5061,233579.53339599,0
TR.US,D,20101201,000000,18.7942,18.8434,18.535,18.7758,205180.56619134,0
TR.US,D,20101202,000000,18.8279,18.904,18.7113,18.904,68153.785131157,0
TR.US,D,20101203,000000,18.8202,18.8683,18.746,18.7942,97641.427843684,0
TR.US,D,20101206,000000,18.719,18.8153,18.719,18.7392,75041.811199613,0
TR.US,D,20101207,000000,18.9599,19.0071,18.8356,18.9184,118348.05676004,0
TR.US,D,20101208,000000,18.9946,19.0861,18.8828,18.9445,129707.02094855,0
TR.US,D,20101209,000000,19.1005,19.1332,18.8153,19.1112,157492.63522169,0
TR.US,D,20101210,000000,18.9993,19.4127,18.9993,19.3492,95102.914695659,0
TR.US,D,20101213,000000,19.3405,19.5082,19.2577,19.4398,96929.481801351,0
