<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TRTN_F.US,D,20250219,000000,24.71,24.73,24.64,24.69,36422,0
TRTN_F.US,D,20250220,000000,24.68,24.77,24.6634,24.734,30305,0
TRTN_F.US,D,20250221,000000,24.736,24.85,24.73,24.73,30815,0
TRTN_F.US,D,20250224,000000,24.775,24.85,24.73,24.85,36366,0
TRTN_F.US,D,20250225,000000,24.85,25.05,24.76,24.89,56504,0
TRTN_F.US,D,20250226,000000,24.71,24.82,24.62,24.69,108136,0
TRTN_F.US,D,20250227,000000,24.71,24.72,24.54,24.57,58817,0
TRTN_F.US,D,20250228,000000,24.58,24.67,24.4,24.6,73831,0
TRTN_F.US,D,20250303,000000,24.6,24.6466,24.57,24.59,65948,0
TRTN_F.US,D,20250304,000000,24.58,24.6178,24.42,24.44,35272,0
TRTN_F.US,D,20250305,000000,24.45,24.5028,24.29,24.35,53387,0
TRTN_F.US,D,20250306,000000,24.42,24.42,24.28,24.37,32938,0
TRTN_F.US,D,20250307,000000,24.37,24.55,24.2122,24.55,37177,0
TRTN_F.US,D,20250310,000000,24.39,24.39,24.15,24.2299,32629,0
TRTN_F.US,D,20250311,000000,24.2,24.31,24.13,24.23,14258,0
TRTN_F.US,D,20250312,000000,24.35,24.39,24.25,24.35,15891,0
TRTN_F.US,D,20250313,000000,24.36,24.36,23.65,24.1,65766,0
TRTN_F.US,D,20250314,000000,24.155,24.4,23.92,24.28,50746,0
TRTN_F.US,D,20250317,000000,24.34,24.42,24.01,24.17,93780,0
TRTN_F.US,D,20250318,000000,24.15,24.22,24.04,24.1,97145,0
TRTN_F.US,D,20250319,000000,24.12,24.19,24.01,24.05,62878,0
TRTN_F.US,D,20250320,000000,24.08,24.18,23.9675,24,144062,0
TRTN_F.US,D,20250321,000000,24.065,24.155,24,24,48445,0
TRTN_F.US,D,20250324,000000,24.14,24.34,24.06,24.2,51591,0
