<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TTAM.US,D,20250207,000000,16.24,17.27,15.75,16.7,9742407,0
TTAM.US,D,20250210,000000,17.48,17.78,16.36,16.41,1846416,0
TTAM.US,D,20250211,000000,16.41,16.65,16.1,16.4,473402,0
TTAM.US,D,20250212,000000,16.3,16.69,16.1,16.26,1094063,0
TTAM.US,D,20250213,000000,16.2,16.46,15.95,16.05,726743,0
TTAM.US,D,20250214,000000,16.05,16.4799,15.83,16.01,675815,0
TTAM.US,D,20250218,000000,16.13,16.53,16,16.53,234788,0
TTAM.US,D,20250219,000000,16.5,16.56,15.8,16.01,445903,0
TTAM.US,D,20250220,000000,15.99,16.28,15.82,15.9,281433,0
TTAM.US,D,20250221,000000,15.9,15.975,15.5,15.69,398667,0
