<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TUSB.US,D,20250221,000000,50.1688,50.1689,50.1402,50.1402,1200,0
TUSB.US,D,20250224,000000,50.16,50.1634,50.16,50.1634,1135,0
TUSB.US,D,20250225,000000,50.2167,50.285,50.1989,50.24,2356,0
TUSB.US,D,20250226,000000,50.22,50.229,50.205,50.205,1158,0
TUSB.US,D,20250227,000000,50.1699,50.1699,50.14,50.14,867,0
TUSB.US,D,20250303,000000,50.195,50.34,50.195,50.235,43837,0
TUSB.US,D,20250304,000000,50.23,50.23,50.21,50.2123,1120,0
TUSB.US,D,20250305,000000,50.23,50.275,50.2134,50.2134,3889,0
TUSB.US,D,20250306,000000,50.2306,50.2454,50.23,50.2454,1403,0
TUSB.US,D,20250307,000000,50.265,50.28,50.26,50.27,1745,0
TUSB.US,D,20250310,000000,50.29,50.29,50.2651,50.2651,210,0
TUSB.US,D,20250312,000000,50.23,50.2599,50.225,50.225,2534,0
TUSB.US,D,20250313,000000,50.23,50.26,50.23,50.2504,7004,0
TUSB.US,D,20250314,000000,50.26,50.26,50.23,50.24,442,0
TUSB.US,D,20250317,000000,50.23,50.26,50.23,50.24,40946,0
TUSB.US,D,20250319,000000,50.2891,50.2891,50.2861,50.2861,656,0
TUSB.US,D,20250324,000000,50.34,50.54,50.327,50.46,8076,0
