<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TWOX.US,D,20250121,000000,25.73,26.26,25.2719,25.3589,14911,0
TWOX.US,D,20250122,000000,25.48,25.52,25.41,25.4801,6473,0
TWOX.US,D,20250123,000000,25.43,25.5434,25.43,25.5434,4030,0
TWOX.US,D,20250124,000000,25.56,25.6,25.51,25.5222,2146,0
TWOX.US,D,20250127,000000,25.28,25.28,25.1478,25.2219,9492,0
TWOX.US,D,20250128,000000,25.3636,25.4288,25.34,25.4288,982,0
TWOX.US,D,20250129,000000,25.36,25.3737,25.31,25.3494,3050,0
TWOX.US,D,20250130,000000,25.43,25.4487,25.36,25.4487,2956,0
TWOX.US,D,20250131,000000,25.5329,25.5329,25.3398,25.3398,694,0
TWOX.US,D,20250203,000000,25.11,25.24,24.98,25.2201,9291,0
TWOX.US,D,20250204,000000,25.23,25.3447,25.23,25.3447,1338,0
TWOX.US,D,20250205,000000,25.34,25.4539,25.34,25.4539,2219,0
TWOX.US,D,20250206,000000,25.5141,25.5365,25.48,25.5365,473,0
TWOX.US,D,20250207,000000,25.5,25.5,25.3851,25.3851,8064,0
TWOX.US,D,20250210,000000,25.54,25.54,25.5293,25.5293,1627,0
TWOX.US,D,20250211,000000,25.51,25.5405,25.5,25.5405,1309,0
TWOX.US,D,20250213,000000,25.69,25.7,25.69,25.6919,582,0
TWOX.US,D,20250220,000000,25.7608,25.7798,25.74,25.7798,376,0
TWOX.US,D,20250221,000000,25.6501,25.6501,25.41,25.4272,958,0
TWOX.US,D,20250224,000000,25.4573,25.4573,25.4,25.4,318,0
TWOX.US,D,20250225,000000,25.07,25.25,25.07,25.1964,1280,0
TWOX.US,D,20250227,000000,25.09,25.09,24.7645,24.7645,403,0
TWOX.US,D,20250228,000000,24.85,25.1706,24.74,25.1706,192417,0
TWOX.US,D,20250303,000000,25.11,25.11,24.62,24.6642,789,0
TWOX.US,D,20250304,000000,24.33,24.3585,24.3107,24.3585,444,0
TWOX.US,D,20250306,000000,24.24,24.24,24.06,24.1773,256,0
TWOX.US,D,20250307,000000,23.911,24.3002,23.911,24.3002,577,0
TWOX.US,D,20250310,000000,23.6,23.6,23.5948,23.5948,289,0
TWOX.US,D,20250312,000000,23.53,23.53,23.5161,23.5161,165,0
TWOX.US,D,20250313,000000,23.16,23.16,23.1553,23.1553,403,0
TWOX.US,D,20250314,000000,23.52,23.6862,23.52,23.6862,13357,0
TWOX.US,D,20250317,000000,23.9246,23.9246,23.851,23.851,480,0
TWOX.US,D,20250318,000000,23.54,23.5647,23.54,23.5647,202,0
TWOX.US,D,20250319,000000,23.909,23.91,23.822,23.822,10006,0
TWOX.US,D,20250324,000000,24.1501,24.24,24.1501,24.24,811,0
