<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UX.US,D,20250205,000000,25.81,25.81,25.3,25.722,1072,0
UX.US,D,20250206,000000,25.45,25.45,25.29,25.3286,313,0
UX.US,D,20250207,000000,25.2,25.2967,25.19,25.2967,1529,0
UX.US,D,20250210,000000,25.5,25.5,24.939,24.939,4370,0
UX.US,D,20250211,000000,24.92,24.92,24.2005,24.4195,2051,0
UX.US,D,20250212,000000,24.29,24.609,24.05,24.4811,2118,0
UX.US,D,20250214,000000,24.51,24.51,24.12,24.19,8096,0
UX.US,D,20250218,000000,23.875,24.28,23.7501,24.18,2921,0
UX.US,D,20250219,000000,23.84,23.9579,23.54,23.9579,1034,0
UX.US,D,20250220,000000,24.2,24.25,23.8328,24.25,5351,0
UX.US,D,20250221,000000,23.85,23.95,23.72,23.75,1944,0
