<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UXJA.US,D,20250122,000000,30.41,30.49,30.41,30.4357,650,0
UXJA.US,D,20250123,000000,30.41,30.56,30.41,30.5527,13487,0
UXJA.US,D,20250124,000000,30.6,30.63,30.475,30.475,360,0
UXJA.US,D,20250127,000000,29.99,29.99,29.9,29.93,2042,0
UXJA.US,D,20250128,000000,30.04,30.35,30.04,30.3024,3075,0
UXJA.US,D,20250129,000000,30.27,30.3,30.03,30.1348,13750,0
UXJA.US,D,20250130,000000,30.2899,30.31,30.22,30.3,4870,0
UXJA.US,D,20250131,000000,30.5,30.62,30.18,30.199,12061,0
UXJA.US,D,20250203,000000,29.56,29.96,29.56,29.9272,56624,0
UXJA.US,D,20250204,000000,30.1,30.18,30.1,30.16,1333,0
UXJA.US,D,20250205,000000,30.0512,30.31,30.0512,30.31,4021,0
UXJA.US,D,20250206,000000,30.34,30.42,30.28,30.3794,11558,0
UXJA.US,D,20250207,000000,30.45,30.45,30.0741,30.0741,9909,0
UXJA.US,D,20250210,000000,30.33,30.33,30.2877,30.2877,682,0
UXJA.US,D,20250212,000000,30.1,30.2084,30.0996,30.2084,532,0
UXJA.US,D,20250213,000000,30.25,30.5685,30.25,30.5685,6570,0
UXJA.US,D,20250214,000000,30.55,30.5893,30.55,30.5893,218,0
UXJA.US,D,20250218,000000,30.57,30.68,30.57,30.68,977,0
UXJA.US,D,20250220,000000,30.69,30.69,30.6065,30.6065,584,0
UXJA.US,D,20250221,000000,30.4,30.4,30.0601,30.0601,1118,0
