<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WXET.US,D,20241226,000000,23.55,23.55,23.48,23.48,202,0
WXET.US,D,20250107,000000,23.47,23.56,23.47,23.56,101,0
WXET.US,D,20250121,000000,24.76,24.975,24.76,24.975,124,0
WXET.US,D,20250122,000000,24.49,24.51,24.49,24.51,518,0
WXET.US,D,20250124,000000,23.78,23.78,23.55,23.59,400,0
WXET.US,D,20250128,000000,23.57,23.6862,23.57,23.6862,104,0
WXET.US,D,20250211,000000,27.35,27.35,26.4406,26.4406,300,0
WXET.US,D,20250212,000000,26.9,26.9,26.22,26.22,201,0
WXET.US,D,20250220,000000,27.65,27.65,27.2601,27.325,567,0
WXET.US,D,20250221,000000,27.55,27.55,27.55,27.55,133,0
