<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YFFI.US,D,20250106,000000,10.02,10.04,9.935,9.935,48655,0
YFFI.US,D,20250107,000000,9.94,9.96,9.9,9.9138,62573,0
YFFI.US,D,20250108,000000,9.92,9.94,9.915,9.9391,30903,0
YFFI.US,D,20250110,000000,9.88,9.9,9.875,9.9,35108,0
YFFI.US,D,20250113,000000,9.8398,9.8426,9.815,9.8175,24484,0
YFFI.US,D,20250114,000000,9.8,9.83,9.77,9.81,24180,0
YFFI.US,D,20250115,000000,9.91,9.9394,9.9,9.9135,92732,0
YFFI.US,D,20250116,000000,9.89,9.94,9.89,9.89,25139,0
YFFI.US,D,20250117,000000,9.94,9.97,9.9,9.95,42078,0
YFFI.US,D,20250121,000000,9.97,10.23,9.92,10,31187,0
YFFI.US,D,20250122,000000,9.96,9.96,9.91,9.92,33648,0
YFFI.US,D,20250123,000000,9.915,9.93,9.89,9.9,14372,0
YFFI.US,D,20250124,000000,9.9,9.95,9.9,9.925,2941,0
YFFI.US,D,20250127,000000,9.963,9.97,9.92,9.94,18737,0
YFFI.US,D,20250128,000000,9.96,9.98,9.945,9.95,30102,0
YFFI.US,D,20250129,000000,9.93,9.97,9.92,9.945,21434,0
YFFI.US,D,20250130,000000,9.97,9.97,9.92,9.92,17300,0
YFFI.US,D,20250131,000000,9.98,9.99,9.92,9.92,22988,0
YFFI.US,D,20250203,000000,9.95,9.98,9.9,9.96,48412,0
YFFI.US,D,20250204,000000,9.925,9.97,9.925,9.93,27324,0
YFFI.US,D,20250205,000000,9.98,10.03,9.98,9.98,30515,0
YFFI.US,D,20250206,000000,10,10.01,9.9,9.9,37603,0
YFFI.US,D,20250207,000000,9.98,9.98,9.94,9.94,69938,0
YFFI.US,D,20250210,000000,9.97,10,9.95,9.95,38353,0
YFFI.US,D,20250211,000000,9.945,9.97,9.945,9.97,18364,0
YFFI.US,D,20250212,000000,9.87,9.9,9.86,9.87,32130,0
YFFI.US,D,20250213,000000,9.93,9.96,9.92,9.92,16659,0
YFFI.US,D,20250214,000000,9.98,10.01,9.96,9.96,19481,0
YFFI.US,D,20250218,000000,9.945,9.96,9.9,9.9,16550,0
YFFI.US,D,20250219,000000,9.94,9.985,9.94,9.94,76093,0
YFFI.US,D,20250220,000000,9.985,10,9.96,9.975,25552,0
YFFI.US,D,20250221,000000,9.98,10.02,9.98,10,34629,0
