<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YFYA.US,D,20250205,000000,9.9902,10.01,9.98,10,103434,0
YFYA.US,D,20250206,000000,9.9992,10.01,9.98,10.0055,375900,0
YFYA.US,D,20250207,000000,10.01,10.01,9.97,9.99,15885,0
YFYA.US,D,20250210,000000,9.98,10.0099,9.98,9.995,83478,0
YFYA.US,D,20250211,000000,9.998,10.005,9.99,9.9925,47657,0
YFYA.US,D,20250212,000000,9.98,9.99,9.98,9.9829,540255,0
YFYA.US,D,20250213,000000,9.99,10.0151,9.98,10.0151,40523,0
YFYA.US,D,20250214,000000,10.01,10.015,10.01,10.015,862,0
YFYA.US,D,20250218,000000,10.01,10.02,10.01,10.02,10582,0
YFYA.US,D,20250219,000000,10.01,10.025,10.01,10.025,2861,0
YFYA.US,D,20250220,000000,10.01,10.04,10,10.0203,42220,0
YFYA.US,D,20250221,000000,10.01,10.01,9.99,10,118852,0
