<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZBZX.US,D,20231206,000000,25,25,25,25,69700,0
ZBZX.US,D,20231207,000000,25,25,25,25,69700,0
ZBZX.US,D,20231208,000000,25,25,25,25,69700,0
ZBZX.US,D,20231211,000000,25,25,25,25,69700,0
ZBZX.US,D,20231212,000000,25,25,25,25,69700,0
ZBZX.US,D,20231213,000000,25,25,25,25,69700,0
ZBZX.US,D,20231214,000000,25,25,25,25,69700,0
ZBZX.US,D,20231215,000000,25,25,25,25,69700,0
ZBZX.US,D,20231218,000000,25,25,25,25,69700,0
ZBZX.US,D,20231219,000000,25,25,25,25,69700,0
ZBZX.US,D,20231220,000000,25,25,25,25,69700,0
ZBZX.US,D,20231221,000000,25,25,25,25,69700,0
ZBZX.US,D,20231222,000000,25,25,25,25,69700,0
ZBZX.US,D,20231226,000000,25,25,25,25,69700,0
ZBZX.US,D,20231227,000000,25,25,25,25,69700,0
ZBZX.US,D,20231228,000000,25,25,25,25,69700,0
ZBZX.US,D,20231229,000000,25,25,25,25,69700,0
ZBZX.US,D,20240102,000000,25,25,25,25,69700,0
ZBZX.US,D,20240103,000000,25,25,25,25,69700,0
ZBZX.US,D,20240104,000000,25,25,25,25,69700,0
ZBZX.US,D,20240105,000000,25,25,25,25,69700,0
ZBZX.US,D,20240108,000000,25,25,25,25,69700,0
ZBZX.US,D,20240109,000000,25,25,25,25,69700,0
ZBZX.US,D,20240110,000000,25,25,25,25,69700,0
ZBZX.US,D,20240111,000000,25,25,25,25,69700,0
ZBZX.US,D,20240112,000000,25,25,25,25,69700,0
ZBZX.US,D,20240116,000000,25,25,25,25,69700,0
ZBZX.US,D,20240117,000000,25,25,25,25,69700,0
ZBZX.US,D,20240118,000000,25,25,25,25,69700,0
ZBZX.US,D,20240119,000000,25,25,25,25,69700,0
ZBZX.US,D,20240122,000000,25,25,25,25,69700,0
ZBZX.US,D,20240123,000000,25,25,25,25,69700,0
ZBZX.US,D,20240124,000000,25,25,25,25,69700,0
ZBZX.US,D,20240125,000000,25,25,25,25,69700,0
ZBZX.US,D,20240126,000000,25,25,25,25,69700,0
ZBZX.US,D,20240129,000000,25,25,25,25,69700,0
ZBZX.US,D,20240130,000000,25,25,25,25,69700,0
ZBZX.US,D,20240131,000000,25,25,25,25,69700,0
ZBZX.US,D,20240201,000000,25,25,25,25,69700,0
ZBZX.US,D,20240202,000000,25,25,25,25,69700,0
ZBZX.US,D,20240205,000000,25,25,25,25,69700,0
ZBZX.US,D,20240206,000000,25,25,25,25,69700,0
ZBZX.US,D,20240207,000000,25,25,25,25,69700,0
ZBZX.US,D,20240208,000000,25,25,25,25,69700,0
ZBZX.US,D,20240209,000000,25,25,25,25,69700,0
ZBZX.US,D,20240212,000000,25,25,25,25,69700,0
ZBZX.US,D,20240213,000000,25,25,25,25,69700,0
ZBZX.US,D,20240214,000000,25,25,25,25,69700,0
ZBZX.US,D,20240215,000000,25,25,25,25,69700,0
ZBZX.US,D,20240216,000000,25,25,25,25,69700,0
ZBZX.US,D,20240220,000000,25,25,25,25,69700,0
ZBZX.US,D,20240221,000000,25,25,25,25,69700,0
ZBZX.US,D,20240222,000000,25,25,25,25,69700,0
ZBZX.US,D,20240223,000000,25,25,25,25,69700,0
ZBZX.US,D,20240226,000000,25,25,25,25,69700,0
ZBZX.US,D,20240227,000000,25,25,25,25,69700,0
ZBZX.US,D,20240228,000000,25,25,25,25,69700,0
ZBZX.US,D,20240229,000000,25,25,25,25,69700,0
ZBZX.US,D,20240301,000000,25,25,25,25,69700,0
ZBZX.US,D,20240304,000000,25,25,25,25,69700,0
ZBZX.US,D,20240305,000000,25,25,25,25,69700,0
ZBZX.US,D,20240306,000000,25,25,25,25,69700,0
ZBZX.US,D,20240307,000000,25,25,25,25,69700,0
ZBZX.US,D,20240308,000000,25,25,25,25,69700,0
ZBZX.US,D,20240311,000000,25,25,25,25,69700,0
ZBZX.US,D,20240312,000000,25,25,25,25,69700,0
ZBZX.US,D,20240313,000000,25,25,25,25,69700,0
ZBZX.US,D,20240314,000000,25,25,25,25,69700,0
ZBZX.US,D,20240315,000000,25,25,25,25,69700,0
ZBZX.US,D,20240318,000000,25,25,25,25,69700,0
ZBZX.US,D,20240319,000000,25,25,25,25,69700,0
ZBZX.US,D,20240320,000000,25,25,25,25,69700,0
ZBZX.US,D,20240321,000000,25,25,25,25,69700,0
ZBZX.US,D,20240322,000000,25,25,25,25,69700,0
ZBZX.US,D,20240325,000000,25,25,25,25,69700,0
ZBZX.US,D,20240326,000000,25,25,25,25,69700,0
ZBZX.US,D,20240327,000000,25,25,25,25,69700,0
ZBZX.US,D,20240328,000000,25,25,25,25,69700,0
ZBZX.US,D,20240401,000000,25,25,25,25,69700,0
ZBZX.US,D,20240402,000000,25,25,25,25,69700,0
ZBZX.US,D,20240403,000000,25,25,25,25,69700,0
ZBZX.US,D,20240404,000000,25,25,25,25,69700,0
ZBZX.US,D,20240405,000000,25,25,25,25,69700,0
ZBZX.US,D,20240408,000000,25,25,25,25,69700,0
ZBZX.US,D,20240409,000000,25,25,25,25,69700,0
ZBZX.US,D,20240410,000000,25,25,25,25,69700,0
ZBZX.US,D,20240411,000000,25,25,25,25,69700,0
ZBZX.US,D,20240412,000000,25,25,25,25,69700,0
ZBZX.US,D,20240415,000000,25,25,25,25,69700,0
ZBZX.US,D,20240416,000000,25,25,25,25,69700,0
ZBZX.US,D,20240417,000000,25,25,25,25,69700,0
ZBZX.US,D,20240418,000000,25,25,25,25,69700,0
ZBZX.US,D,20240419,000000,25,25,25,25,69700,0
ZBZX.US,D,20240422,000000,25,25,25,25,69700,0
ZBZX.US,D,20240423,000000,25,25,25,25,69700,0
ZBZX.US,D,20240424,000000,25,25,25,25,69700,0
ZBZX.US,D,20240425,000000,25,25,25,25,69700,0
ZBZX.US,D,20240426,000000,25,25,25,25,69700,0
ZBZX.US,D,20240429,000000,25,25,25,25,69700,0
ZBZX.US,D,20240430,000000,25,25,25,25,69700,0
ZBZX.US,D,20240501,000000,25,25,25,25,69700,0
ZBZX.US,D,20240502,000000,25,25,25,25,69700,0
ZBZX.US,D,20240503,000000,25,25,25,25,69700,0
ZBZX.US,D,20240506,000000,25,25,25,25,69700,0
ZBZX.US,D,20240507,000000,25,25,25,25,69700,0
ZBZX.US,D,20240508,000000,25,25,25,25,69700,0
ZBZX.US,D,20240509,000000,25,25,25,25,69700,0
ZBZX.US,D,20240510,000000,25,25,25,25,69700,0
ZBZX.US,D,20240513,000000,25,25,25,25,69700,0
ZBZX.US,D,20240514,000000,25,25,25,25,69700,0
ZBZX.US,D,20240515,000000,25,25,25,25,69700,0
ZBZX.US,D,20240516,000000,25,25,25,25,69700,0
ZBZX.US,D,20240517,000000,25,25,25,25,69700,0
ZBZX.US,D,20240520,000000,25,25,25,25,69700,0
ZBZX.US,D,20240521,000000,25,25,25,25,69700,0
ZBZX.US,D,20240522,000000,25,25,25,25,69700,0
ZBZX.US,D,20240523,000000,25,25,25,25,69700,0
ZBZX.US,D,20240524,000000,25,25,25,25,69700,0
ZBZX.US,D,20240528,000000,25,25,25,25,69700,0
ZBZX.US,D,20240529,000000,25,25,25,25,69700,0
ZBZX.US,D,20240530,000000,25,25,25,25,69700,0
ZBZX.US,D,20240531,000000,25,25,25,25,69700,0
ZBZX.US,D,20240603,000000,25,25,25,25,69700,0
ZBZX.US,D,20240604,000000,25,25,25,25,69700,0
ZBZX.US,D,20240605,000000,25,25,25,25,69700,0
ZBZX.US,D,20240606,000000,25,25,25,25,69700,0
ZBZX.US,D,20240607,000000,25,25,25,25,69700,0
ZBZX.US,D,20240610,000000,25,25,25,25,69700,0
ZBZX.US,D,20240611,000000,25,25,25,25,69700,0
ZBZX.US,D,20240612,000000,25,25,25,25,69700,0
ZBZX.US,D,20240613,000000,25,25,25,25,69700,0
ZBZX.US,D,20240614,000000,25,25,25,25,69700,0
ZBZX.US,D,20240617,000000,25,25,25,25,69700,0
ZBZX.US,D,20240618,000000,25,25,25,25,69700,0
ZBZX.US,D,20240620,000000,25,25,25,25,69700,0
ZBZX.US,D,20240621,000000,25,25,25,25,69700,0
ZBZX.US,D,20240624,000000,25,25,25,25,69700,0
ZBZX.US,D,20240625,000000,25,25,25,25,69700,0
ZBZX.US,D,20240626,000000,25,25,25,25,69700,0
ZBZX.US,D,20240627,000000,25,25,25,25,69700,0
ZBZX.US,D,20240628,000000,25,25,25,25,69700,0
ZBZX.US,D,20240701,000000,25,25,25,25,69700,0
ZBZX.US,D,20240702,000000,25,25,25,25,69700,0
ZBZX.US,D,20240703,000000,25,25,25,25,69700,0
ZBZX.US,D,20240705,000000,25,25,25,25,69700,0
ZBZX.US,D,20240708,000000,25,25,25,25,69700,0
ZBZX.US,D,20240709,000000,25,25,25,25,69700,0
ZBZX.US,D,20240710,000000,25,25,25,25,69700,0
ZBZX.US,D,20240711,000000,25,25,25,25,69700,0
ZBZX.US,D,20240712,000000,25,25,25,25,69700,0
ZBZX.US,D,20240715,000000,25,25,25,25,69700,0
ZBZX.US,D,20240716,000000,25,25,25,25,69700,0
