<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZFEB.US,D,20250205,000000,23.95,24.01,23.89,23.94,333853,0
ZFEB.US,D,20250206,000000,24,24,23.95,23.99,162505,0
ZFEB.US,D,20250207,000000,24,24.01,23.9401,23.96,363179,0
ZFEB.US,D,20250210,000000,23.97,23.9898,23.95,23.9639,108579,0
ZFEB.US,D,20250211,000000,23.95,24.03,23.95,23.97,270190,0
ZFEB.US,D,20250212,000000,23.9073,23.96,23.9001,23.93,180321,0
ZFEB.US,D,20250213,000000,23.97,24,23.9473,24,163828,0
ZFEB.US,D,20250214,000000,23.99,24.03,23.99,24.025,116319,0
ZFEB.US,D,20250218,000000,24.04,24.56,24.02,24.04,153167,0
ZFEB.US,D,20250219,000000,24.029,24.06,24.01,24.03,51752,0
ZFEB.US,D,20250220,000000,24.01,24.04,23.9901,24.04,176543,0
ZFEB.US,D,20250221,000000,24.02,24.03,23.96,23.97,180082,0
