<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZJAN.US,D,20250103,000000,25.685,25.71,25.655,25.69,172942,0
ZJAN.US,D,20250106,000000,25.73,25.79,25.7001,25.73,101520,0
ZJAN.US,D,20250107,000000,25.73,25.7528,25.6385,25.6603,96249,0
ZJAN.US,D,20250108,000000,25.665,25.7,25.636,25.685,102586,0
ZJAN.US,D,20250110,000000,25.66,25.71,25.58,25.6,391319,0
ZJAN.US,D,20250113,000000,25.586,25.63,25.5546,25.6103,138909,0
ZJAN.US,D,20250114,000000,25.65,25.65,25.5695,25.62,109781,0
ZJAN.US,D,20250115,000000,25.6855,25.75,25.6855,25.73,35861,0
ZJAN.US,D,20250116,000000,25.7799,25.7799,25.7001,25.73,26989,0
ZJAN.US,D,20250117,000000,25.8099,25.8099,25.753,25.7747,51476,0
ZJAN.US,D,20250121,000000,25.79,25.82,25.76,25.8,63249,0
ZJAN.US,D,20250122,000000,25.849,25.87,25.83,25.835,48617,0
ZJAN.US,D,20250123,000000,25.85,25.87,25.81,25.87,29429,0
ZJAN.US,D,20250124,000000,25.865,25.89,25.85,25.872,82376,0
ZJAN.US,D,20250127,000000,25.8313,25.8313,25.77,25.8,26948,0
ZJAN.US,D,20250128,000000,25.8,25.86,25.8,25.86,79587,0
ZJAN.US,D,20250129,000000,25.835,25.85,25.8,25.84,42579,0
ZJAN.US,D,20250130,000000,25.82,25.87,25.82,25.86,18503,0
ZJAN.US,D,20250131,000000,25.87,25.9,25.8359,25.8359,13381,0
ZJAN.US,D,20250203,000000,25.711,25.83,25.71,25.82,11929,0
ZJAN.US,D,20250204,000000,25.8,25.87,25.8,25.86,56656,0
ZJAN.US,D,20250205,000000,25.869,25.869,25.8527,25.8527,821,0
ZJAN.US,D,20250206,000000,25.83,25.89,25.83,25.8501,5115,0
ZJAN.US,D,20250207,000000,25.86,25.86,25.8202,25.8202,1254,0
ZJAN.US,D,20250210,000000,25.85,25.87,25.83,25.85,6314,0
ZJAN.US,D,20250211,000000,25.8282,25.88,25.82,25.8559,25601,0
ZJAN.US,D,20250212,000000,25.8361,25.8499,25.8303,25.8303,1394,0
ZJAN.US,D,20250213,000000,25.854,25.9056,25.854,25.8893,1933,0
ZJAN.US,D,20250214,000000,25.93,25.93,25.8987,25.92,21797,0
ZJAN.US,D,20250218,000000,25.91,25.94,25.91,25.94,3796,0
ZJAN.US,D,20250219,000000,25.93,25.95,25.93,25.95,1237,0
ZJAN.US,D,20250220,000000,25.92,25.92,25.9147,25.92,29076,0
ZJAN.US,D,20250221,000000,25.929,25.93,25.9,25.9,3339,0
