<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AUMN.US,D,20090420,000000,0.5,0.5,0.5,0.5,6,0
AUMN.US,D,20090423,000000,0.25,0.25,0.25,0.25,1953.24,0
AUMN.US,D,20090424,000000,0.75,0.75,0.75,0.75,194,0
AUMN.US,D,20090430,000000,3.75,3.75,3.75,3.75,269.6,0
AUMN.US,D,20090507,000000,22.5,22.5,22.5,22.5,246.52,0
AUMN.US,D,20090508,000000,23.75,23.75,22.5,22.5,280.28,0
AUMN.US,D,20090511,000000,25,28.75,25,28.5,1497.8,0
AUMN.US,D,20090512,000000,31.25,32.5,30.5,31.25,6018.36,0
AUMN.US,D,20090513,000000,32.5,32.5,31.5,32.5,323.28,0
AUMN.US,D,20090514,000000,37.5,37.5,31.25,31.25,560,0
AUMN.US,D,20090515,000000,32.5,32.5,27.5,30,2652.08,0
AUMN.US,D,20090518,000000,32.5,32.5,30.25,30.75,5546.8,0
AUMN.US,D,20090519,000000,31.25,32.5,31,31.25,6178.56,0
AUMN.US,D,20090520,000000,37.5,43.75,37.5,43.75,680,0
AUMN.US,D,20090521,000000,35,50,35,50,12026,0
AUMN.US,D,20090522,000000,50,55,50,55,1534,0
AUMN.US,D,20090526,000000,50,50,50,50,9.2,0
AUMN.US,D,20090528,000000,61.25,62,61.25,62,400,0
AUMN.US,D,20090529,000000,56.25,56.25,56.25,56.25,220,0
AUMN.US,D,20090601,000000,57.5,57.5,55,55,1738.4,0
AUMN.US,D,20090602,000000,50,53.75,50,51.25,10418.6,0
AUMN.US,D,20090603,000000,57.5,57.5,50.25,50.25,3357.6,0
AUMN.US,D,20090604,000000,50.75,52,50,50,2756.48,0
AUMN.US,D,20090605,000000,50.25,52.5,49.75,50,2849.2,0
AUMN.US,D,20090608,000000,52.5,52.5,48.75,48.75,573.84,0
AUMN.US,D,20090609,000000,50,51.25,48.5,51.25,11568.48,0
