<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BMTX-WS.US,D,20210107,000000,2.5,2.52,2.15,2.155,419372,0
BMTX-WS.US,D,20210108,000000,2.26,2.45,2.16,2.3627,278342,0
BMTX-WS.US,D,20210111,000000,2.25,2.4,2.25,2.3,211615,0
BMTX-WS.US,D,20210112,000000,2.25,2.9399,2.13,2.56,417565,0
BMTX-WS.US,D,20210113,000000,2.26,2.79,2.26,2.55,129518,0
BMTX-WS.US,D,20210114,000000,2.55,2.72,2.26,2.7,132251,0
BMTX-WS.US,D,20210115,000000,2.58,2.82,2.3502,2.81,126648,0
BMTX-WS.US,D,20210119,000000,2.8,4.15,2.42,4.09,560045,0
BMTX-WS.US,D,20210120,000000,4.1,4.28,3.77,4.26,232723,0
BMTX-WS.US,D,20210121,000000,4.3,4.3,3.6,3.75,218808,0
BMTX-WS.US,D,20210122,000000,4.05,4.08,3.55,3.9,91055,0
BMTX-WS.US,D,20210125,000000,4,4.08,3.6,3.69,184747,0
BMTX-WS.US,D,20210126,000000,3.8,4.08,3.7801,3.985,321078,0
BMTX-WS.US,D,20210127,000000,3.51,3.92,3.07,3.36,136319,0
BMTX-WS.US,D,20210128,000000,3.07,3.6078,3,3.27,158439,0
BMTX-WS.US,D,20210129,000000,3.16,3.44,2.95,2.9808,101887,0
BMTX-WS.US,D,20210201,000000,2.95,3.24,2.86,3.18,273039,0
BMTX-WS.US,D,20210202,000000,3.2,3.3,2.9,3.14,61959,0
BMTX-WS.US,D,20210203,000000,3,3.09,2.79,2.9408,71126,0
BMTX-WS.US,D,20210204,000000,3,3.33,2.8,3.12,190231,0
BMTX-WS.US,D,20210205,000000,3.1,3.39,2.97,3.05,173966,0
BMTX-WS.US,D,20210208,000000,3.24,3.32,2.96,3.09,111276,0
BMTX-WS.US,D,20210209,000000,3.1,3.3,2.83,3.01,132955,0
BMTX-WS.US,D,20210210,000000,2.92,3.02,2.81,2.84,77751,0
BMTX-WS.US,D,20210211,000000,2.84,3.01,2.67,3.01,145593,0
BMTX-WS.US,D,20210212,000000,2.9,3.1,2.77,2.9,38768,0
BMTX-WS.US,D,20210216,000000,2.9,3.05,2.79,2.94,55909,0
BMTX-WS.US,D,20210217,000000,2.95,2.95,2.56,2.7,81201,0
