<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BMTX.US,D,20180926,000000,9.53,9.53,9.48,9.5,83400,0
BMTX.US,D,20180927,000000,9.53,9.53,9.51,9.52,75915,0
BMTX.US,D,20181001,000000,9.53,9.53,9.51,9.5201,1468800,0
BMTX.US,D,20181003,000000,9.56,9.56,9.51,9.5227,600,0
BMTX.US,D,20181004,000000,9.52,9.54,9.51,9.53,607200,0
BMTX.US,D,20181005,000000,9.6,9.6,9.55,9.55,2800,0
BMTX.US,D,20181008,000000,9.53,9.53,9.52,9.52,33500,0
BMTX.US,D,20181009,000000,9.51,9.53,9.5001,9.52,15100,0
BMTX.US,D,20181010,000000,9.51,9.54,9.45,9.5268,41142,0
BMTX.US,D,20181011,000000,9.6,9.6,9.53,9.53,5400,0
BMTX.US,D,20181012,000000,9.5,9.54,9.5,9.54,51509,0
BMTX.US,D,20181015,000000,9.53,9.53,9.53,9.53,10284,0
BMTX.US,D,20181016,000000,9.5,9.54,9.5,9.54,757,0
BMTX.US,D,20181019,000000,9.52,9.54,9.52,9.54,7350,0
BMTX.US,D,20181022,000000,9.54,9.54,9.53,9.53,32727,0
BMTX.US,D,20181023,000000,9.5199,9.52,9.5199,9.5199,2150,0
BMTX.US,D,20181024,000000,9.54,9.54,9.5,9.53,114500,0
BMTX.US,D,20181025,000000,9.54,9.54,9.53,9.53,3200,0
BMTX.US,D,20181026,000000,9.53,9.53,9.5,9.5,272104,0
BMTX.US,D,20181030,000000,9.5299,9.53,9.52,9.52,250500,0
BMTX.US,D,20181031,000000,9.53,9.53,9.53,9.53,1600,0
BMTX.US,D,20181101,000000,9.5336,9.54,9.5281,9.54,9217,0
BMTX.US,D,20181102,000000,9.5248,9.54,9.5248,9.53,136502,0
BMTX.US,D,20181108,000000,9.53,9.53,9.53,9.53,2650,0
BMTX.US,D,20181114,000000,9.6,9.65,9.6,9.65,60962,0
BMTX.US,D,20181116,000000,9.65,9.65,9.65,9.65,5300,0
BMTX.US,D,20181119,000000,9.56,9.58,9.56,9.57,108250,0
BMTX.US,D,20181120,000000,9.6,9.6,9.56,9.56,200000,0
BMTX.US,D,20181129,000000,9.7,9.7,9.69,9.69,150100,0
BMTX.US,D,20181207,000000,9.6826,9.6826,9.67,9.67,1003,0
BMTX.US,D,20181211,000000,9.69,9.69,9.69,9.69,300,0
BMTX.US,D,20181212,000000,9.69,9.75,9.682,9.69,21310,0
BMTX.US,D,20181219,000000,9.6761,9.7,9.6761,9.6858,23600,0
BMTX.US,D,20181220,000000,9.62,9.62,9.62,9.62,2601,0
BMTX.US,D,20181221,000000,9.7,9.7,9.7,9.7,605,0
BMTX.US,D,20181224,000000,9.7,9.7,9.6712,9.7,56550,0
BMTX.US,D,20181226,000000,9.72,9.72,9.68,9.72,10026,0
BMTX.US,D,20181227,000000,9.72,9.72,9.72,9.72,100,0
BMTX.US,D,20181228,000000,9.72,9.72,9.7,9.7,260,0
BMTX.US,D,20181231,000000,9.6971,9.7,9.6971,9.7,6100,0
BMTX.US,D,20190102,000000,9.61,9.7,9.61,9.7,1035,0
BMTX.US,D,20190103,000000,9.72,9.72,9.72,9.72,100,0
BMTX.US,D,20190104,000000,9.67,9.7199,9.67,9.7199,1900,0
BMTX.US,D,20190107,000000,9.71,9.72,9.71,9.72,1048,0
BMTX.US,D,20190108,000000,9.72,9.72,9.6672,9.6672,425,0
BMTX.US,D,20190109,000000,9.72,9.72,9.72,9.72,100,0
BMTX.US,D,20190110,000000,9.71,9.72,9.71,9.72,160187,0
BMTX.US,D,20190111,000000,9.74,9.74,9.7267,9.74,19800,0
BMTX.US,D,20190114,000000,9.74,9.78,9.6961,9.77,78818,0
BMTX.US,D,20190115,000000,9.78,9.78,9.71,9.74,534,0
BMTX.US,D,20190117,000000,9.71,9.72,9.71,9.72,200100,0
BMTX.US,D,20190128,000000,9.7799,9.79,9.71,9.77,354724,0
BMTX.US,D,20190129,000000,9.8,9.85,9.8,9.85,120200,0
BMTX.US,D,20190130,000000,9.85,9.85,9.85,9.85,100,0
BMTX.US,D,20190131,000000,9.85,9.9,9.85,9.85,212278,0
BMTX.US,D,20190204,000000,9.85,9.871,9.85,9.87,212202,0
BMTX.US,D,20190205,000000,9.84,9.87,9.84,9.86,172552,0
BMTX.US,D,20190206,000000,9.87,9.87,9.87,9.87,50000,0
BMTX.US,D,20190207,000000,9.84,9.84,9.84,9.84,307,0
BMTX.US,D,20190211,000000,9.8499,9.85,9.84,9.85,4975,0
BMTX.US,D,20190212,000000,9.86,9.87,9.86,9.87,122400,0
