<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EVE.US,D,20220207,000000,9.82,9.9,9.8,9.9,445,0
EVE.US,D,20220208,000000,10.25,10.25,10.25,10.25,161,0
EVE.US,D,20220209,000000,9.85,9.85,9.85,9.85,459,0
EVE.US,D,20220210,000000,9.7038,9.85,9.7038,9.85,3271,0
EVE.US,D,20220211,000000,9.86,9.86,9.85,9.85,756,0
EVE.US,D,20220215,000000,9.89,9.89,9.85,9.85,50108,0
EVE.US,D,20220216,000000,10.13,10.13,9.85,9.91,2463,0
EVE.US,D,20220217,000000,10,10,10,10,367,0
EVE.US,D,20220223,000000,9.85,9.9,9.76,9.76,30951,0
EVE.US,D,20220224,000000,9.89,9.89,9.85,9.85,6314,0
EVE.US,D,20220225,000000,9.89,9.89,9.8486,9.85,25435,0
EVE.US,D,20220228,000000,9.89,9.89,9.82,9.83,34738,0
EVE.US,D,20220301,000000,9.86,9.86,9.82,9.82,11313,0
EVE.US,D,20220302,000000,9.86,9.86,9.86,9.86,27208,0
EVE.US,D,20220303,000000,9.88,9.88,9.8456,9.87,1945,0
EVE.US,D,20220304,000000,9.88,9.88,9.859,9.859,1019,0
EVE.US,D,20220307,000000,9.89,9.89,9.89,9.89,134,0
EVE.US,D,20220308,000000,9.89,9.89,9.89,9.89,155,0
EVE.US,D,20220309,000000,9.89,9.89,9.89,9.89,213,0
EVE.US,D,20220310,000000,9.86,9.86,9.85,9.85,2002,0
EVE.US,D,20220311,000000,9.87,9.87,9.86,9.86,202,0
EVE.US,D,20220316,000000,9.84,9.88,9.84,9.88,40440,0
EVE.US,D,20220317,000000,9.89,9.89,9.87,9.87,612,0
EVE.US,D,20220321,000000,9.88,9.88,9.88,9.88,216203,0
EVE.US,D,20220322,000000,9.88,9.89,9.87,9.89,195405,0
EVE.US,D,20220323,000000,9.9,9.91,9.9,9.91,2104,0
EVE.US,D,20220324,000000,9.88,9.88,9.88,9.88,5030,0
EVE.US,D,20220325,000000,9.91,9.92,9.87,9.89,52094,0
EVE.US,D,20220328,000000,9.93,9.93,9.91,9.91,5541,0
EVE.US,D,20220329,000000,9.91,9.91,9.91,9.91,250,0
EVE.US,D,20220330,000000,9.92,9.92,9.9,9.9,271,0
EVE.US,D,20220331,000000,9.93,9.93,9.86,9.91,127787,0
EVE.US,D,20220401,000000,9.94,9.94,9.87,9.8962,4661,0
EVE.US,D,20220404,000000,9.94,9.94,9.9,9.9,400593,0
EVE.US,D,20220405,000000,9.89,9.91,9.89,9.9,8366,0
EVE.US,D,20220406,000000,9.93,9.93,9.91,9.93,33631,0
EVE.US,D,20220408,000000,9.9,9.92,9.88,9.89,114035,0
EVE.US,D,20220411,000000,9.92,9.92,9.9,9.91,6922,0
EVE.US,D,20220412,000000,9.89,9.92,9.89,9.92,5451,0
EVE.US,D,20220413,000000,9.92,9.92,9.92,9.92,6977,0
EVE.US,D,20220414,000000,9.93,9.93,9.9004,9.9004,200,0
EVE.US,D,20220418,000000,9.96,9.96,9.91,9.92,116590,0
EVE.US,D,20220419,000000,9.92,9.935,9.92,9.935,116137,0
EVE.US,D,20220420,000000,9.97,9.97,9.97,9.97,203,0
EVE.US,D,20220422,000000,9.94,9.94,9.94,9.94,400,0
EVE.US,D,20220425,000000,9.98,9.98,9.93,9.93,627,0
EVE.US,D,20220426,000000,9.91,9.91,9.91,9.91,3365,0
EVE.US,D,20220427,000000,9.91,9.91,9.91,9.91,208,0
