<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EXOD.US,D,20241220,000000,49.48,49.48,38.38,41,14953,0
EXOD.US,D,20241223,000000,40,41.25,35.051,35.051,11198,0
EXOD.US,D,20241224,000000,37.3,48,35.55,43.2,14048,0
EXOD.US,D,20241226,000000,48.92,62.2786,44,47.35,53780,0
EXOD.US,D,20241227,000000,44.8,46,37.61,40.5785,28992,0
EXOD.US,D,20241230,000000,40.5,42,35.25,38.37,21082,0
EXOD.US,D,20241231,000000,36.0001,36.2,27.98,30.68,27134,0
EXOD.US,D,20250102,000000,33.5,33.5,26.69,28.72,26253,0
EXOD.US,D,20250103,000000,28.228,34.3156,28.228,32.71,32552,0
EXOD.US,D,20250106,000000,35,40,35,39.7,69498,0
EXOD.US,D,20250107,000000,40,44.3656,38.53,39.31,33209,0
EXOD.US,D,20250108,000000,42.2,42.2,33,37.7789,31773,0
EXOD.US,D,20250110,000000,38.0629,38.58,34.75,37.77,13618,0
EXOD.US,D,20250113,000000,36.6009,37.48,32.7462,33.58,29422,0
EXOD.US,D,20250114,000000,33.662,35.4,33,33.07,15498,0
EXOD.US,D,20250115,000000,34.44,36,32.71,35.36,21960,0
EXOD.US,D,20250116,000000,35.24,37.87,35,37.87,12575,0
EXOD.US,D,20250117,000000,38.27,38.99,37.38,38.51,15309,0
EXOD.US,D,20250121,000000,38.77,42.5,37.5,40,77531,0
EXOD.US,D,20250122,000000,40.25,41,37.1001,41,59483,0
EXOD.US,D,20250123,000000,39.4717,44.97,39.4717,44,84391,0
EXOD.US,D,20250124,000000,43.3,61.25,43.3,61.25,198605,0
EXOD.US,D,20250127,000000,55.18,78.86,52.43,74,215049,0
EXOD.US,D,20250128,000000,75.15,88.98,68.76,80.16,159504,0
EXOD.US,D,20250129,000000,80,117.3985,75.49,89.3,216859,0
EXOD.US,D,20250130,000000,95.2601,103.0796,57.4072,61.38,204235,0
EXOD.US,D,20250131,000000,65.5,68.8399,47.485,49.88,156269,0
EXOD.US,D,20250203,000000,50.07,67.8987,46.24,59.59,163040,0
EXOD.US,D,20250204,000000,63,67.11,55.31,56.77,84071,0
EXOD.US,D,20250205,000000,57.5,58.43,50.95,51.36,47764,0
EXOD.US,D,20250206,000000,52.74,53.4915,48.01,48.01,40237,0
EXOD.US,D,20250207,000000,49.93,51,47.3608,48.37,35162,0
EXOD.US,D,20250210,000000,50.92,51.9682,48.62,51.18,46039,0
EXOD.US,D,20250211,000000,50,50.84,48.01,49.16,29731,0
EXOD.US,D,20250212,000000,49.97,50.13,48.78,48.85,23281,0
EXOD.US,D,20250213,000000,50,50.44,48.2,50,24378,0
EXOD.US,D,20250214,000000,50,50.19,48.63,50,21792,0
EXOD.US,D,20250218,000000,50.848,51,44.635,46.55,34572,0
EXOD.US,D,20250219,000000,47.5,48.41,46.61,48.41,15213,0
