<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GRFX.US,D,20220817,000000,2.5,2.5,2.2,2.2,3766309,0
GRFX.US,D,20220818,000000,2.3,2.43,2.05,2.06,1755495,0
GRFX.US,D,20220819,000000,2.2,2.5,2.05,2.5,8626507,0
GRFX.US,D,20220822,000000,3,4.5,2.99,3.13,97787716,0
GRFX.US,D,20220823,000000,3.16,3.21,2.63,2.86,4693245,0
GRFX.US,D,20220824,000000,2.82,2.85,2.52,2.68,1659526,0
GRFX.US,D,20220825,000000,2.69,2.69,2.35,2.43,1080586,0
GRFX.US,D,20220826,000000,2.63,2.63,2.16,2.24,1131279,0
GRFX.US,D,20220829,000000,2.26,2.63,2.2,2.37,768570,0
GRFX.US,D,20220830,000000,2.43,2.435,2.23,2.29,377125,0
GRFX.US,D,20220831,000000,2.29,2.5,2.13,2.39,863039,0
GRFX.US,D,20220901,000000,2.37,2.39,2.19,2.39,346163,0
GRFX.US,D,20220902,000000,2.31,2.47,2.25,2.33,711484,0
GRFX.US,D,20220906,000000,2.33,2.33,1.97,2.05,624886,0
GRFX.US,D,20220907,000000,2.02,2.09,1.8,1.88,428360,0
GRFX.US,D,20220908,000000,1.91,1.95,1.6,1.9,873624,0
GRFX.US,D,20220909,000000,1.9,2.09,1.8,2.06,328729,0
GRFX.US,D,20220912,000000,2.04,2.18,1.93,2.09,351641,0
GRFX.US,D,20220913,000000,2.09,2.17,1.9801,2.01,425983,0
GRFX.US,D,20220914,000000,2.06,2.09,1.95,1.97,152826,0
GRFX.US,D,20220915,000000,1.86,2.11,1.86,2,324092,0
GRFX.US,D,20220916,000000,2.04,2.04,1.87,1.97,193766,0
GRFX.US,D,20220919,000000,1.95,1.98,1.8,1.89,404960,0
GRFX.US,D,20220920,000000,1.88,1.88,1.78,1.82,252223,0
GRFX.US,D,20220921,000000,1.79,1.8792,1.67,1.8,188527,0
GRFX.US,D,20220922,000000,1.7108,1.72,1.41,1.57,486108,0
GRFX.US,D,20220923,000000,1.51,1.5851,1.4,1.41,159606,0
GRFX.US,D,20220926,000000,1.4,1.42,1.3647,1.42,106134,0
GRFX.US,D,20220927,000000,1.42,1.4201,1.29,1.36,174711,0
GRFX.US,D,20220928,000000,1.32,1.37,1.25,1.31,53386,0
