<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GRO.US,D,20241127,000000,12.66,15,12.4,13.51,37764,0
GRO.US,D,20241129,000000,13.3359,14.1,13.1,13.1,5281,0
GRO.US,D,20241202,000000,13.65,14.1093,13.1474,13.6,37643,0
GRO.US,D,20241203,000000,13.6,13.75,13.0095,13.75,18108,0
GRO.US,D,20241204,000000,13.9,14.67,13.16,13.21,12395,0
GRO.US,D,20241205,000000,13.6627,13.6883,13.26,13.3,9350,0
GRO.US,D,20241206,000000,13.35,13.35,13,13,9628,0
GRO.US,D,20241209,000000,13.5,13.97,13.17,13.3589,6577,0
GRO.US,D,20241210,000000,13.03,13.5,10.91,11.57,25973,0
GRO.US,D,20241211,000000,11.28,11.7,11,11.7,39333,0
GRO.US,D,20241212,000000,11.7,12,10.9,11.3,45299,0
GRO.US,D,20241213,000000,11,12,9.7,9.7,61331,0
GRO.US,D,20241216,000000,9.7598,9.7598,8.551,8.9,85580,0
GRO.US,D,20241217,000000,8.6001,9.35,8.6001,9.275,71671,0
GRO.US,D,20241218,000000,9.3,9.3,9.05,9.05,67630,0
GRO.US,D,20241219,000000,9.3,9.3,8.8,9,54697,0
GRO.US,D,20241220,000000,9,9,8.25,8.75,97704,0
GRO.US,D,20241223,000000,8.6,8.6782,8.36,8.5,139153,0
GRO.US,D,20241224,000000,8.91,9.35,8.35,8.48,48584,0
GRO.US,D,20241226,000000,8.4,8.66,8.35,8.4752,19353,0
GRO.US,D,20241227,000000,8.669,8.67,8.07,8.15,40705,0
GRO.US,D,20241230,000000,8.2,8.41,7.54,7.59,81118,0
GRO.US,D,20241231,000000,8.03,8.1,7.5,7.7,58710,0
GRO.US,D,20250102,000000,8.2,8.5458,7.79,8.13,77143,0
GRO.US,D,20250103,000000,8.2,8.2,7.91,8.039,30396,0
GRO.US,D,20250106,000000,8.33,8.47,8.05,8.24,62003,0
GRO.US,D,20250107,000000,8.5,8.6,7.9,7.97,128941,0
GRO.US,D,20250108,000000,8.07,8.3,7.96,8.13,172206,0
GRO.US,D,20250110,000000,8.2,8.2,7.65,7.72,87162,0
GRO.US,D,20250113,000000,7.7912,8,7.44,7.69,119923,0
GRO.US,D,20250114,000000,7.69,7.69,6.5,6.52,101387,0
GRO.US,D,20250115,000000,6.9,6.93,6.54,6.6,91708,0
GRO.US,D,20250116,000000,6.8,7.37,6.61,7.15,164402,0
GRO.US,D,20250117,000000,7.21,7.3,6.6,6.65,107722,0
GRO.US,D,20250121,000000,6.65,6.7,6.405,6.4915,71775,0
GRO.US,D,20250122,000000,6.54,6.54,5.7,6.1369,126532,0
GRO.US,D,20250123,000000,6.145,6.2721,5.9,5.923,39951,0
GRO.US,D,20250124,000000,5.82,5.95,5.63,5.72,52264,0
GRO.US,D,20250127,000000,5.79,5.82,5.38,5.38,48977,0
GRO.US,D,20250128,000000,5.58,5.58,4.75,4.75,132250,0
GRO.US,D,20250129,000000,4.845,4.86,4.1,4.61,172933,0
GRO.US,D,20250130,000000,4.84,4.99,4.3501,4.45,156080,0
GRO.US,D,20250131,000000,4.46,4.6,4.13,4.38,149820,0
GRO.US,D,20250203,000000,4.8032,4.87,4.4,4.69,208310,0
GRO.US,D,20250204,000000,4.92,4.99,4.4501,4.55,209673,0
GRO.US,D,20250205,000000,4.6,4.6,4.0311,4.31,225307,0
GRO.US,D,20250206,000000,4.31,4.38,3.7895,3.9,164237,0
GRO.US,D,20250207,000000,3.96,3.96,3.66,3.72,155461,0
GRO.US,D,20250210,000000,3.8,3.8,3.36,3.61,111885,0
GRO.US,D,20250211,000000,3.535,3.61,3.38,3.5,122758,0
GRO.US,D,20250212,000000,3.41,3.4499,3.12,3.12,207441,0
GRO.US,D,20250213,000000,3.2,3.2,2.95,2.97,142048,0
GRO.US,D,20250214,000000,3.05,3.22,2.865,3.075,225680,0
GRO.US,D,20250218,000000,3.1,3.22,2.93,3.11,188623,0
GRO.US,D,20250219,000000,3.2,3.2,2.9108,3.01,110162,0
