<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBO.US,D,20240916,000000,3,3,2.5,2.68,208174,0
IBO.US,D,20240917,000000,2.6,2.6,2.3,2.33,85193,0
IBO.US,D,20240918,000000,2.31,2.43,2.26,2.39,42162,0
IBO.US,D,20240919,000000,3,3,2.45,2.52,777409,0
IBO.US,D,20240920,000000,2.52,2.69,2.3,2.33,103054,0
IBO.US,D,20240923,000000,2.49,2.64,2.3,2.49,37192,0
IBO.US,D,20240924,000000,2.43,2.84,2.38,2.6,174567,0
IBO.US,D,20240925,000000,2.69,2.695,2.31,2.31,81782,0
IBO.US,D,20240926,000000,2.45,2.75,2.3101,2.39,633292,0
IBO.US,D,20240927,000000,2.36,2.41,1.57,1.965,213260,0
IBO.US,D,20240930,000000,1.99,2.1,1.908,2,121055,0
IBO.US,D,20241001,000000,2.02,2.05,1.8,1.89,51696,0
IBO.US,D,20241002,000000,1.88,1.99,1.82,1.86,45858,0
IBO.US,D,20241003,000000,1.81,1.85,1.65,1.65,48914,0
IBO.US,D,20241004,000000,1.6,1.6,1.26,1.2701,133697,0
IBO.US,D,20241007,000000,1.23,1.45,1.23,1.34,30127,0
IBO.US,D,20241008,000000,1.48,1.54,1.36,1.5,28240,0
IBO.US,D,20241009,000000,1.47,1.5624,1.4201,1.494,28069,0
IBO.US,D,20241010,000000,1.56,1.61,1.42,1.5733,59445,0
IBO.US,D,20241011,000000,1.51,1.6367,1.45,1.55,43026,0
IBO.US,D,20241014,000000,1.56,1.56,1.25,1.25,52662,0
IBO.US,D,20241015,000000,1.28,1.4999,1.28,1.49,84865,0
IBO.US,D,20241016,000000,1.45,1.52,1.41,1.46,21023,0
IBO.US,D,20241017,000000,1.39,1.473,1.31,1.4272,15318,0
IBO.US,D,20241018,000000,1.45,1.47,1.4,1.435,13353,0
IBO.US,D,20241021,000000,1.46,1.46,1.22,1.28,21275,0
IBO.US,D,20241022,000000,1.25,1.5999,1.25,1.45,118974,0
IBO.US,D,20241023,000000,1.56,1.7028,1.4556,1.6,50486,0
IBO.US,D,20241024,000000,1.7,1.85,1.4901,1.75,81756,0
IBO.US,D,20241025,000000,1.89,2.4782,1.8,2.09,247902,0
IBO.US,D,20241028,000000,2.01,2.3,2,2,82747,0
IBO.US,D,20241029,000000,2.08,2.3,2,2.16,38283,0
IBO.US,D,20241030,000000,2.19,2.2547,2.01,2.21,59198,0
IBO.US,D,20241031,000000,2.33,2.33,2.0801,2.25,13456,0
IBO.US,D,20241101,000000,2.25,2.8,2.11,2.68,84311,0
IBO.US,D,20241104,000000,2.75,2.75,2.3999,2.72,57779,0
IBO.US,D,20241105,000000,2.72,2.72,2.51,2.7,15422,0
IBO.US,D,20241106,000000,2.95,2.95,2.4,2.599,85555,0
IBO.US,D,20241107,000000,2.54,2.8193,2.54,2.7892,46412,0
